date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2015-09-17,1256,,4.50,103,14.81,4.50,
2015-09-17,1258,,3.17,103,13.21,2.16,
2015-09-17,1259,,3.86,103,18.40,1.26,
2015-09-17,1264,,5.31,103,15.54,3.26,
2015-09-17,1333,,0.00,103,,1.05,
2015-09-17,1336,,0.00,103,,0.36,
2015-09-17,1565,,5.70,103,16.55,5.69,
2015-09-17,1569,,0.00,103,,0.45,
2015-09-17,1570,,0.00,103,16.42,1.84,
2015-09-17,1580,,7.33,103,10.89,3.72,
2015-09-17,1584,,0.00,103,,1.05,
2015-09-17,1586,,4.35,103,69.70,1.03,
2015-09-17,1591,,4.48,103,16.44,2.07,
2015-09-17,1593,,5.23,103,18.85,1.66,
2015-09-17,1595,,8.33,103,9.52,1.17,
2015-09-17,1597,,1.97,103,84.67,1.14,
2015-09-17,1599,,4.00,103,15.30,1.99,
2015-09-17,1752,,1.10,103,26.52,2.66,
2015-09-17,1777,,4.10,103,15.96,2.49,
2015-09-17,1781,,0.00,103,,2.13,
2015-09-17,1784,,2.36,103,61.88,1.28,
2015-09-17,1785,,4.05,103,19.17,0.88,
2015-09-17,1787,,6.82,103,14.57,1.49,
2015-09-17,1788,,5.56,103,13.74,2.20,
2015-09-17,1795,,0.00,103,,2.29,
2015-09-17,1799,,0.00,103,,2.13,
2015-09-17,1813,,4.12,103,13.25,1.17,
2015-09-17,1815,,2.00,103,17.03,0.63,
2015-09-17,2035,,0.00,103,,2.80,
2015-09-17,2061,,0.00,103,,1.04,
2015-09-17,2063,,6.48,103,14.38,1.77,
2015-09-17,2064,,11.90,103,8.44,0.84,
2015-09-17,2066,,5.42,103,17.32,4.07,
2015-09-17,2067,,7.12,103,,0.93,
2015-09-17,2221,,1.88,103,21.09,1.22,
2015-09-17,2230,,5.37,103,24.03,1.13,
2015-09-17,2233,,7.60,103,12.55,1.51,
2015-09-17,2235,,3.88,103,19.29,3.29,
2015-09-17,2596,,10.75,103,9.43,0.84,
2015-09-17,2636,,0.00,103,10.57,1.37,
2015-09-17,2640,,7.26,103,12.57,2.76,
2015-09-17,2641,,2.28,103,27.34,0.74,
2015-09-17,2718,,1.50,103,24.63,1.30,
2015-09-17,2719,,4.06,103,16.75,1.26,
2015-09-17,2724,,0.00,103,18.07,0.74,
2015-09-17,2726,,4.35,103,23.83,2.81,
2015-09-17,2729,,4.39,103,19.86,3.09,
2015-09-17,2732,,4.50,103,19.06,3.26,
2015-09-17,2734,,2.79,103,23.33,1.29,
2015-09-17,2916,,6.43,103,11.48,1.06,
2015-09-17,2924,,3.07,103,40.91,2.89,
2015-09-17,2926,,4.38,103,18.24,5.27,
2015-09-17,3064,,0.00,103,,2.32,
2015-09-17,3066,,0.00,103,,1.03,
2015-09-17,3067,,0.00,103,,1.32,
2015-09-17,3068,,3.02,103,18.51,1.96,
2015-09-17,3071,,0.00,103,,0.65,
2015-09-17,3073,,0.00,103,,0.71,
2015-09-17,3078,,10.29,103,7.89,0.99,
2015-09-17,3081,,0.00,103,30.42,15.27,
2015-09-17,3083,,0.00,103,,2.01,
2015-09-17,3085,,0.00,103,,1.67,
2015-09-17,3086,,0.00,103,,1.69,
2015-09-17,3088,,6.46,103,14.45,3.47,
2015-09-17,3089,,0.00,103,,2.12,
2015-09-17,3092,,4.15,103,23.63,0.67,
2015-09-17,3093,,6.07,103,12.61,1.29,
2015-09-17,3095,,0.00,103,,1.21,
2015-09-17,3105,,0.53,103,11.33,1.64,
2015-09-17,3114,,6.78,103,12.16,0.75,
2015-09-17,3115,,0.00,103,33.45,1.01,
2015-09-17,3118,,6.02,103,13.55,2.24,
2015-09-17,3122,,6.69,103,13.00,1.15,
2015-09-17,3128,,0.00,103,,1.01,
2015-09-17,3131,,4.18,103,13.27,3.15,
2015-09-17,3141,,3.42,103,16.12,1.57,
2015-09-17,3144,,9.80,103,7.46,1.20,
2015-09-17,3152,,3.19,103,25.39,5.46,
2015-09-17,3162,,0.00,103,,0.66,
2015-09-17,3163,,3.02,103,110.30,1.80,
2015-09-17,3169,,5.57,103,24.28,1.98,
2015-09-17,3171,,0.00,103,14.02,1.81,
2015-09-17,3176,,0.00,103,,5.22,
2015-09-17,3188,,0.00,103,,1.88,
2015-09-17,3191,,0.00,103,,1.37,
2015-09-17,3202,,3.22,103,,0.54,
2015-09-17,3205,,0.00,103,62.27,12.70,
2015-09-17,3206,,4.83,103,9.72,1.21,
2015-09-17,3207,,0.00,103,,0.85,
2015-09-17,3211,,10.00,103,10.80,1.05,
2015-09-17,3213,,7.75,103,9.26,2.01,
2015-09-17,3217,,10.79,103,9.56,0.73,
2015-09-17,3218,,4.36,103,17.21,1.44,
2015-09-17,3219,,0.00,103,,1.88,
2015-09-17,3221,,8.22,103,16.46,0.91,
2015-09-17,3224,,0.00,103,,2.57,
2015-09-17,3226,,0.00,103,22.31,4.18,
