date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2019-01-14,1240,,6.21,107,15.97,1.13,
2019-01-14,1258,,2.16,107,,1.15,
2019-01-14,1259,,5.37,107,14.92,1.21,
2019-01-14,1264,,5.34,107,14.69,3.06,
2019-01-14,1268,,5.57,107,18.22,3.11,
2019-01-14,1333,,0.00,107,,0.74,
2019-01-14,1336,,3.97,107,11.02,0.78,
2019-01-14,1565,,4.45,107,17.24,5.26,
2019-01-14,1566,,4.07,107,18.14,0.80,
2019-01-14,1569,,3.50,107,21.17,0.75,
2019-01-14,1570,,6.53,107,8.88,0.89,
2019-01-14,1580,,7.02,107,12.89,3.17,
2019-01-14,1584,,0.00,107,,0.64,
2019-01-14,1586,,0.84,107,24.26,1.78,
2019-01-14,1591,,0.00,107,40.25,3.25,
2019-01-14,1593,,7.86,107,11.11,1.58,
2019-01-14,1595,,8.52,107,6.25,0.93,
2019-01-14,1597,,4.44,107,12.59,3.16,
2019-01-14,1599,,2.80,107,9.92,1.47,
2019-01-14,1742,,0.00,107,,1.82,
2019-01-14,1752,,5.32,107,23.48,1.47,
2019-01-14,1777,,2.24,107,18.01,2.21,
2019-01-14,1781,,0.00,107,,1.37,
2019-01-14,1784,,0.00,107,97.22,1.53,
2019-01-14,1785,,0.00,107,13.56,1.51,
2019-01-14,1787,,7.01,107,12.81,1.37,
2019-01-14,1788,,6.07,107,13.70,2.19,
2019-01-14,1795,,0.00,107,728.00,2.39,
2019-01-14,1796,,2.00,107,185.19,3.41,
2019-01-14,1799,,0.00,107,,1.72,
2019-01-14,1813,,5.26,107,20.88,0.95,
2019-01-14,1815,,4.25,107,17.39,0.87,
2019-01-14,2035,,0.00,107,,2.89,
2019-01-14,2061,,0.00,107,136.29,0.91,
2019-01-14,2063,,6.94,107,10.23,2.28,
2019-01-14,2064,,6.43,107,17.87,0.80,
2019-01-14,2065,,5.23,107,11.71,0.96,
2019-01-14,2066,,3.85,107,16.97,2.70,
2019-01-14,2067,,0.00,107,14.13,1.29,
2019-01-14,2070,,5.16,107,13.89,1.58,
2019-01-14,2221,,5.11,107,8.76,1.67,
2019-01-14,2230,,0.00,107,63.68,1.00,
2019-01-14,2233,,8.23,107,8.19,1.43,
2019-01-14,2235,,6.60,107,21.03,1.49,
2019-01-14,2596,,10.68,107,4.17,1.01,
2019-01-14,2640,,6.67,107,13.39,2.31,
2019-01-14,2641,,0.00,107,,0.78,
2019-01-14,2643,,6.56,107,11.30,1.31,
2019-01-14,2718,,1.14,107,,0.70,
2019-01-14,2719,,0.00,107,,1.29,
2019-01-14,2724,,0.00,107,,6.32,
2019-01-14,2726,,7.53,107,15.19,2.61,
2019-01-14,2729,,5.45,107,14.78,2.76,
2019-01-14,2732,,6.40,107,16.58,2.25,
2019-01-14,2734,,0.00,107,,1.00,
2019-01-14,2736,,0.56,107,,0.69,
2019-01-14,2740,,0.00,107,,3.08,
2019-01-14,2745,,8.54,107,18.27,1.08,
2019-01-14,2916,,6.76,107,11.38,1.11,
2019-01-14,2924,,0.00,107,,2.41,
2019-01-14,2926,,5.95,107,17.28,3.80,
2019-01-14,2928,,2.11,107,,2.06,
2019-01-14,2937,,3.43,107,17.50,1.09,
2019-01-14,3064,,0.00,107,602.00,12.04,
2019-01-14,3066,,0.00,107,,1.16,
2019-01-14,3067,,0.00,107,,1.46,
2019-01-14,3071,,4.64,107,11.83,1.61,
2019-01-14,3073,,0.00,107,,1.13,
2019-01-14,3078,,7.78,107,7.53,1.19,
2019-01-14,3081,,1.90,107,33.91,6.30,
2019-01-14,3083,,0.00,107,,3.23,
2019-01-14,3085,,0.00,107,,1.83,
2019-01-14,3086,,0.00,107,,6.92,
2019-01-14,3088,,10.80,107,12.16,1.81,
2019-01-14,3089,,0.00,107,51.52,1.40,
2019-01-14,3092,,10.38,107,8.37,1.84,
2019-01-14,3093,,2.04,107,25.00,1.23,
2019-01-14,3095,,0.00,107,3.33,1.65,
2019-01-14,3105,,5.65,107,14.19,2.11,
2019-01-14,3114,,3.67,107,9.14,1.47,
2019-01-14,3115,,0.00,107,,2.80,
2019-01-14,3118,,6.70,107,19.83,1.89,
2019-01-14,3122,,1.25,107,,1.34,
2019-01-14,3128,,2.68,107,26.14,1.11,
2019-01-14,3131,,9.43,107,10.67,1.25,
2019-01-14,3141,,2.81,107,13.14,2.06,
2019-01-14,3144,,5.07,107,13.15,1.52,
2019-01-14,3147,,5.64,107,8.52,1.30,
2019-01-14,3152,,4.61,107,22.04,5.22,
2019-01-14,3162,,0.00,107,,5.06,
2019-01-14,3163,,0.00,107,102.95,2.24,
2019-01-14,3169,,6.21,107,15.51,1.93,
2019-01-14,3171,,3.59,107,10.73,0.79,
2019-01-14,3176,,0.00,107,,4.62,
2019-01-14,3178,,3.49,107,15.08,1.65,
2019-01-14,3188,,0.00,107,23.18,1.91,
2019-01-14,3191,,0.00,107,64.77,2.76,
2019-01-14,3202,,0.00,107,,1.34,
2019-01-14,3205,,3.29,107,,1.86,
2019-01-14,3206,,5.47,107,12.19,1.32,
2019-01-14,3207,,0.00,107,,2.31,
2019-01-14,3211,,5.38,107,11.65,1.02,
2019-01-14,3213,,10.74,107,9.88,1.63,
2019-01-14,3217,,7.12,107,10.26,1.76,
2019-01-14,3218,,4.55,107,13.94,1.41,
2019-01-14,3219,,0.00,107,,1.85,
2019-01-14,3221,,2.57,107,25.48,1.02,
2019-01-14,3224,,0.00,107,,3.44,
2019-01-14,3226,,3.77,107,12.80,3.38,
2019-01-14,3227,,5.29,107,12.28,1.81,
2019-01-14,3228,,0.00,107,38.45,3.31,
2019-01-14,3230,,0.00,107,,0.61,
2019-01-14,3232,,0.54,107,25.20,1.48,
2019-01-14,3234,,0.00,107,,2.20,
2019-01-14,3236,,9.38,107,11.78,1.55,
2019-01-14,3252,,0.00,107,,0.44,
2019-01-14,3259,,0.00,107,,2.82,
2019-01-14,3260,,14.93,107,39.03,1.12,
2019-01-14,3264,,6.17,107,8.67,1.20,
2019-01-14,3265,,6.02,107,3.66,0.65,
2019-01-14,3268,,0.00,107,,0.67,
2019-01-14,3272,,3.00,107,22.17,1.52,
2019-01-14,3276,,1.96,107,51.00,0.96,
2019-01-14,3284,,6.78,107,29.42,1.00,
2019-01-14,3285,,2.67,107,10.55,1.21,
2019-01-14,3287,,0.00,107,,0.89,
2019-01-14,3288,,0.00,107,14.51,1.28,
2019-01-14,3289,,2.38,107,48.78,0.86,
2019-01-14,3290,,1.60,107,18.38,1.29,
2019-01-14,3293,,7.36,107,12.57,2.98,
2019-01-14,3294,,3.60,107,,0.71,
2019-01-14,3297,,3.83,107,,0.66,
2019-01-14,3303,,2.39,107,11.39,1.16,
2019-01-14,3306,,2.86,107,175.00,0.69,
2019-01-14,3310,,3.23,107,6.56,1.77,
2019-01-14,3313,,0.00,107,,2.54,
2019-01-14,3317,,1.54,107,12.40,1.15,
2019-01-14,3322,,0.00,107,4.21,1.16,
2019-01-14,3323,,6.08,107,11.83,1.22,
2019-01-14,3324,,1.67,107,69.83,4.55,
2019-01-14,3325,,0.00,107,,1.06,
2019-01-14,3332,,7.92,107,12.89,1.37,
2019-01-14,3339,,0.00,107,,0.94,
2019-01-14,3354,,2.40,107,11.82,0.97,
2019-01-14,3360,,2.09,107,,1.37,
2019-01-14,3362,,0.66,107,27.80,2.02,
2019-01-14,3363,,3.18,107,38.77,1.76,
2019-01-14,3372,,0.00,107,,0.89,
2019-01-14,3373,,1.81,107,69.17,1.08,
2019-01-14,3374,,0.00,107,,2.92,
2019-01-14,3379,,0.00,107,,0.77,
2019-01-14,3388,,6.87,107,9.50,1.38,
2019-01-14,3390,,4.81,107,29.71,1.11,
2019-01-14,3402,,8.15,107,8.66,1.59,
2019-01-14,3426,,5.69,107,13.24,2.15,
2019-01-14,3431,,0.00,106,,1.42,
2019-01-14,3434,,0.00,107,74.44,1.29,
2019-01-14,3438,,0.00,107,,1.09,
2019-01-14,3441,,6.02,107,,1.20,
2019-01-14,3444,,4.96,107,13.26,1.31,
2019-01-14,3452,,0.00,107,,0.55,
2019-01-14,3455,,3.16,107,12.94,2.12,
2019-01-14,3465,,0.00,107,,7.38,
2019-01-14,3466,,0.00,107,,0.72,
2019-01-14,3479,,6.37,107,12.58,1.42,
2019-01-14,3483,,1.43,107,33.26,0.82,
2019-01-14,3484,,7.55,107,12.21,1.03,
2019-01-14,3489,,0.00,107,20.56,0.53,
2019-01-14,3490,,3.02,107,,0.80,
2019-01-14,3491,,4.99,107,24.59,2.46,
2019-01-14,3492,,7.06,107,12.50,1.13,
2019-01-14,3498,,1.47,107,,0.76,
2019-01-14,3499,,2.15,107,116.25,1.25,
2019-01-14,3508,,0.00,107,17.37,1.73,
2019-01-14,3511,,0.00,107,,2.02,
2019-01-14,3512,,0.00,107,,2.21,
2019-01-14,3516,,0.00,107,,0.49,
2019-01-14,3520,,0.00,107,,2.46,
2019-01-14,3521,,0.00,107,,1.63,
2019-01-14,3522,,0.00,107,,1.48,
2019-01-14,3523,,0.00,107,,2.12,
2019-01-14,3526,,4.79,107,11.71,2.43,
2019-01-14,3527,,3.04,107,14.04,1.81,
2019-01-14,3529,,2.93,107,34.22,10.63,
2019-01-14,3531,,9.98,107,13.10,0.71,
2019-01-14,3537,,6.87,107,9.46,1.47,
2019-01-14,3540,,5.13,107,11.52,1.18,
2019-01-14,3541,,6.98,107,19.40,3.94,
2019-01-14,3546,,6.67,107,10.71,2.24,
2019-01-14,3548,,4.72,107,9.34,1.05,
2019-01-14,3551,,3.51,107,12.56,0.73,
2019-01-14,3552,,3.33,107,200.00,1.43,
2019-01-14,3555,,2.38,107,37.41,4.42,
2019-01-14,3556,,10.35,107,12.38,2.27,
2019-01-14,3558,,6.58,107,8.34,1.70,
2019-01-14,3562,,0.00,107,,1.13,
2019-01-14,3563,,2.59,107,14.30,8.80,
2019-01-14,3564,,0.00,107,,1.18,
2019-01-14,3567,,8.88,107,9.89,1.69,
2019-01-14,3570,,2.66,107,13.97,1.48,
2019-01-14,3577,,4.50,107,15.14,1.66,
2019-01-14,3580,,10.53,107,7.23,1.63,
2019-01-14,3581,,6.85,107,19.47,1.05,
2019-01-14,3587,,4.08,107,15.98,1.46,
2019-01-14,3594,,2.55,107,,0.94,
2019-01-14,3609,,1.30,107,21.03,0.91,
2019-01-14,3611,,4.39,107,13.23,3.27,
2019-01-14,3615,,3.56,107,21.60,0.44,
2019-01-14,3623,,13.79,107,8.56,1.25,
2019-01-14,3624,,1.71,107,13.33,1.38,
2019-01-14,3625,,4.72,107,19.81,1.55,
2019-01-14,3628,,7.40,107,15.02,1.01,
2019-01-14,3629,,0.00,107,,2.69,
2019-01-14,3630,,0.00,107,,6.11,
2019-01-14,3631,,0.00,107,,1.89,
2019-01-14,3632,,0.00,107,,1.20,
2019-01-14,3642,,0.00,107,,1.34,
2019-01-14,3646,,5.93,107,10.94,1.41,
2019-01-14,3652,,4.28,107,125.77,0.69,
2019-01-14,3663,,2.92,107,37.28,1.16,
2019-01-14,3664,,0.00,107,,0.84,
2019-01-14,3666,,8.97,107,,0.90,
2019-01-14,3672,,3.69,107,65.00,1.13,
2019-01-14,3675,,4.96,107,14.78,1.79,
2019-01-14,3680,,0.78,107,,1.78,
2019-01-14,3684,,8.87,107,12.48,1.69,
2019-01-14,3685,,1.02,107,24.35,3.15,
2019-01-14,3687,,0.00,107,,1.13,
2019-01-14,3689,,8.86,107,12.42,0.70,
2019-01-14,3691,,6.21,107,,0.93,
2019-01-14,3693,,0.00,107,,0.87,
2019-01-14,3707,,0.00,107,47.75,1.49,
2019-01-14,3709,,4.48,107,18.59,1.26,
2019-01-14,3710,,0.00,107,,0.50,
2019-01-14,4102,,0.00,107,,1.41,
2019-01-14,4105,,5.83,107,11.32,3.50,
2019-01-14,4107,,3.58,107,17.73,3.08,
2019-01-14,4109,,0.00,107,,1.43,
2019-01-14,4111,,3.32,107,26.20,1.33,
2019-01-14,4113,,3.47,107,14.53,0.61,
2019-01-14,4114,,4.25,107,13.06,1.61,
2019-01-14,4116,,3.22,107,25.08,1.37,
2019-01-14,4120,,4.78,107,18.81,1.38,
2019-01-14,4121,,2.70,107,30.00,0.72,
2019-01-14,4123,,3.85,107,10.96,3.02,
2019-01-14,4126,,3.36,107,26.20,2.19,
2019-01-14,4127,,0.00,107,,0.96,
2019-01-14,4128,,0.00,107,,0.83,
2019-01-14,4129,,2.69,107,37.52,1.73,
2019-01-14,4130,,2.79,107,29.90,1.73,
2019-01-14,4131,,0.00,107,,2.05,
2019-01-14,4138,,7.14,107,12.21,1.12,
2019-01-14,4139,,2.28,107,54.07,4.00,
2019-01-14,4147,,0.00,107,,10.23,
2019-01-14,4152,,0.00,107,,12.99,
2019-01-14,4153,,0.00,107,,1.83,
2019-01-14,4154,,0.00,107,,1.71,
2019-01-14,4157,,0.00,107,,10.72,
2019-01-14,4160,,1.45,107,48.02,2.11,
2019-01-14,4161,,1.59,107,75.12,1.96,
2019-01-14,4162,,1.83,107,24.89,4.33,
2019-01-14,4163,,2.51,107,14.66,2.36,
2019-01-14,4167,,0.00,107,,2.05,
2019-01-14,4168,,0.00,107,,1.14,
2019-01-14,4171,,0.00,107,,5.29,
2019-01-14,4173,,1.93,107,14.27,0.59,
2019-01-14,4174,,0.00,107,,5.85,
2019-01-14,4175,,4.64,107,15.22,1.85,
2019-01-14,4180,,0.00,107,,1.31,
2019-01-14,4183,,1.95,107,27.91,1.33,
2019-01-14,4188,,0.00,107,,2.47,
2019-01-14,4192,,0.00,107,,2.49,
2019-01-14,4198,,0.00,107,,1.05,
2019-01-14,4205,,4.47,107,19.97,3.83,
2019-01-14,4207,,8.82,107,12.66,0.99,
2019-01-14,4303,,249.43,107,13.87,1.55,
2019-01-14,4304,,0.00,107,,0.92,
2019-01-14,4305,,6.90,107,11.30,1.93,
2019-01-14,4401,,8.10,107,14.14,1.77,
2019-01-14,4402,,0.00,107,,2.74,
2019-01-14,4406,,0.00,107,,0.63,
2019-01-14,4413,,0.00,107,7.48,1.54,
2019-01-14,4415,,0.00,107,,24.21,
2019-01-14,4416,,2.78,107,,2.49,
2019-01-14,4417,,4.68,107,8.60,1.49,
2019-01-14,4419,,0.00,107,,2.30,
2019-01-14,4420,,3.51,107,23.88,1.59,
2019-01-14,4429,,0.00,107,,0.77,
2019-01-14,4430,,3.52,107,13.40,0.88,
2019-01-14,4432,,3.31,107,13.07,1.02,
2019-01-14,4433,,1.85,107,17.01,1.16,
2019-01-14,4502,,3.43,107,21.52,3.05,
2019-01-14,4503,,0.00,107,26.58,1.70,
2019-01-14,4506,,5.47,107,16.43,2.59,
2019-01-14,4510,,3.91,107,13.64,0.65,
2019-01-14,4513,,0.00,107,7.02,0.88,
2019-01-14,4523,,0.88,107,,0.48,
2019-01-14,4527,,6.67,107,10.31,1.75,
2019-01-14,4528,,4.30,107,12.77,2.07,
2019-01-14,4529,,0.00,107,,1.54,
2019-01-14,4530,,0.00,107,269.50,0.81,
2019-01-14,4533,,4.13,107,35.16,0.71,
2019-01-14,4534,,5.37,107,462.50,0.81,
2019-01-14,4535,,6.90,107,14.49,1.05,
2019-01-14,4541,,1.06,107,25.27,1.12,
2019-01-14,4542,,7.64,107,13.69,1.20,
2019-01-14,4543,,1.54,107,15.48,0.72,
2019-01-14,4549,,5.22,107,14.75,2.37,
2019-01-14,4550,,7.59,107,10.81,0.85,
2019-01-14,4554,,0.00,107,,0.88,
2019-01-14,4556,,0.99,107,22.64,2.07,
2019-01-14,4561,,5.54,107,13.04,1.56,
2019-01-14,4563,,10.50,107,13.86,1.63,
2019-01-14,4568,,6.65,107,9.97,2.28,
2019-01-14,4609,,0.00,107,,1.74,
2019-01-14,4702,,0.00,107,,0.57,
2019-01-14,4706,,5.96,107,15.00,1.04,
2019-01-14,4707,,10.03,107,11.08,0.55,
2019-01-14,4711,,7.77,107,24.92,0.86,
2019-01-14,4712,,0.00,107,,2.23,
2019-01-14,4714,,3.78,107,19.31,0.91,
2019-01-14,4716,,1.30,107,60.31,1.61,
2019-01-14,4721,,3.36,107,21.31,4.47,
2019-01-14,4726,,0.00,107,,2.94,
2019-01-14,4728,,0.61,107,53.85,4.33,
2019-01-14,4729,,0.00,107,51.30,1.14,
2019-01-14,4735,,5.74,107,18.72,3.11,
2019-01-14,4736,,2.57,107,19.74,4.36,
2019-01-14,4741,,9.38,107,12.26,1.15,
2019-01-14,4743,,0.00,107,,2.58,
2019-01-14,4744,,3.11,107,25.93,1.64,
2019-01-14,4745,,2.87,107,9.47,1.41,
2019-01-14,4747,,4.53,107,22.06,1.45,
2019-01-14,4754,,5.15,107,13.50,2.94,
2019-01-14,4767,,7.89,107,13.77,0.79,
2019-01-14,4803,,2.05,107,14.60,3.69,
2019-01-14,4804,,3.92,107,,0.93,
2019-01-14,4806,,0.00,107,,0.53,
2019-01-14,4903,,0.00,107,,1.66,
2019-01-14,4905,,3.41,107,20.79,0.73,
2019-01-14,4907,,6.71,107,5.57,1.37,
2019-01-14,4908,,3.85,107,10.99,1.17,
2019-01-14,4909,,3.26,107,18.59,0.67,
2019-01-14,4911,,0.00,107,,2.92,
2019-01-14,4924,,0.00,107,,1.13,
2019-01-14,4933,,3.76,107,14.30,0.55,
2019-01-14,4939,,2.81,107,13.80,1.15,
2019-01-14,4944,,0.00,107,,1.71,
2019-01-14,4946,,1.47,107,56.50,2.91,
2019-01-14,4947,,4.94,107,10.20,2.43,
2019-01-14,4950,,0.00,107,,0.81,
2019-01-14,4953,,1.76,107,17.07,3.42,
2019-01-14,4966,,2.57,107,21.90,4.12,
2019-01-14,4971,,4.04,107,21.90,1.23,
2019-01-14,4972,,7.29,107,5.28,0.93,
2019-01-14,4973,,6.99,107,238.33,0.61,
2019-01-14,4974,,6.88,107,8.28,1.28,
2019-01-14,4979,,0.00,107,,1.56,
2019-01-14,4987,,8.55,107,10.64,1.62,
2019-01-14,4991,,1.85,107,12.50,1.47,
2019-01-14,4995,,6.75,107,18.93,2.05,
2019-01-14,5009,,1.62,107,52.64,0.97,
2019-01-14,5011,,0.00,107,11.88,1.16,
2019-01-14,5013,,2.82,107,11.12,1.53,
2019-01-14,5014,,3.41,107,,0.80,
2019-01-14,5015,,7.48,107,8.64,2.09,
2019-01-14,5016,,8.46,107,8.26,1.36,
2019-01-14,5102,,6.73,107,13.14,0.97,
2019-01-14,5201,,1.08,107,20.18,2.34,
2019-01-14,5202,,0.00,107,,1.98,
2019-01-14,5205,,0.00,107,1185.00,18.52,
2019-01-14,5206,,5.15,107,16.59,0.87,
2019-01-14,5209,,6.87,107,13.52,1.85,
2019-01-14,5210,,0.00,107,,0.68,
2019-01-14,5211,,2.11,107,126.25,0.95,
2019-01-14,5212,,3.23,107,18.79,2.19,
2019-01-14,5213,,6.32,107,3.01,0.64,
2019-01-14,5220,,8.20,107,10.06,1.88,
2019-01-14,5223,,3.97,107,15.41,1.52,
2019-01-14,5227,,0.00,107,,2.18,
2019-01-14,5230,,7.35,107,11.04,0.95,
2019-01-14,5245,,10.64,107,11.38,1.93,
2019-01-14,5251,,4.01,107,,0.75,
2019-01-14,5263,,3.24,107,39.61,3.61,
2019-01-14,5272,,7.65,107,75.38,1.16,
2019-01-14,5274,,2.77,107,27.86,8.55,
2019-01-14,5276,,6.45,107,,0.75,
2019-01-14,5278,,0.00,107,18.63,7.93,
2019-01-14,5281,,2.46,107,7.68,1.63,
2019-01-14,5287,,6.38,107,17.42,6.53,
2019-01-14,5289,,5.79,107,8.78,2.13,
2019-01-14,5291,,0.00,107,117.14,0.82,
2019-01-14,5299,,2.67,107,16.38,4.03,
2019-01-14,5301,,0.00,107,,2.01,
2019-01-14,5302,,0.00,107,,0.51,
2019-01-14,5304,,0.00,107,,0.93,
2019-01-14,5306,,5.05,107,12.86,2.60,
2019-01-14,5309,,0.00,107,,0.62,
2019-01-14,5310,,0.00,107,,4.46,
2019-01-14,5312,,6.46,107,15.19,1.57,
2019-01-14,5314,,0.00,107,2.80,0.95,
2019-01-14,5315,,5.18,107,11.49,1.51,
2019-01-14,5317,,2.48,107,1.76,1.18,
2019-01-14,5321,,0.00,107,,3.20,
2019-01-14,5324,,0.00,107,11.17,1.19,
2019-01-14,5328,,0.00,107,70.17,0.86,
2019-01-14,5340,,0.00,107,15.53,1.69,
2019-01-14,5344,,0.00,107,,1.01,
2019-01-14,5345,,0.00,107,,1.19,
2019-01-14,5347,,5.39,107,16.73,3.32,
2019-01-14,5348,,0.00,107,1.53,1.18,
2019-01-14,5349,,0.00,107,53.08,2.11,
2019-01-14,5351,,0.00,107,,1.30,
2019-01-14,5353,,3.77,107,18.71,1.07,
2019-01-14,5355,,0.00,107,,0.47,
2019-01-14,5356,,8.16,107,14.41,0.55,
2019-01-14,5364,,0.00,107,,1.26,
2019-01-14,5371,,7.62,107,8.08,0.80,
2019-01-14,5381,,0.00,107,101.20,1.27,
2019-01-14,5383,,0.00,107,,0.81,
2019-01-14,5386,,6.64,107,10.18,2.54,
2019-01-14,5392,,6.44,107,30.47,0.95,
2019-01-14,5398,,0.60,107,,2.03,
2019-01-14,5403,,9.73,107,12.22,1.81,
2019-01-14,5410,,7.94,107,9.45,1.23,
2019-01-14,5425,,5.72,107,15.06,2.21,
2019-01-14,5426,,0.00,107,28.73,0.97,
2019-01-14,5432,,0.00,107,,2.66,
2019-01-14,5438,,10.27,107,10.14,0.92,
2019-01-14,5439,,4.94,107,13.57,2.18,
2019-01-14,5443,,5.35,107,8.27,1.60,
2019-01-14,5450,,0.00,107,,1.76,
2019-01-14,5452,,0.00,107,,0.46,
2019-01-14,5455,,0.00,107,,7.04,
2019-01-14,5457,,0.00,107,74.25,5.18,
2019-01-14,5460,,4.88,107,68.33,0.83,
2019-01-14,5464,,0.00,107,7.79,0.94,
2019-01-14,5465,,0.00,107,76.67,1.28,
2019-01-14,5468,,0.00,107,,1.15,
2019-01-14,5474,,4.93,107,8.34,2.53,
2019-01-14,5475,,0.00,107,11.26,0.78,
2019-01-14,5478,,2.97,107,28.68,1.48,
2019-01-14,5480,,3.74,106,11.68,0.73,
2019-01-14,5481,,0.00,107,6.12,1.44,
