N,stop,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,slot,m,hold_days,stop_rate,stop_max_same_day,stop_max_same_day_worst,cut_right_tail,ca,ma,cb,mb,win_all,win_a,win_b,win
5,none,0.28937990776477285,0.18320415423767805,0.41014898322123844,-0.43095193157712175,-0.49717735720108336,-0.36626376020038626,0.8948141745894554,87.0,119.0,0.0,0.0,0,0.0,0.29193021932028707,-0.3978306789155303,0.28396970501390784,-0.38676930285196265,False,False,False,False
5,fix 15%,0.24029150745580463,0.1461063255721271,0.3468072630889563,-0.42870226385327126,-0.49408528084943026,-0.35301506960704193,0.8662057044079516,118.5,84.32775423728813,0.4351618327028163,3.0,5,2.0,0.23984123059176576,-0.3775730582325869,0.24737512051927046,-0.4081294014241092,False,False,False,False
20,none,0.21647576891404163,0.1830524633612172,0.2595357432469556,-0.3877079277446752,-0.4249643362731444,-0.35937674764579147,0.8768150388936906,341.0,119.0,0.0,0.0,0,0.0,0.18512749344851798,-0.3677004395394191,0.2343406414719954,-0.37389211318098725,False,False,False,False
20,fix 15%,0.21635696257557357,0.16697927550520902,0.2620438380187207,-0.3520723490975597,-0.38981474812495454,-0.31809466669621356,0.829461970613656,463.0,82.84715424545792,0.4570807544945476,10.0,15,10.0,0.16623473000589595,-0.3191900576348774,0.2535862631039474,-0.3427477082495463,False,False,False,False
