N,stop,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,slot,m,hold_days,stop_rate,stop_max_same_day,stop_max_same_day_worst,cut_right_tail,ca,ma,cb,mb,win_all,win_a,win_b,win
8,none,0.28177051537939557,0.20151446762792322,0.3703293934658639,-0.41802451112794126,-0.47345537924452347,-0.37678174088843197,0.8871002592912706,138.0,119.0,0.0,0.0,0,0.0,0.289448344268738,-0.39404207842475447,0.27541702186426276,-0.3871338615726719,False,False,False,False
8,fix 8%,0.26353620268796507,0.1841613098324616,0.35092143019139493,-0.367137687300166,-0.44030688536412227,-0.3042373380114324,0.8082865168539326,252.0,59.3884779019558,0.6431453909364576,4.0,7,11.0,0.23180446411522881,-0.30020913583912767,0.2772430925391467,-0.3524234756840518,False,False,False,False
8,fix 15%,0.2452420102664279,0.17914076022924483,0.3265800049445985,-0.3967407074798961,-0.4470287758353083,-0.33878116423478294,0.8617113223854796,189.0,84.4722082985241,0.4368421052631579,4.0,8,3.5,0.22111867707594002,-0.3571212886846804,0.2610611274300826,-0.37856998484100013,False,False,False,False
8,fix 20%,0.23697363606242083,0.15148185108015022,0.31663859200896993,-0.40649976288640055,-0.4741855081521756,-0.3443889933646845,0.8728662489196197,170.0,94.77124183006535,0.34401142623954295,4.0,7,2.0,0.22007845043362606,-0.3492891868389377,0.23677797465152273,-0.3964405621580701,False,False,False,False
8,trail 15%,0.19145309352844064,0.12959550450205073,0.26092182232055816,-0.3850556578213787,-0.4656816200866868,-0.3204058861797775,0.798860198789974,262.0,56.47400555718046,0.8217054263565892,6.0,8,32.0,0.323412725616425,-0.267882597871248,0.10648774376562387,-0.3833002218381518,False,True,False,False
8,trail 20%,0.16582156757288558,0.10043400301930219,0.2337230523439205,-0.40598929780031695,-0.4972361062638577,-0.3352002448804921,0.8401307260155575,204.0,76.26224918899436,0.6522774327122154,5.0,8,19.0,0.22493238515573444,-0.30313053793458,0.11950983408013194,-0.40505238059375237,False,False,False,False
