N,stop,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,ca_p10,ca_p90,cb_p10,cb_p90,slot,m,hold_days,stop_rate,stop_max_same_day,stop_max_same_day_worst,cut_right_tail,ca,ma,cb,mb,win_all,win_a,win_b,win
3,none,0.2602803294729016,0.1287595102257817,0.3956665925495493,-0.4906834876747336,-0.5980455636322439,-0.4022927876451283,0.14396484279839067,0.47875050857054885,0.04537613940743272,0.42297559083189945,0.9085278017862287,53.0,119.0,0.0,0.0,0,0.0,0.2890027911776565,-0.42950778473178075,0.22938762402382262,-0.46504063518061356,False,False,False,False
5,none,0.28937990776477285,0.18320415423767805,0.41014898322123844,-0.43095193157712175,-0.49717735720108336,-0.36626376020038626,0.18807612126093104,0.4249026250997138,0.14483044353209815,0.4697363025718617,0.8948141745894554,87.0,119.0,0.0,0.0,0,0.0,0.29193021932028707,-0.3978306789155303,0.28396970501390784,-0.38676930285196265,False,False,False,False
8,none,0.28177051537939557,0.20151446762792322,0.3703293934658639,-0.41802451112794126,-0.47345537924452347,-0.37678174088843197,0.19672432084447933,0.3885840993725358,0.1587276541091084,0.4054173574096738,0.8871002592912706,138.0,119.0,0.0,0.0,0,0.0,0.289448344268738,-0.39404207842475447,0.27541702186426276,-0.3871338615726719,False,False,False,False
10,none,0.2687196308815535,0.19773004503489522,0.3286266891679851,-0.414517700489053,-0.45141080408098716,-0.3738810906716474,0.20437954438534423,0.3514494155755541,0.15566872966171902,0.36143080953208256,0.8845289541918755,172.0,119.0,0.0,0.0,0,0.0,0.27133451045921464,-0.38983556925721075,0.26789496851909633,-0.3865211761848205,False,False,False,False
15,none,0.23344824426870137,0.18010456414612924,0.2877681629775024,-0.3938718790367156,-0.44277235357663924,-0.36391243741038837,0.1537143606139383,0.281003917631635,0.1636809902807998,0.3201534056988879,0.8811005473926822,257.0,119.0,0.0,0.0,0,0.0,0.2171373808605418,-0.3748823362207557,0.24234758667625034,-0.3768217841852667,False,False,False,False
20,none,0.21647576891404163,0.1830524633612172,0.2595357432469556,-0.3877079277446752,-0.4249643362731444,-0.35937674764579147,0.14275096898360345,0.24570995522863917,0.18524632651389294,0.29577915726746123,0.8768150388936906,341.0,119.0,0.0,0.0,0,0.0,0.18512749344851798,-0.3677004395394191,0.2343406414719954,-0.37389211318098725,False,False,False,False
30,none,0.20504245985918612,0.17556160817648783,0.240010487350159,-0.38088317738459276,-0.40742662160297566,-0.3550177416868376,0.1091575062711623,0.18198185464676114,0.20182922967059025,0.29948240891345623,0.8656727167963123,505.0,119.0,0.0,0.0,0,0.0,0.14316812290741965,-0.3683757867012691,0.24969395291254048,-0.3598275712668197,False,False,False,False
