N,stop,cal_pos,date,n_triggered
8,fix 8%,541,2017-03-28,200
8,fix 8%,550,2017-04-12,69
8,fix 8%,552,2017-04-14,70
8,fix 8%,555,2017-04-19,200
8,fix 8%,564,2017-05-03,200
8,fix 8%,566,2017-05-05,200
8,fix 8%,567,2017-05-08,8
8,fix 8%,582,2017-05-31,15
8,fix 8%,590,2017-06-09,17
8,fix 8%,591,2017-06-12,81
8,fix 8%,611,2017-07-10,10
8,fix 8%,612,2017-07-11,8
8,fix 8%,636,2017-08-14,200
8,fix 8%,643,2017-08-23,2
8,fix 8%,647,2017-08-29,1
8,fix 8%,653,2017-09-06,2
8,fix 8%,666,2017-09-25,123
8,fix 8%,667,2017-09-26,145
8,fix 8%,670,2017-09-29,32
8,fix 8%,676,2017-10-11,14
8,fix 8%,680,2017-10-17,13
8,fix 8%,681,2017-10-18,36
8,fix 8%,686,2017-10-25,23
8,fix 8%,693,2017-11-03,11
8,fix 8%,697,2017-11-09,37
8,fix 8%,698,2017-11-10,17
8,fix 8%,699,2017-11-13,153
8,fix 8%,700,2017-11-14,20
8,fix 8%,701,2017-11-15,16
8,fix 8%,704,2017-11-20,7
8,fix 8%,708,2017-11-24,6
8,fix 8%,709,2017-11-27,26
8,fix 8%,713,2017-12-01,10
8,fix 8%,714,2017-12-04,16
8,fix 8%,715,2017-12-05,92
8,fix 8%,716,2017-12-06,67
8,fix 8%,717,2017-12-07,64
8,fix 8%,722,2017-12-14,11
8,fix 8%,728,2017-12-22,10
8,fix 8%,729,2017-12-25,33
8,fix 8%,730,2017-12-26,60
8,fix 8%,739,2018-01-09,84
8,fix 8%,740,2018-01-10,30
8,fix 8%,742,2018-01-12,23
8,fix 8%,748,2018-01-22,19
8,fix 8%,752,2018-01-26,89
8,fix 8%,755,2018-01-31,8
8,fix 8%,757,2018-02-02,11
8,fix 8%,759,2018-02-06,287
8,fix 8%,760,2018-02-07,10
8,fix 8%,761,2018-02-08,129
8,fix 8%,762,2018-02-09,15
8,fix 8%,763,2018-02-12,6
8,fix 8%,781,2018-03-19,30
8,fix 8%,783,2018-03-21,7
8,fix 8%,785,2018-03-23,26
8,fix 8%,788,2018-03-28,36
8,fix 8%,790,2018-03-30,32
8,fix 8%,791,2018-03-31,35
8,fix 8%,795,2018-04-10,9
8,fix 8%,803,2018-04-20,38
8,fix 8%,805,2018-04-24,42
8,fix 8%,806,2018-04-25,31
8,fix 8%,807,2018-04-26,134
8,fix 8%,811,2018-05-03,36
8,fix 8%,812,2018-05-04,91
8,fix 8%,814,2018-05-08,15
8,fix 8%,816,2018-05-10,9
8,fix 8%,817,2018-05-11,23
8,fix 8%,829,2018-05-29,7
8,fix 8%,830,2018-05-30,18
8,fix 8%,838,2018-06-11,55
8,fix 8%,839,2018-06-12,6
8,fix 8%,841,2018-06-14,6
8,fix 8%,842,2018-06-15,41
8,fix 8%,844,2018-06-20,8
8,fix 8%,846,2018-06-22,47
8,fix 8%,847,2018-06-25,44
8,fix 8%,848,2018-06-26,31
8,fix 8%,850,2018-06-28,39
8,fix 8%,853,2018-07-03,22
8,fix 8%,854,2018-07-04,69
8,fix 8%,855,2018-07-05,106
8,fix 8%,864,2018-07-18,32
8,fix 8%,867,2018-07-23,6
8,fix 8%,875,2018-08-02,50
8,fix 8%,877,2018-08-06,28
8,fix 8%,880,2018-08-09,26
8,fix 8%,881,2018-08-10,42
8,fix 8%,882,2018-08-13,152
8,fix 8%,884,2018-08-15,13
8,fix 8%,887,2018-08-20,68
8,fix 8%,890,2018-08-23,11
8,fix 8%,895,2018-08-30,10
