cell,x_Q,x_R,n,warn,fake_cagr_med,fake_mdd_med,real50_cagr,real50_mdd,real50_label,real_cagr_rank（≤它的次數）,real_mdd_rank（≤它的次數）
Cc,6,24,30,True,0.28871166565606693,-0.427934321259526,0.291343397079163,-0.4295678872330231,另列,19,13
Cd,0,2,30,False,0.22209588513049272,-0.391171807060239,0.20590781292093963,-0.3677043965772066,不合格,5,25
Ce,1,5,30,False,0.21929280372512933,-0.3874687442964462,0.24576336428879886,-0.3853316270533045,另列,26,15
Cf,1,4,30,False,0.21892796243109647,-0.40464462403917334,0.2396526922581258,-0.35875378646307254,不合格,24,27
Cg,0,0,30,False,0.19615179589339737,-0.4028727467016563,0.2323149379797158,-0.33980083252620896,不合格,28,30
Ch,0,0,30,False,0.16304052426473242,-0.4229696448462178,0.21180160210246646,-0.3389824897593184,不合格,30,30
