r,seed,cagr,mdd,vol
0,102000,0.29870900612670326,-0.4365922732834437,0.27284101646630077
1,102001,0.33082465821743323,-0.3693403626630285,0.2669125823180484
2,102002,0.39030214647682904,-0.4177226360940618,0.2871992622760044
3,102003,0.22786085080944107,-0.49153882590816295,0.25471537019744206
4,102004,0.23111076000413733,-0.4581959255260564,0.26301159875813845
5,102005,0.28359845488071,-0.4206631808096971,0.26905660131193515
6,102006,0.37661348181908894,-0.4163920295297883,0.28412700906684973
7,102007,0.21960340020440272,-0.3964017536053007,0.2589286873276413
8,102008,0.20820537788180538,-0.41167677822724635,0.25682643755982804
9,102009,0.29765825975413684,-0.38302038570313535,0.2681655383675753
10,102010,0.3152092353054319,-0.38378791618769725,0.26574036750397884
11,102011,0.2935461374820727,-0.4033304234672244,0.2775777199371371
12,102012,0.3310738678323981,-0.4283565623760502,0.27330576501545134
13,102013,0.2343786280883231,-0.4442229334849359,0.27283665775376076
14,102014,0.2407817234754135,-0.40480239029828297,0.2699717718729702
15,102015,0.3301888055123694,-0.4122538500300803,0.279577094584122
16,102016,0.32913750163099986,-0.41852930168780206,0.2726590310642282
17,102017,0.30020254368835775,-0.4786261778709451,0.28658001052021415
18,102018,0.21904143969757572,-0.37714922457546884,0.25922130450108
19,102019,0.29927277788803464,-0.4211062390963251,0.28314097985572984
20,102020,0.33704168529863154,-0.3994464711646521,0.2739506284153449
21,102021,0.4074624843280885,-0.42531122926218773,0.27168396292087166
22,102022,0.192261065438323,-0.39611279300764346,0.25346191155807984
23,102023,0.3119579154544627,-0.3811284798948961,0.26070384457782775
24,102024,0.308298690657254,-0.4302777841636533,0.2706442047367786
25,102025,0.2717314289888211,-0.4858404377041047,0.2524254882302219
26,102026,0.2852849612892274,-0.5394245666427168,0.2764806971955199
27,102027,0.24389392067421567,-0.41525503016130844,0.27764183378853813
28,102028,0.37313060414944155,-0.43719241888745203,0.2767040449431352
29,102029,0.2765647272447449,-0.4744309363328785,0.27116479193540777
30,102030,0.3088315863386626,-0.4133649520451069,0.2732888612651884
31,102031,0.28116613704436944,-0.40081760468859157,0.27310544174917945
32,102032,0.15489873353560668,-0.3948177987883124,0.2557543900840389
33,102033,0.2825169033463799,-0.39602262727095994,0.27402454912420987
34,102034,0.23093128554707576,-0.45065883934517914,0.27017448808867056
35,102035,0.3031954950316835,-0.4018014695385396,0.2625570075621405
36,102036,0.24499144204636747,-0.4066713926537274,0.263734929349924
37,102037,0.35490516228068514,-0.4166157894487688,0.27248963379716995
38,102038,0.13984726437132355,-0.44369677851777123,0.2514964850364692
39,102039,0.2875407560007859,-0.4649210112775922,0.263955253953414
40,102040,0.277214167169757,-0.39650622178519296,0.262397747239423
41,102041,0.20152618146672996,-0.42586241964989574,0.25349211402363436
42,102042,0.13687675776885344,-0.4198568920520933,0.25506156072811875
43,102043,0.3068927910524115,-0.3935147647705408,0.26773217833006524
44,102044,0.3123037236519508,-0.4700157078896213,0.26580374147073615
45,102045,0.34121550465696715,-0.4548876235651791,0.2818504675233571
46,102046,0.34941245733226034,-0.511906616004494,0.2818945406247105
47,102047,0.2859442467160711,-0.47418419194982114,0.2671918529486324
48,102048,0.2946748242021575,-0.4331003296081385,0.26567070209157106
49,102049,0.22248036129927917,-0.38420873198309113,0.24561197620016048
