cell,kind,version,param_med,cagr,mdd,ratio,vol,label_desc,cell_cagr,cell_ratio,cell_not_lose_cagr,cell_not_lose_ratio,class,pair_d_cagr_med,pair_d_mdd_med,expo_med
Ba,m̄,paired,1.0583941605839415,0.2813461849361174,-0.4326276259766718,0.6503195081473788,0.2726143647578199,另列,0.29465565990407183,0.702119919757997,True,True,甲',0.009984576821875146,0.006019540777695065,0.8795117814139755
Ba,m̄,median,1.0583941605839415,0.2809256449451072,-0.4316223120207182,0.650859877076101,0.2724980685322026,另列,0.29465565990407183,0.702119919757997,True,True,甲',0.01073995501220204,0.0060515869777773845,0.8794898326806039
Ba,m̄,pooled,1.058940349087199,0.2808214946213179,-0.431645085819481,0.6505842504570079,0.2724897825224549,另列,0.29465565990407183,0.702119919757997,True,True,甲',0.010860924858037024,0.006112913516300417,0.8795000849363639
Bb,m̄,paired,1.0872738813075213,0.28191035979628365,-0.43426393186578266,0.6491682571589051,0.2731727221460375,另列,0.2956077115714364,0.7045905575994967,True,True,甲',0.01921360124149607,0.011460528805810943,0.8803470478990771
Bb,m̄,median,1.0872738813075213,0.28129434999786196,-0.43142719860685064,0.6520088462345621,0.2736766845447895,另列,0.2956077115714364,0.7045905575994967,True,True,甲',0.018954433271781812,0.010321352791317934,0.8805506334234002
Bb,m̄,pooled,1.0862561847168775,0.2812894685941518,-0.4321071782222917,0.6509715245911658,0.27359942932110737,另列,0.2956077115714364,0.7045905575994967,True,True,甲',0.018994510546663457,0.011312330903696627,0.8805493883994145
Bc,m̄,paired,1.038175711414366,0.2803420053961475,-0.42941290071373595,0.6528495183311571,0.2709968860845565,另列,0.2770435105053425,0.6548370951361439,False,True,乙',0.0014170584404072928,0.0051275147317221825,0.8779987297288836
Bc,m̄,median,1.038175711414366,0.2803714542444937,-0.4306710239365178,0.6510107220164906,0.2711178570084247,另列,0.2770435105053425,0.6548370951361439,False,True,乙',0.0005324809498324923,0.005548262930260145,0.878025363998929
Bc,m̄,pooled,1.0378996592474443,0.2803666285824632,-0.43065605505337123,0.6510221446850837,0.2710919730232787,另列,0.2770435105053425,0.6548370951361439,False,True,乙',0.0006532127345608707,0.005518493785615364,0.8779903715804813
Cc,m̄,paired,1.085820895522388,0.2820403232073123,-0.43212785766519834,0.6526779475204072,0.27360219991733326,另列,0.3018855129193331,0.7068758541454873,True,True,甲',0.027810918906911897,0.003979722532315738,0.8803111033237137
Cc,m̄,median,1.085820895522388,0.2812873379467672,-0.4320825705165826,0.6510036672168239,0.2735643059310988,另列,0.3018855129193331,0.7068758541454873,True,True,甲',0.028311906349857252,0.004350732014882758,0.880544011382463
Cc,m̄,pooled,1.0863830577744753,0.2812900847868236,-0.432114351058946,0.6509621448523749,0.273609678290722,另列,0.3018855129193331,0.7068758541454873,True,True,甲',0.028379634160666023,0.00438628577215458,0.8805537802213464
Cd,m̄,paired,0.8260869565217391,0.23621933767862557,-0.3687208328396937,0.6406454874257812,0.22756389305770547,不合格,0.2137256358584504,0.5772369194340615,False,False,丙',-0.027242753870770464,0.003628770681125215,0.7413574463164393
Cd,m̄,median,0.8260869565217391,0.23653950685957414,-0.36894512378550975,0.6411238192623165,0.22859846182897944,不合格,0.2137256358584504,0.5772369194340615,False,False,丙',-0.02856208375170055,0.005719651344706117,0.7431507767957365
Cd,m̄,pooled,0.8223731884057971,0.23555562774134398,-0.36758617577014385,0.6408174280434306,0.2276462208494974,不合格,0.2137256358584504,0.5772369194340615,False,False,丙',-0.027701264327845365,0.004456702458630141,0.7399730413168003
Ce,m̄,paired,0.8188405797101449,0.23435426782247482,-0.36616377458391464,0.640025813828198,0.2259888256410239,不合格,0.24681438699460279,0.6511253643278796,True,True,甲',0.007281224411943343,-0.01925793960490682,0.7355158738051365
