cell,j,r,seed,cagr,mdd,vol
Cc,1,0,99000,0.3220288799009623,-0.47380577983299427,0.2681441108008661
Cc,1,1,99001,0.30080624726546623,-0.4224860739249326,0.2829095468438704
Cc,1,2,99002,0.3655676012750817,-0.3744144810741858,0.2743006420931807
Cc,1,3,99003,0.3429341605726428,-0.5136542738561286,0.3065837105179286
Cc,1,4,99004,0.284884937300935,-0.456842369338791,0.26997059808557894
Cc,1,5,99005,0.24163625867746474,-0.3739208187534593,0.25789238284629556
Cc,1,6,99006,0.24918665430762243,-0.4232774916991661,0.27486970348005546
Cc,1,7,99007,0.4674332793444522,-0.384973654793018,0.2936811620021697
Cc,1,8,99008,0.3434942358169999,-0.44792216755295716,0.2764960812665074
Cc,1,9,99009,0.2606156787519873,-0.38495081326454195,0.2741817003582482
Cc,1,10,99010,0.2772099424898762,-0.3569705162431733,0.26383189896052367
Cc,1,11,99011,0.26818627342380297,-0.41893379098494476,0.2730885769339926
Cc,1,12,99012,0.2343257194339543,-0.42549536403378374,0.26331264364420687
Cc,1,13,99013,0.274132569347288,-0.38076882422797254,0.27383746419874366
Cc,1,14,99014,0.33952217851178057,-0.3438927564424339,0.28072220616201116
Cc,1,15,99015,0.2345750165076228,-0.43854375566947734,0.27066647860965426
Cc,1,16,99016,0.24855219254237437,-0.49695203273793026,0.2795565578239063
Cc,1,17,99017,0.27610101965488054,-0.41898762301362913,0.2759876265815267
Cc,1,18,99018,0.5142735954384285,-0.4614092463932422,0.3088773672812487
Cc,1,19,99019,0.2970833611639041,-0.4745496918826187,0.2903326258403994
Cc,1,20,99020,0.3168331993379172,-0.3472572980500544,0.2677903195607259
Cc,1,21,99021,0.17866255234888495,-0.3976630404200193,0.26295842310018863
Cc,1,22,99022,0.31819793132948515,-0.4738343087295772,0.27919393960793104
Cc,1,23,99023,0.4347084243865371,-0.3819245800527429,0.2900082562588884
Cc,1,24,99024,0.39558090594015827,-0.45511920738194395,0.2951275266445088
Cc,1,25,99025,0.3160678276749105,-0.4678482456565629,0.28356091406039136
