欄,量,n_月,月超額中位_pp,點估計_pp,月分群SE_pp,NW5_SE_pp,採用,lo_pp,hi_pp,CI含0
主欄(tradable 關),Δ_mkt(甲),114,0.47437229744198006,0.6784298164824383,0.28135347528725974,0.24022332528198734,月分群,0.12697700491940922,1.229882628045467,False
主欄(tradable 關),Δ_pool,114,0.4917456530372186,0.6928587481725129,0.2697441249332604,0.25797147547454097,月分群,0.16416026330332265,1.221557233041703,False
附欄(三臂全開),Δ_mkt(甲),114,0.4887632310889305,0.7220786383568891,0.27074811452472713,0.2315371124881989,月分群,0.19141233388842394,1.2527449428253543,False
附欄(三臂全開),Δ_pool,114,0.44750863862268764,0.7572383732828059,0.27198462895458225,0.2711575240962967,月分群,0.22414850053182472,1.290328246033787,False
