欄,量,lag1,lag2,lag3,lag4,lag5
主欄(tradable 關),Δ_mkt(甲),-0.0723490396182478,-0.0714506301673745,0.014936516208174247,-0.07159731604656237,-0.06983170776695935
主欄(tradable 關),Δ_pool,0.007130390553311651,0.027767340312487433,-0.12249015151507073,0.04989733450599312,-0.11785615408454969
附欄(三臂全開),Δ_mkt(甲),-0.06366255734905599,-0.05688080759850878,-0.023674483956080333,-0.051840888183012745,-0.08539125499904775
附欄(三臂全開),Δ_pool,0.028962913903358624,0.04831642828964814,-0.11749964504693243,0.06760241932300659,-0.11959140853862785
