stock_id,name,period,market,產業別,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
6843,進典,2023-06,tpex,電機機械,81653,81730,76884,-0.09,6.20,488065,392768,24.26
8027,鈦昇,2023-06,tpex,電機機械,121993,96326,312354,26.64,-60.94,692815,1959335,-64.64
8083,瑞穎,2023-06,tpex,電機機械,98228,90217,175139,8.87,-43.91,493031,1013182,-51.33
8107,大億金茂,2023-06,tpex,電機機械,42798,61655,82359,-30.58,-48.03,354970,378329,-6.17
8255,朋程,2023-06,tpex,電機機械,538769,407394,356347,32.24,51.19,2408312,1950080,23.49
9951,皇田,2023-06,tpex,電機機械,431057,404628,371791,6.53,15.94,2422241,2139731,13.20
2061,風青,2023-06,tpex,電器電纜,79666,73286,74166,8.70,7.41,428261,437229,-2.05
1742,台蠟,2023-06,tpex,化學工業,33219,70793,53726,-53.07,-38.16,230300,258797,-11.01
3430,奇鈦科,2023-06,tpex,化學工業,117054,116711,142323,0.29,-17.75,619647,870090,-28.78
4706,大恭,2023-06,tpex,化學工業,86902,89005,106678,-2.36,-18.53,504712,673371,-25.04
4707,磐亞,2023-06,tpex,化學工業,71883,163741,197856,-56.09,-63.66,634389,984204,-35.54
4711,永純,2023-06,tpex,化學工業,55704,58936,99816,-5.48,-44.19,377692,669813,-43.61
4714,永捷,2023-06,tpex,化學工業,31613,33886,72007,-6.70,-56.09,271723,499848,-45.63
4716,大立,2023-06,tpex,化學工業,52081,37576,60378,38.60,-13.74,242680,355228,-31.68
4721,美琪瑪,2023-06,tpex,化學工業,221669,206463,519915,7.36,-57.36,1281022,2843537,-54.94
4741,泓瀚,2023-06,tpex,化學工業,48785,52200,57977,-6.54,-15.85,313486,337204,-7.03
4754,國碳科,2023-06,tpex,化學工業,70576,70065,49190,0.72,43.47,340005,216597,56.97
4767,誠泰科技,2023-06,tpex,化學工業,108283,114772,100704,-5.65,7.52,611891,695095,-11.97
4768,晶呈科技,2023-06,tpex,化學工業,83106,65215,83021,27.43,0.10,447148,417144,7.19
4772,台特化,2023-06,tpex,化學工業,44586,42192,75714,5.67,-41.11,206503,295806,-30.18
6509,聚和,2023-06,tpex,化學工業,364978,411805,558336,-11.37,-34.63,2344882,2805358,-16.41
1565,精華,2023-06,tpex,生技醫療業,325654,370949,469322,-12.21,-30.61,2205668,2571002,-14.20
1777,生泰,2023-06,tpex,生技醫療業,74836,99975,97791,-25.14,-23.47,512420,456437,12.26
1781,合世,2023-06,tpex,生技醫療業,58073,25842,94731,124.72,-38.69,272463,327331,-16.76
1784,訊聯,2023-06,tpex,生技醫療業,104146,101590,78168,2.51,33.23,553487,472030,17.25
1788,杏昌,2023-06,tpex,生技醫療業,337731,308860,462665,9.34,-27.00,1929179,2742401,-29.65
1799,易威,2023-06,tpex,生技醫療業,35765,13530,20362,164.33,75.64,106440,69991,52.07
1813,寶利徠,2023-06,tpex,生技醫療業,29942,33060,36570,-9.43,-18.12,185551,190487,-2.59
3118,進階,2023-06,tpex,生技醫療業,65418,52925,56645,23.60,15.48,307839,268281,14.74
3176,基亞,2023-06,tpex,生技醫療業,78409,73534,80364,6.62,-2.43,369814,680745,-45.67
3205,佰研,2023-06,tpex,生技醫療業,37707,39549,44364,-4.65,-15.00,229141,268859,-14.77
3218,大學光,2023-06,tpex,生技醫療業,352285,303681,269407,16.00,30.76,2027853,1624875,24.80
4102,永日,2023-06,tpex,生技醫療業,44111,39135,63201,12.71,-30.20,272601,262792,3.73
4105,東洋,2023-06,tpex,生技醫療業,438067,489526,375004,-10.51,16.81,2431063,2202632,10.37
4107,邦特,2023-06,tpex,生技醫療業,151375,155119,167822,-2.41,-9.80,928190,953542,-2.65
4109,加捷生醫,2023-06,tpex,生技醫療業,27997,29340,21504,-4.57,30.19,165348,145788,13.41
4111,濟生,2023-06,tpex,生技醫療業,89103,90806,92012,-1.87,-3.16,529038,564123,-6.21
4114,健喬,2023-06,tpex,生技醫療業,454642,454477,335647,0.03,35.45,2560942,2025772,26.41
4116,明基醫,2023-06,tpex,生技醫療業,383268,390834,393740,-1.93,-2.65,2179560,2088752,4.34
4120,友華,2023-06,tpex,生技醫療業,415328,396428,456802,4.76,-9.07,2283732,2346012,-2.65
4121,優盛,2023-06,tpex,生技醫療業,301402,355678,436390,-15.25,-30.93,1917818,2205171,-13.03
4123,晟德,2023-06,tpex,生技醫療業,101341,112704,59528,-10.08,70.24,647313,356628,81.50
4126,太醫,2023-06,tpex,生技醫療業,220151,209226,162496,5.22,35.48,1219714,984179,23.93
4127,天良,2023-06,tpex,生技醫療業,40722,38667,40555,5.31,0.41,232801,274674,-15.24
4128,中天,2023-06,tpex,生技醫療業,114358,118371,135027,-3.39,-15.30,754537,885308,-14.77
4129,聯合,2023-06,tpex,生技醫療業,320849,315161,286386,1.80,12.03,1861405,1499019,24.17
4131,浩泰,2023-06,tpex,生技醫療業,4565,4829,1823,-5.46,150.41,32387,40328,-19.69
4138,曜亞,2023-06,tpex,生技醫療業,131514,138407,92733,-4.98,41.82,805930,587686,37.13
4147,中裕,2023-06,tpex,生技醫療業,32408,30241,27400,7.16,18.27,176010,139956,25.76
4153,鈺緯,2023-06,tpex,生技醫療業,91299,76362,91242,19.56,0.06,481733,417680,15.33
4160,訊聯基因,2023-06,tpex,生技醫療業,49733,52735,39104,-5.69,27.18,279972,273994,2.18
4161,聿新科,2023-06,tpex,生技醫療業,67527,69468,56611,-2.79,19.28,346398,297900,16.27
4162,智擎,2023-06,tpex,生技醫療業,119404,26382,124648,352.59,-4.20,334403,341028,-1.94
4163,鐿鈦,2023-06,tpex,生技醫療業,213245,190281,195427,12.06,9.11,1273339,1079651,17.93
4166,友霖,2023-06,tpex,生技醫療業,89823,80406,83807,11.71,7.17,427233,295085,44.78
4167,松瑞藥,2023-06,tpex,生技醫療業,92293,61920,110288,49.05,-16.31,445070,663484,-32.91
4168,醣聯,2023-06,tpex,生技醫療業,521,886,4640,-41.19,-88.77,1611,28362,-94.31
4173,久裕,2023-06,tpex,生技醫療業,107237,97604,80762,9.86,32.78,558140,495668,12.60
4174,浩鼎,2023-06,tpex,生技醫療業,7959,1800,504,342.16,1479.16,11654,3129,272.45
4175,杏一,2023-06,tpex,生技醫療業,666901,618141,639421,7.88,4.29,3594518,3654850,-1.65
4183,福永生技,2023-06,tpex,生技醫療業,56925,30114,46798,89.03,21.63,203261,213058,-4.59
4188,安克,2023-06,tpex,生技醫療業,4617,6046,6090,-23.63,-24.18,26137,34580,-24.41
4192,杏國,2023-06,tpex,生技醫療業,1682,1843,829,-8.73,102.89,8230,6279,31.07
4198,欣大健康,2023-06,tpex,生技醫療業,10857,18213,30925,-40.38,-64.89,106172,127100,-16.46
4726,永昕,2023-06,tpex,生技醫療業,34713,104828,21663,-66.88,60.24,356437,377146,-5.49
4728,雙美,2023-06,tpex,生技醫療業,174416,117265,106806,48.73,63.30,825118,643342,28.25
4735,豪展,2023-06,tpex,生技醫療業,79718,79386,129247,0.41,-38.32,512190,614845,-16.69
4743,合一,2023-06,tpex,生技醫療業,7930,6029,1004296,31.53,-99.21,42080,1036925,-95.94
4744,皇將,2023-06,tpex,生技醫療業,152789,42109,120651,262.84,26.63,409270,383615,6.68
4747,強生*,2023-06,tpex,生技醫療業,63678,49963,41947,27.45,51.80,303956,226959,33.92
4905,台聯電,2023-06,tpex,生技醫療業,9227,8121,14217,13.61,-35.09,41303,42924,-3.77
4911,德英,2023-06,tpex,生技醫療業,15281,14994,3387,1.91,351.16,85253,14899,472.20
5312,寶島科,2023-06,tpex,生技醫療業,316073,318489,227846,-0.75,38.72,1916173,1535135,24.82
6130,上亞科技,2023-06,tpex,生技醫療業,13384,24769,9280,-45.96,44.22,117322,38779,202.54
6242,立康,2023-06,tpex,生技醫療業,51841,62254,82150,-16.72,-36.89,331288,303206,9.26
6461,益得,2023-06,tpex,生技醫療業,4020,2933,1389,37.06,189.41,13543,16859,-19.66
6469,大樹,2023-06,tpex,生技醫療業,1327110,1379383,1205506,-3.78,10.08,7879793,7171269,9.88
6492,生華科,2023-06,tpex,生技醫療業,84,83,83,1.20,1.20,500,500,0.00
6496,科懋,2023-06,tpex,生技醫療業,63507,63800,51277,-0.45,23.85,375865,328964,14.25
6499,益安,2023-06,tpex,生技醫療業,14579,17398,9670,-16.20,50.76,95066,219892,-56.76
6523,達爾膚,2023-06,tpex,生技醫療業,112465,78245,63237,43.73,77.84,511529,423224,20.86
6527,明達醫,2023-06,tpex,生技醫療業,83038,68516,82562,21.19,0.57,414562,354147,17.05
6535,順藥,2023-06,tpex,生技醫療業,959,10353,2364,-90.73,-59.43,22182,7705,187.89
6547,高端疫苗,2023-06,tpex,生技醫療業,0,0,1836,,-100.00,0,339217,-100.00
6569,醫揚,2023-06,tpex,生技醫療業,137802,99199,119893,38.91,14.93,685816,776672,-11.69
6574,霈方,2023-06,tpex,生技醫療業,42769,62443,48276,-31.50,-11.40,291354,368606,-20.95
6576,逸達,2023-06,tpex,生技醫療業,37210,150,1977,24706.66,1782.14,65893,273645,-75.92
6612,奈米醫材,2023-06,tpex,生技醫療業,46245,57702,40046,-19.85,15.47,306394,243367,25.89
6615,慧智,2023-06,tpex,生技醫療業,39775,41192,41866,-3.43,-4.99,232090,255346,-9.10
6620,漢達,2023-06,tpex,生技醫療業,78386,89031,2743,-11.95,2757.67,560557,40960,1268.54
6637,醫影,2023-06,tpex,生技醫療業,56852,47138,26063,20.60,118.13,293977,221487,32.72
6649,台生材,2023-06,tpex,生技醫療業,445,13767,8624,-96.76,-94.83,47320,40400,17.12
6661,威健生技,2023-06,tpex,生技醫療業,26468,25082,40455,5.52,-34.57,126545,177416,-28.67
6662,樂斯科,2023-06,tpex,生技醫療業,36570,22469,22702,62.75,61.08,123064,106810,15.21
6703,軒郁,2023-06,tpex,生技醫療業,237059,217924,129022,8.78,83.73,1163870,729441,59.55
6712,長聖,2023-06,tpex,生技醫療業,57304,54022,55103,6.07,3.99,276822,276117,0.25
6730,常廣,2023-06,tpex,生技醫療業,39124,40914,36609,-4.37,6.86,215514,257177,-16.20
6733,博晟生醫,2023-06,tpex,生技醫療業,5174,28741,2474,-81.99,109.13,49279,11215,339.40
6762,達亞,2023-06,tpex,生技醫療業,47237,48661,24515,-2.92,92.68,295828,181303,63.16
6767,台微醫,2023-06,tpex,生技醫療業,23964,24865,19017,-3.62,26.01,135317,93238,45.13
6785,昱展新藥,2023-06,tpex,生技醫療業,0,0,0,,,0,0,
6841,長佳智能,2023-06,tpex,生技醫療業,6192,4961,8645,24.81,-28.37,27892,23334,19.53
6844,諾貝兒,2023-06,tpex,生技醫療業,294782,323712,377233,-8.93,-21.85,1858962,2227565,-16.54
6872,浩宇生醫,2023-06,tpex,生技醫療業,15513,0,0,,,20251,12884,57.17
6875,國邑*,2023-06,tpex,生技醫療業,0,0,0,,,0,0,
6929,佑全,2023-06,tpex,生技醫療業,251587,269206,265643,-6.54,-5.29,1539082,1725007,-10.77
6945,圓祥生技,2023-06,tpex,生技醫療業,0,0,0,,,0,0,
8279,生展,2023-06,tpex,生技醫療業,155625,147032,186444,5.84,-16.52,904237,873592,3.50
8403,盛弘,2023-06,tpex,生技醫療業,352517,310814,402330,13.41,-12.38,1834655,2156161,-14.91
8409,商之器,2023-06,tpex,生技醫療業,14297,8691,13255,64.50,7.86,65301,246416,-73.49
8432,東生華,2023-06,tpex,生技醫療業,67111,54992,51078,22.03,31.38,315138,299368,5.26
8436,大江,2023-06,tpex,生技醫療業,692009,663820,649221,4.24,6.59,3841940,3508708,9.49
2035,唐榮公司,2023-06,tpex,鋼鐵工業,772083,1032386,959702,-25.21,-19.54,6041137,7780518,-22.35
2063,世鎧精密,2023-06,tpex,鋼鐵工業,112310,147642,112364,-23.93,-0.04,702811,728271,-3.49
2064,晉椿,2023-06,tpex,鋼鐵工業,115956,124932,155540,-7.18,-25.44,710419,1229930,-42.23
2065,世豐,2023-06,tpex,鋼鐵工業,151215,171239,200070,-11.69,-24.41,1190414,1264764,-5.87
2073,雄順,2023-06,tpex,鋼鐵工業,38582,43239,55879,-10.77,-30.95,257653,308663,-16.52
4950,金耘國際,2023-06,tpex,鋼鐵工業,4665,6915,6428,-32.53,-27.42,29839,87435,-65.87
5009,榮剛,2023-06,tpex,鋼鐵工業,1216385,1192503,1083840,2.00,12.22,6939157,5778345,20.08
5011,久陽,2023-06,tpex,鋼鐵工業,297259,354271,419025,-16.09,-29.05,1905676,2319276,-17.83
5013,強新,2023-06,tpex,鋼鐵工業,587326,592491,795342,-0.87,-26.15,3386501,4573955,-25.96
5014,建錩,2023-06,tpex,鋼鐵工業,1309774,1308260,1924210,0.11,-31.93,7783857,9964326,-21.88
5015,華祺,2023-06,tpex,鋼鐵工業,125648,142685,241358,-11.94,-47.94,769936,1337849,-42.44
5016,松和,2023-06,tpex,鋼鐵工業,136798,177714,213143,-23.02,-35.81,1025081,1409757,-27.28
6248,沛波,2023-06,tpex,鋼鐵工業,655451,747954,466863,-12.36,40.39,4119540,3038224,35.59
8349,恒耀國際,2023-06,tpex,鋼鐵工業,1072763,1003035,1028393,6.95,4.31,5692234,5428969,4.84
8415,大國鋼,2023-06,tpex,鋼鐵工業,2240610,2195032,2340937,2.07,-4.28,13053729,13105866,-0.39
8930,青鋼,2023-06,tpex,鋼鐵工業,125391,115037,107186,9.00,16.98,712317,663662,7.33
9962,有益,2023-06,tpex,鋼鐵工業,252659,302814,387082,-16.56,-34.72,1709863,1698354,0.67
1595,川寶,2023-06,tpex,半導體業,168987,163152,171587,3.57,-1.51,811162,1026019,-20.94
3105,穩懋,2023-06,tpex,半導體業,1506124,1364865,1635946,10.34,-7.93,6803452,10894318,-37.55
3122,笙泉,2023-06,tpex,半導體業,27267,29145,35406,-6.44,-22.98,159635,305801,-47.79
3131,弘塑,2023-06,tpex,半導體業,327563,274485,327327,19.33,0.07,1675382,1809680,-7.42
3141,晶宏,2023-06,tpex,半導體業,184641,132418,256273,39.43,-27.95,1026747,1498929,-31.50
3169,亞信,2023-06,tpex,半導體業,73453,84613,110717,-13.18,-33.65,426555,716254,-40.44
3178,公準,2023-06,tpex,半導體業,141447,155756,150430,-9.18,-5.97,810339,735062,10.24
3227,原相,2023-06,tpex,半導體業,481180,424997,484111,13.21,-0.60,2481597,2982790,-16.80
3228,金麗科,2023-06,tpex,半導體業,27493,20285,51464,35.53,-46.57,153723,282224,-45.53
3259,鑫創,2023-06,tpex,半導體業,33301,28328,35917,17.55,-7.28,165153,213704,-22.71
3260,威剛,2023-06,tpex,半導體業,2283238,2453963,2999108,-6.95,-23.86,14075074,18472398,-23.80
3264,欣銓,2023-06,tpex,半導體業,1179402,1155412,1266145,2.07,-6.85,6748756,6693506,0.82
3265,台星科,2023-06,tpex,半導體業,322127,290405,400566,10.92,-19.58,1758415,2086786,-15.73
3268,海德威,2023-06,tpex,半導體業,108164,134290,106906,-19.45,1.17,524319,731335,-28.30
3317,尼克森,2023-06,tpex,半導體業,199857,194488,244149,2.76,-18.14,1180966,1500464,-21.29
3372,典範,2023-06,tpex,半導體業,79274,80408,106498,-1.41,-25.56,381442,747180,-48.94
3374,精材,2023-06,tpex,半導體業,555944,442163,734308,25.73,-24.29,2722774,3807515,-28.48
3438,類比科,2023-06,tpex,半導體業,78303,85017,82967,-7.89,-5.62,450678,665271,-32.25
3527,聚積,2023-06,tpex,半導體業,140994,154737,211360,-8.88,-33.29,933132,1533872,-39.16
3529,力旺,2023-06,tpex,半導體業,85565,254958,88829,-66.43,-3.67,1364376,1523399,-10.43
3555,博士旺,2023-06,tpex,半導體業,667,793,2157,-15.88,-69.07,6662,14223,-53.16
3556,禾瑞亞,2023-06,tpex,半導體業,78488,103120,115542,-23.88,-32.06,653338,883644,-26.06
3567,逸昌,2023-06,tpex,半導體業,37505,36093,32504,3.91,15.38,181751,212917,-14.63
3581,博磊,2023-06,tpex,半導體業,148937,91449,121645,62.86,22.43,726276,713491,1.79
3675,德微,2023-06,tpex,半導體業,139398,151182,198437,-7.79,-29.75,873867,1107194,-21.07
3680,家登,2023-06,tpex,半導體業,328873,347944,379707,-5.48,-13.38,2418673,2091338,15.65
3707,漢磊,2023-06,tpex,半導體業,634307,673293,764360,-5.79,-17.01,3685078,4360269,-15.48
4749,新應材,2023-06,tpex,半導體業,217840,183255,193914,18.87,12.33,1205771,966529,24.75
4923,力士,2023-06,tpex,半導體業,55010,50025,110123,9.96,-50.04,331334,649167,-48.96
4951,精拓科,2023-06,tpex,半導體業,34186,34315,51279,-0.37,-33.33,203869,316086,-35.50
4973,廣穎電通,2023-06,tpex,半導體業,343865,387927,311420,-11.35,10.41,2190344,2000721,9.47
5272,笙科,2023-06,tpex,半導體業,30429,25976,52713,17.14,-42.27,150806,347183,-56.56
5274,信驊,2023-06,tpex,半導體業,226350,225675,505432,0.29,-55.21,1349435,2576841,-47.63
5299,杰力,2023-06,tpex,半導體業,127614,160193,236219,-20.33,-45.97,844537,1487245,-43.21
5302,太欣,2023-06,tpex,半導體業,1345,3368,1224,-60.06,9.88,8009,6190,29.38
5344,立衛,2023-06,tpex,半導體業,22714,23125,25999,-1.77,-12.63,120387,153705,-21.67
5347,世界,2023-06,tpex,半導體業,3145421,3139510,5495251,0.18,-42.76,18041234,28792953,-37.34
5351,鈺創,2023-06,tpex,半導體業,234046,259188,444983,-9.70,-47.40,1303325,3023201,-56.88
5425,台半,2023-06,tpex,半導體業,1385457,1237106,1388402,11.99,-0.21,7376410,7695840,-4.15
5443,均豪,2023-06,tpex,半導體業,181485,257478,431651,-29.51,-57.95,1396160,2231452,-37.43
5468,凱鈺,2023-06,tpex,半導體業,12322,10731,11452,14.82,7.59,55686,101078,-44.90
5483,中美晶,2023-06,tpex,半導體業,7190123,6688875,7255189,7.49,-0.89,41221854,39039993,5.58
5487,通泰,2023-06,tpex,半導體業,12046,12240,17778,-1.58,-32.24,79894,145658,-45.14
6103,合邦,2023-06,tpex,半導體業,5035,4081,6784,23.37,-25.78,25648,30639,-16.28
6104,創惟,2023-06,tpex,半導體業,205202,205669,241191,-0.22,-14.92,1161152,2101800,-44.75
6129,普誠,2023-06,tpex,半導體業,125932,125903,158523,0.02,-20.55,866253,923609,-6.20
6138,茂達,2023-06,tpex,半導體業,440669,443601,614830,-0.66,-28.32,2426193,3990391,-39.19
6147,頎邦,2023-06,tpex,半導體業,1875143,1901312,2117666,-1.37,-11.45,10073748,13373961,-24.67
6182,合晶,2023-06,tpex,半導體業,809080,870775,1126354,-7.08,-28.16,5247314,6173223,-14.99
6187,萬潤,2023-06,tpex,半導體業,100448,92346,264031,8.77,-61.95,503665,1394474,-63.88
6208,日揚,2023-06,tpex,半導體業,364786,381426,416498,-4.36,-12.41,2177733,1940930,12.20
6223,旺矽,2023-06,tpex,半導體業,656272,669853,629222,-2.02,4.29,3796614,3604032,5.34
6229,研通,2023-06,tpex,半導體業,106336,98586,139858,7.86,-23.96,506177,838331,-39.62
6233,旺玖,2023-06,tpex,半導體業,33187,33938,38985,-2.21,-14.87,190754,218659,-12.76
6237,驊訊,2023-06,tpex,半導體業,36634,43471,96149,-15.72,-61.89,224794,462752,-51.42
6261,久元,2023-06,tpex,半導體業,288505,291304,454041,-0.96,-36.45,1714563,2616594,-34.47
6291,沛亨,2023-06,tpex,半導體業,182549,187784,129852,-2.78,40.58,924728,711285,30.00
6411,晶焱,2023-06,tpex,半導體業,262711,263990,305806,-0.48,-14.09,1359677,1887500,-27.96
6423,億而得,2023-06,tpex,半導體業,10464,11503,11936,-9.03,-12.33,85581,99647,-14.11
6435,大中,2023-06,tpex,半導體業,206662,223919,280792,-7.70,-26.40,1272040,1940025,-34.43
6462,神盾,2023-06,tpex,半導體業,270760,311126,136248,-12.97,98.72,1775293,1648253,7.70
6485,點序,2023-06,tpex,半導體業,149619,148945,154146,0.45,-2.93,830863,1047057,-20.64
6488,環球晶,2023-06,tpex,半導體業,6305467,5957256,6239323,5.84,1.06,36512414,33846308,7.87
6494,九齊,2023-06,tpex,半導體業,115848,111757,150183,3.66,-22.86,635190,1075691,-40.95
6510,精測,2023-06,tpex,半導體業,268881,238465,413917,12.75,-35.03,1419619,2014564,-29.53
6532,瑞耘,2023-06,tpex,半導體業,46226,74480,57960,-37.93,-20.24,333266,288260,15.61
6548,長科*,2023-06,tpex,半導體業,940307,1030613,1291426,-8.76,-27.18,5821267,7409151,-21.43
6568,宏觀,2023-06,tpex,半導體業,85690,61514,84830,39.30,1.01,534506,563211,-5.09
6640,均華,2023-06,tpex,半導體業,38092,89674,176439,-57.52,-78.41,483315,822040,-41.20
6643,M31,2023-06,tpex,半導體業,114380,116290,106482,-1.64,7.41,660759,547470,20.69
6651,全宇昕,2023-06,tpex,半導體業,125016,112171,165630,11.45,-24.52,685035,877393,-21.92
6679,鈺太,2023-06,tpex,半導體業,151185,150117,203423,0.71,-25.67,794753,1342629,-40.80
6683,雍智科技,2023-06,tpex,半導體業,115015,110363,135046,4.21,-14.83,717843,757387,-5.22
6684,安格,2023-06,tpex,半導體業,31293,28321,42116,10.49,-25.69,124797,289847,-56.94
6693,廣閎科,2023-06,tpex,半導體業,84754,82679,128273,2.50,-33.92,488236,738995,-33.93
6708,天擎,2023-06,tpex,半導體業,15636,18524,34908,-15.59,-55.20,83752,174950,-52.12
6716,應廣,2023-06,tpex,半導體業,79529,92522,99172,-14.04,-19.80,434658,572967,-24.13
