sid,market,T,first,P0,px_out,退路,g,R,EW,X,T_bar,ybar,slope,T_date
1101,twse,573,511,16.916980327,16.6019076275,False,-0.01862464183381085,-0.024474641833810852,0.015593590601592742,-0.03421823243540359,571,17.86785357651667,-0.028873526970658522,2017-05-16
1101,twse,676,616,17.121884526,16.970363424,False,-0.008849557522123908,-0.014699557522123909,0.017737956095257256,-0.026587513617381164,674,17.346169080874997,-0.010132143670394623,2017-10-11
1101,twse,939,879,20.68888608,20.085460236000003,False,-0.029166666666666452,-0.03501666666666645,0.0742951075552571,-0.10346177422192356,937,22.855472205599998,-0.07345477513553765,2018-11-02
1101,twse,1277,1217,26.10089361,28.295363646,False,0.08407643312101909,0.0782264331210191,0.16768887602512414,-0.08361244290410505,1275,27.962868185999998,-0.06665984279199774,2020-03-30
1101,twse,1493,1433,30.4399585875,31.731350770000002,False,0.042424242424242475,0.036574242424242474,0.09528173394468756,-0.05285749152044508,1491,31.283053198075002,-0.03147669128670465,2021-02-17
1101,twse,1693,1633,37.4069616625,37.209459224999996,False,-0.0052798310454067465,-0.011129831045406748,0.04086081604413373,-0.04614064708954048,1691,38.73681140833333,-0.054391918853153635,2021-12-06
1101,twse,1806,1746,33.81241729999999,31.363387075000002,False,-0.07242990654205583,-0.07827990654205583,-0.03771832167731923,-0.034711584864736605,1804,36.604443424791675,-0.11006247254758261,2022-05-30
1101,twse,1915,1855,26.93281888,30.627734527999998,False,0.13719008264462795,0.13134008264462796,0.10312630516578124,0.034063777478846716,1913,32.326802165333326,-0.16450901400077797,2022-11-02
1101,twse,2122,2062,31.951364568,30.507235096,False,-0.04519774011299438,-0.05104774011299438,-0.0041279173983261724,-0.041069822714668205,2120,32.945696955533336,-0.0513370788996943,2023-09-13
1101,twse,2151,2091,28.702073256000002,30.597493187999998,False,0.06603773584905648,0.06018773584905648,0.05968003443149011,0.006357701417566371,2149,31.21275251513333,-0.08434705218771883,2023-10-27
1101,twse,2231,2171,29.017976578,28.611815164,False,-0.013996889580093264,-0.019846889580093265,0.008254939380018035,-0.022251828960111297,2229,30.272564056799997,-0.04529707301205893,2024-02-29
1101,twse,2567,2507,23.008316086,22.911642489,False,-0.004201680672269004,-0.010051680672269005,0.036439068308484035,-0.04064074898075304,2565,25.87214048301667,-0.10249128963220334,2025-07-17
1101,twse,2594,2533,22.428274504,23.2500000785,False,0.036637931034482873,0.030787931034482872,0.025663657328623034,0.010974273705859839,2591,23.85493404109167,-0.046357829335968284,2025-08-25
1102,twse,598,538,15.051104296999998,15.108008282999998,False,0.003780718336483968,-0.002069281663516032,0.01650334947593702,-0.012722631139453051,598,16.444303554233333,-0.04921348897571547,2017-06-21
1102,twse,942,882,20.728843820999998,20.305806192000002,False,-0.020408163265305923,-0.026258163265305924,0.052066041558232315,-0.07247420482353824,942,23.45220513596667,-0.10473970824640177,2018-11-07
1102,twse,1278,1218,25.390498880000003,26.997492480000002,False,0.06329113924050622,0.05744113924050622,0.1650574907373869,-0.10176635149688068,1278,28.760900123733336,-0.1196024744918033,2020-03-31
1102,twse,1493,1433,28.215022113,30.208287987000006,False,0.07064555420219265,0.06479555420219266,0.09528173394468756,-0.024636179742494907,1493,29.371459986450006,-0.04254723416840792,2021-02-17
1102,twse,1812,1752,32.772977745000006,32.478389181000004,False,-0.008988764044943864,-0.014838764044943865,-0.10160078954769111,0.09261202550274725,1812,34.33675203890001,-0.052105505731675425,2022-06-08
1102,twse,2107,2047,33.540431567999995,33.6244928,False,0.0025062656641605674,-0.0033437343358394328,0.01635520238211189,-0.013848936717951323,2107,34.5720630828,-0.042556403955543325,2023-08-23
1102,twse,2224,2164,33.708554032,34.086829576,False,0.01122194513715713,0.00537194513715713,0.010532551570662692,0.0006893935664944381,2224,34.38664797013333,-0.03560748768657952,2024-02-19
1102,twse,2441,2381,35.91950417,35.47823262,False,-0.012285012285012331,-0.018135012285012332,0.011643687781937794,-0.023928700066950123,2440,38.964277865,-0.11371294424340102,2025-01-06
1102,twse,2550,2490,37.375700285,37.356322,False,-0.0005184728273246453,-0.0063684728273246454,0.0029115282653760506,-0.003430001092700696,2549,38.88705534375,-0.06175962557668799,2025-06-24
