H,窗內t1判開訊號,進模擬（xpos≥0）,剔除（出場超出資料尾或碰壞根）,其中出場超出資料尾
90,2036,1831,205,188
100,2036,1775,261,243
110,2036,1729,307,288
120,2036,1688,348,327
130,2036,1679,357,335
140,2036,1667,369,346
150,2036,1632,404,379
