H,年化中位,回落中位,比值,年化波動中位,標籤（對0050）,深淺註,年化p10,年化p90,回落p10,回落p90,對H120_年化中位差pp,對H120_回落中位差pp,對H120_比值差,同顆種子_年化高於H120,同顆種子_回落淺於H120,同顆種子_兩項皆好,同顆種子_兩項皆差,trades中位,種子數
90,0.3681357662802138,-0.44723957850662877,0.8231287747597175,0.29783917756444195,合格,回落比 0050 深 10.77 點、報酬多 12.79 點,0.32863026010764074,0.4206403801195882,-0.4822895530083026,-0.4119032137080228,-2.6270790941402167,-5.781274699532368,-0.18965854575177732,63,26,12,123,219.0,200
100,0.2276006017654978,-0.5591630986085974,0.40703795070141696,0.2780543335486002,不合格,,0.19684186166655607,0.26430081880446743,-0.5898511266414824,-0.5218126605561824,-16.68059554561182,-16.973626709729228,-0.6057493698100778,0,0,0,200,191.0,200
110,0.25930000565900224,-0.46833006713486414,0.5536693538498183,0.2789108585388804,另列,,0.23012588339316264,0.28432402960258696,-0.4999036662412053,-0.4238389681575964,-13.510655156261375,-7.890323562355905,-0.4591179666616765,0,13,0,187,172.0,200
120,0.394406557221616,-0.3894268315113051,1.0127873205114948,0.28416015707833947,合格,回落比 0050 深 4.99 點、報酬多 15.42 點,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0.0,0.0,0.0,0,0,0,0,163.0,200
130,0.36723801799949984,-0.5208227332015185,0.7051113451635892,0.2921705136337408,另列,,0.34373287823870186,0.3910772441655,-0.5304571090025502,-0.5104903882469659,-2.716853922211615,-13.139590169021343,-0.3076759753479056,38,0,0,162,150.0,200
140,0.27141052038516655,-0.5761001431115319,0.47111691193005306,0.3056222713992213,另列,,0.24840289472356883,0.2925349119657153,-0.5763085325612877,-0.5741297942060506,-12.299603683644944,-18.667331160022684,-0.5416704085814417,0,0,0,200,147.0,200
150,0.27277606618669903,-0.5769957493236313,0.47275229758010157,0.29559331864756366,另列,,0.24920343299551406,0.3042626094737211,-0.6076812281598515,-0.536119560111968,-12.163049103491696,-18.75689178123262,-0.5400350229313933,0,0,0,200,130.0,200
