month,mpos,n,hit,share
2023-07,2071,4,0,0.0
2023-08,2092,17,1,0.058823529411764705
2023-09,2114,14,1,0.07142857142857142
2023-10,2134,21,0,0.0
2023-11,2154,17,1,0.058823529411764705
2023-12,2176,17,2,0.11764705882352941
2024-01,2197,30,0,0.0
2024-02,2219,22,0,0.0
2024-03,2232,12,1,0.08333333333333333
2024-04,2253,4,0,0.0
2024-05,2273,19,0,0.0
2024-06,2295,14,0,0.0
2024-07,2314,19,3,0.15789473684210525
2024-08,2335,41,1,0.024390243902439025
2024-09,2357,35,8,0.22857142857142856
2024-10,2377,28,4,0.14285714285714285
2024-11,2396,37,5,0.13513513513513514
2024-12,2417,30,7,0.23333333333333334
2025-01,2439,38,4,0.10526315789473684
2025-02,2454,41,5,0.12195121951219512
2025-03,2473,24,2,0.08333333333333333
2025-04,2494,19,0,0.0
