month,mpos,n,hit,share
2017-03,522,8,0,0.0
2017-04,545,4,0,0.0
2017-05,563,22,1,0.045454545454545456
2017-06,583,6,0,0.0
2017-07,606,15,0,0.0
2017-08,627,16,2,0.125
2017-09,650,6,0,0.0
2017-10,672,34,6,0.17647058823529413
2017-11,691,33,2,0.06060606060606061
2017-12,713,19,3,0.15789473684210525
2018-01,734,16,4,0.25
2018-02,756,31,4,0.12903225806451613
2018-03,769,26,8,0.3076923076923077
2018-04,792,4,0,0.0
2018-05,810,29,3,0.10344827586206896
2018-06,832,14,3,0.21428571428571427
2018-07,852,35,6,0.17142857142857143
2018-08,874,26,3,0.11538461538461539
2018-09,897,28,3,0.10714285714285714
2018-10,916,25,2,0.08
2018-11,938,10,1,0.1
2018-12,960,4,0,0.0
2019-01,981,13,1,0.07692307692307693
2019-02,1002,13,3,0.23076923076923078
2019-03,1015,13,3,0.23076923076923078
2019-04,1035,2,0,0.0
2019-05,1055,15,2,0.13333333333333333
2019-06,1077,16,0,0.0
2019-07,1096,9,3,0.3333333333333333
2019-08,1119,13,1,0.07692307692307693
2019-09,1140,19,1,0.05263157894736842
2019-10,1159,31,1,0.03225806451612903
2019-11,1180,18,0,0.0
2019-12,1201,29,2,0.06896551724137931
2020-01,1223,9,1,0.1111111111111111
2020-02,1238,32,5,0.15625
2020-03,1257,8,1,0.125
2020-04,1279,3,0,0.0
2020-05,1299,5,0,0.0
2020-06,1319,23,0,0.0
2020-07,1339,15,1,0.06666666666666667
2020-08,1362,41,2,0.04878048780487805
2020-09,1383,37,9,0.24324324324324326
2020-10,1405,51,5,0.09803921568627451
2020-11,1424,74,7,0.0945945945945946
2020-12,1445,21,2,0.09523809523809523
2021-01,1468,23,1,0.043478260869565216
2021-02,1488,98,10,0.10204081632653061
2021-03,1501,44,6,0.13636363636363635
2021-04,1523,3,0,0.0
2021-05,1542,120,8,0.06666666666666667
2021-06,1563,37,3,0.08108108108108109
2021-07,1584,33,5,0.15151515151515152
2021-08,1606,61,6,0.09836065573770492
2021-09,1628,65,5,0.07692307692307693
2021-10,1648,82,9,0.10975609756097561
2021-11,1668,12,2,0.16666666666666666
2021-12,1690,34,3,0.08823529411764706
2022-01,1712,36,2,0.05555555555555555
2022-02,1730,76,6,0.07894736842105263
2022-03,1745,38,7,0.18421052631578946
2022-04,1768,1,0,0.0
2022-05,1787,45,3,0.06666666666666667
2022-06,1808,15,0,0.0
2022-07,1829,32,3,0.09375
2022-08,1850,23,1,0.043478260869565216
2022-09,1873,36,12,0.3333333333333333
2022-10,1894,58,4,0.06896551724137931
2022-11,1914,25,3,0.12
2022-12,1936,6,0,0.0
2023-01,1958,37,2,0.05405405405405406
2023-02,1971,19,1,0.05263157894736842
2023-03,1989,6,3,0.5
2023-04,2012,2,0,0.0
2023-05,2029,21,3,0.14285714285714285
2023-06,2051,4,0,0.0
2023-07,2071,4,0,0.0
2023-08,2092,17,0,0.0
2023-09,2114,14,1,0.07142857142857142
2023-10,2134,21,0,0.0
2023-11,2154,17,1,0.058823529411764705
2023-12,2176,17,2,0.11764705882352941
2024-01,2197,30,0,0.0
2024-02,2219,22,0,0.0
2024-03,2232,12,1,0.08333333333333333
2024-04,2253,4,0,0.0
2024-05,2273,19,0,0.0
2024-06,2295,14,0,0.0
2024-07,2314,19,3,0.15789473684210525
2024-08,2335,41,1,0.024390243902439025
2024-09,2357,35,8,0.22857142857142856
2024-10,2377,28,3,0.10714285714285714
2024-11,2396,37,3,0.08108108108108109
2024-12,2417,30,8,0.26666666666666666
2025-01,2439,38,2,0.05263157894736842
2025-02,2454,41,5,0.12195121951219512
2025-03,2473,24,2,0.08333333333333333
2025-04,2494,19,0,0.0
2025-05,2514,11,0,0.0
2025-06,2534,23,1,0.043478260869565216
2025-07,2555,23,2,0.08695652173913043
2025-08,2578,28,2,0.07142857142857142
2025-09,2599,25,4,0.16
2025-10,2620,36,2,0.05555555555555555
2025-11,2640,42,4,0.09523809523809523
2025-12,2660,38,6,0.15789473684210525
2026-01,2682,17,1,0.058823529411764705
2026-02,2703,89,4,0.0449438202247191
2026-03,2715,34,1,0.029411764705882353
