universe,rule,hit,n,share
全市場,逐月重算,40,503,0.07952286282306163
全市場,固定在窗頭,37,503,0.073558648111332
上市普通股,逐月重算,45,503,0.08946322067594434
上市普通股,固定在窗頭,38,503,0.07554671968190854
