date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2015-01-05,5209,,7.77,103,15.44,2.57,
2015-01-06,5209,,7.79,103,15.41,2.56,
2015-01-07,5209,,7.83,103,15.33,2.55,
2015-01-08,5209,,7.77,103,15.44,2.57,
2015-01-09,5209,,7.77,103,15.44,2.57,
2015-01-12,5209,,7.79,103,15.41,2.56,
2015-01-13,5209,,7.77,103,15.44,2.57,
2015-01-14,5209,,7.79,103,15.41,2.56,
2015-01-15,5209,,7.82,103,15.35,2.55,
2015-01-16,5209,,7.80,103,15.38,2.56,
2015-01-19,5209,,7.90,103,15.18,2.52,
2015-01-20,5209,,7.89,103,15.21,2.53,
2015-01-21,5209,,7.92,103,15.16,2.52,
2015-01-22,5209,,7.90,103,15.18,2.52,
2015-01-23,5209,,7.85,103,15.30,2.54,
2015-01-26,5209,,7.85,103,15.30,2.54,
2015-01-27,5209,,7.85,103,15.30,2.54,
2015-01-28,5209,,7.86,103,15.27,2.54,
2015-01-29,5209,,7.92,103,15.16,2.52,
2015-01-30,5209,,7.90,103,15.18,2.52,
2015-02-02,5209,,7.92,103,15.16,2.52,
2015-02-03,5209,,7.86,103,15.27,2.54,
2015-02-04,5209,,7.86,103,15.27,2.54,
2015-02-05,5209,,7.90,103,15.18,2.52,
2015-02-06,5209,,7.90,103,15.18,2.52,
2015-02-09,5209,,7.96,103,15.07,2.50,
2015-02-10,5209,,7.96,103,15.07,2.50,
2015-02-11,5209,,7.88,103,15.24,2.53,
2015-02-12,5209,,7.90,103,15.18,2.52,
2015-02-13,5209,,7.96,103,15.07,2.50,
2015-02-24,5209,,7.96,103,15.07,2.50,
2015-02-25,5209,,7.92,103,15.16,2.52,
2015-02-26,5209,,7.92,103,15.16,2.52,
2015-03-02,5209,,7.95,103,15.10,2.51,
2015-03-03,5209,,7.95,103,15.10,2.51,
2015-03-04,5209,,7.95,103,15.10,2.51,
2015-03-05,5209,,7.95,103,15.10,2.51,
2015-03-06,5209,,7.72,103,15.55,2.58,
2015-03-09,5209,,7.72,103,15.55,2.58,
2015-03-10,5209,,7.73,103,15.52,2.58,
2015-03-11,5209,,7.59,103,15.81,2.63,
2015-03-12,5209,,7.70,103,15.58,2.59,
2015-03-13,5209,,7.86,103,15.27,2.54,
2015-03-16,5209,,8.15,103,14.73,2.45,
2015-03-17,5209,,8.09,103,14.84,2.47,
2015-03-18,5209,,8.01,103,14.99,2.49,
2015-03-19,5209,,8.16,103,14.70,2.44,
2015-03-20,5209,,8.12,103,14.79,2.46,
2015-03-23,5209,,8.31,103,14.45,2.40,
2015-03-24,5209,,8.26,103,14.53,2.42,
2015-03-25,5209,,8.31,103,14.45,2.40,
2015-03-26,5209,,8.44,103,14.22,2.36,
2015-03-27,5209,,8.32,103,14.42,2.40,
2015-03-30,5209,,8.42,103,14.25,2.37,
2015-03-31,5209,,8.36,103,14.36,2.39,
2015-04-01,5209,,8.44,103,14.22,2.36,
2015-04-02,5209,,8.46,103,14.19,2.36,
2015-04-07,5209,,8.32,103,15.42,2.32,
2015-04-08,5209,,8.41,103,15.27,2.30,
2015-04-09,5209,,4.98,103,15.39,2.32,
2015-04-10,5209,,4.93,103,15.55,2.34,
2015-04-13,5209,,4.87,103,15.76,2.37,
2015-04-14,5209,,4.88,103,15.70,2.36,
2015-04-15,5209,,4.88,103,15.70,2.36,
2015-04-16,5209,,4.85,103,15.82,2.38,
2015-04-17,5209,,4.87,103,15.76,2.37,
2015-04-20,5209,,4.87,103,15.76,2.37,
2015-04-21,5209,,4.96,103,15.45,2.33,
2015-04-22,5209,,4.88,103,15.70,2.36,
2015-04-23,5209,,4.91,103,15.61,2.35,
2015-04-24,5209,,4.95,103,15.48,2.33,
2015-04-27,5209,,4.94,103,15.52,2.34,
2015-04-28,5209,,4.94,103,15.52,2.34,
2015-04-29,5209,,4.94,103,15.52,2.34,
2015-04-30,5209,,4.92,103,15.58,2.34,
2015-05-04,5209,,4.95,103,15.48,2.33,
2015-05-05,5209,,4.98,103,15.39,2.32,
