market,出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Date,SecuritiesCompanyCode,CompanyName,待註銷股本股數（單位：股）
tpex,,115,2,,,1285947.00,1029176.00,2315123.00,702217.00,51327.00,753544.00,464440.00,,144279.00,795286.00,95998.00,,1500003.00,,,61576.00,1561579.00,,0.00,0.00,33.91,1150905,1240,茂生農經,
tpex,,115,2,,,1743835.00,5435597.00,7179432.00,2086650.00,2279302.00,4365952.00,323895.00,,809816.00,1064487.00,606599.00,,2804797.00,,,8683.00,2813480.00,,0.00,0.00,86.60,1150905,1259,安心,0.00
tpex,,115,2,,,3396657.00,2789114.00,6185771.00,1690983.00,94156.00,1785139.00,370524.00,,673219.00,2470077.00,37649.00,0.00,3551469.00,,,849163.00,4400632.00,,0.00,0.00,95.85,1150905,1264,德麥,
tpex,,115,2,,,2360830.00,5143168.00,7503998.00,2448996.00,2653768.00,5102764.00,422237.00,,1123334.00,837322.00,18341.00,,2401234.00,,,,2401234.00,,0.00,0.00,56.87,1150905,1268,漢來美食,
tpex,,115,2,,,632919.00,594131.00,1227050.00,316249.00,88513.00,404762.00,366259.00,,313785.00,167526.00,,-28362.00,819208.00,,,3080.00,822288.00,,0.00,300000.00,27.06,1150905,1294,漢田生技,
tpex,,115,2,,,911192.00,2314828.00,3226020.00,836734.00,1078610.00,1915344.00,344748.00,,402588.00,544313.00,19027.00,,1310676.00,,,,1310676.00,,0.00,0.00,38.02,1150905,1295,生合,0.00
tpex,,115,2,,,1421203.00,1973502.00,3394705.00,1174952.00,320560.00,1495512.00,776144.00,,676871.00,568976.00,-122798.00,,1899193.00,,,,1899193.00,,0.00,0.00,24.47,1150905,1336,台翰,0.00
tpex,,115,2,,,4110234.00,3617036.00,7727270.00,1183403.00,133369.00,1316772.00,504165.00,,526000.00,5378133.00,2200.00,,6410498.00,,,,6410498.00,,0.00,0.00,127.15,1150905,1565,精華,0.00
tpex,,115,2,,,4010131.00,2982886.00,6993017.00,3098257.00,748626.00,3846883.00,1442474.00,,1809696.00,-262910.00,-18439.00,,2970821.00,,,175313.00,3146134.00,,0.00,0.00,20.60,1150905,1569,濱川,
tpex,,115,2,,,878316.00,316555.00,1194871.00,148929.00,8833.00,157762.00,515008.00,,,427118.00,94983.00,,1037109.00,,,,1037109.00,,0.00,0.00,20.14,1150905,1570,力肯,0.00
