date,stock_id,name
2026-08-31,2237,華德動能-創
2026-08-31,2254,巨鎧精密-創
2026-08-31,2258,鴻華先進-創
2026-08-31,2432,倚天酷碁-創
2026-08-31,3150,鈺寶-創
2026-08-31,4195,基米-創
2026-08-31,4582,聚恆-創
2026-08-31,4590,富田-創
2026-08-31,6534,正瀚-創
2026-08-31,6645,金萬林-創
2026-08-31,6771,平和環保-創
2026-08-31,6854,錼創科技-KY創
2026-08-31,6908,宏碁遊戲-創
2026-08-31,6921,嘉雨思-創
2026-08-31,6924,榮惠-KY創
2026-08-31,6951,青新-創
2026-08-31,6955,邦睿生技-創
2026-08-31,6969,成信實業*-創
2026-08-31,6988,威力暘-創
2026-08-31,7610,聯友金屬-創
2026-08-31,7631,聚賢研發-創
2026-08-31,7730,暉盛-創
2026-08-31,7740,熙特爾-創
2026-08-31,7803,雲象科技-創
2026-08-31,7823,奧義賽博-KY創
2026-08-31,7827,漢康-KY創
2026-08-31,7835,永悅健康-創
2026-08-31,8162,微矽電子-創
2026-08-31,8487,愛爾達-創
