month,k_m,q_m,實取,短缺
2017-03,8,2,2,6
2017-04,4,4,4,0
2017-05,22,4,4,18
2017-06,6,1,1,5
2017-07,15,3,3,12
2017-08,16,4,4,12
2017-09,6,2,2,4
2017-10,34,3,3,31
2017-11,33,3,3,30
2017-12,19,1,1,18
2018-01,16,5,5,11
2018-02,31,5,5,26
2018-03,26,4,4,22
2018-04,4,2,2,2
2018-05,29,6,6,23
2018-06,14,2,2,12
2018-07,35,4,4,31
2018-08,26,7,7,19
2018-09,28,7,7,21
2018-10,25,7,7,18
2018-11,10,8,8,2
2018-12,4,14,4,0
2019-01,13,6,6,7
2019-02,13,8,8,5
2019-03,13,4,4,9
2019-04,2,5,2,0
2019-05,15,1,1,14
2019-06,16,6,6,10
2019-07,9,2,2,7
2019-08,13,3,3,10
2019-09,19,3,3,16
2019-10,31,12,12,19
2019-11,18,4,4,14
2019-12,29,5,5,24
2020-01,9,1,1,8
2020-02,32,8,8,24
2020-03,8,18,8,0
2020-04,3,16,3,0
2020-05,5,13,5,0
2020-06,23,9,9,14
2020-07,15,7,7,8
2020-08,41,4,4,37
2020-09,37,6,6,31
2020-10,51,4,4,47
2020-11,74,2,2,72
2020-12,21,6,6,15
2021-01,23,1,1,22
2021-02,98,12,12,86
2021-03,44,7,7,37
2021-04,3,5,3,0
2021-05,120,1,1,119
2021-06,37,8,8,29
2021-07,33,5,5,28
2021-08,61,4,4,57
2021-09,65,4,4,61
2021-10,82,17,17,65
2021-11,12,0,0,12
2021-12,34,7,7,27
2022-01,36,6,6,30
2022-02,76,33,33,43
2022-03,38,28,28,10
2022-04,1,14,1,0
2022-05,45,24,24,21
2022-06,15,10,10,5
2022-07,32,19,19,13
2022-08,23,31,23,0
2022-09,36,30,30,6
2022-10,58,38,38,20
2022-11,25,11,11,14
2022-12,6,14,6,0
2023-01,37,21,21,16
2023-02,19,14,14,5
2023-03,6,9,6,0
2023-04,2,6,2,0
2023-05,21,24,21,0
2023-06,4,12,4,0
2023-07,4,10,4,0
2023-08,17,9,9,8
2023-09,14,31,14,0
2023-10,21,36,21,0
2023-11,17,46,17,0
2023-12,17,22,17,0
2024-01,30,14,14,16
2024-02,22,5,5,17
2024-03,12,4,4,8
2024-04,4,19,4,0
2024-05,19,29,19,0
2024-06,14,19,14,0
2024-07,19,31,19,0
2024-08,41,38,38,3
2024-09,35,27,27,8
2024-10,28,22,22,6
2024-11,37,24,24,13
2024-12,30,13,13,17
2025-01,38,15,15,23
2025-02,41,25,25,16
2025-03,24,7,7,17
2025-04,19,35,19,0
2025-05,11,17,11,0
2025-06,23,14,14,9
2025-07,23,24,23,0
2025-08,28,12,12,16
2025-09,25,4,4,21
2025-10,36,6,6,30
2025-11,41,2,2,39
2025-12,38,7,7,31
2026-01,17,11,11,6
2026-02,89,7,7,82
2026-03,34,6,6,28
