seed,j,cagr,mdd
102000,1,0.04338152512287463,-0.4553603647833529
102000,2,0.1614706990722714,-0.337928033619175
102000,3,0.09737646996674898,-0.45715209456322453
102000,4,0.09950729873242259,-0.48367837757907045
102000,5,0.054753512326740195,-0.538177147138169
102000,6,0.12726011430938344,-0.4100349120113018
102000,7,0.05254223858704643,-0.613602752114106
102000,8,0.17490616497080658,-0.47052149486939193
102000,9,0.14763800537168703,-0.3564464972605013
102000,10,0.18364593367570614,-0.3380800168636697
102000,11,0.19748356543959655,-0.2836955202413733
102000,12,0.1372110089622851,-0.3992657816462731
102000,13,0.1213370480943865,-0.3655101195469465
102000,14,0.12873069596793507,-0.4003079661292511
102000,15,0.09477474487984483,-0.5410959380626496
102000,16,0.1474587145070183,-0.39707442856727754
102000,17,0.10681476555790081,-0.34646795002705555
102000,18,0.19151353919248115,-0.32295030820078596
102000,19,0.20605309787348736,-0.42647733998396825
102000,20,0.0842324810641768,-0.422023997579221
102000,21,0.08749036605035965,-0.4508530519368696
102000,22,0.10134156204925104,-0.4815303384216456
102000,23,0.058150855823513536,-0.47620473505868727
102000,24,0.15361019229613126,-0.5616871226283174
102000,25,0.13732878704236406,-0.46806009118510944
102000,26,0.1069932907815696,-0.37883900848050556
102000,27,0.06429129024855751,-0.5172449515246611
102000,28,0.06534912065038534,-0.5829812189587271
102000,29,0.12677508857344977,-0.3883602819815237
102000,30,0.07521571450934439,-0.451186294891111
102001,1,0.09613404041839568,-0.38698242343119504
102001,2,0.05085379662629119,-0.37616747146995083
102001,3,0.18169352424223972,-0.35377105996980845
102001,4,0.09506635352967607,-0.4212546959311799
102001,5,0.11367506337652178,-0.3293957003116044
102001,6,0.10614511591723796,-0.47997986748443433
102001,7,0.06734187560522376,-0.428863588651783
102001,8,0.12353699651740646,-0.3188736372805347
102001,9,0.04895645164395046,-0.4463077618759429
102001,10,0.1569586425247531,-0.4566428602096386
102001,11,0.12671652994535298,-0.38234377090002114
102001,12,0.13391936873161803,-0.34896670709869293
102001,13,0.16696257838209783,-0.3813082572101056
102001,14,0.06148254105641948,-0.5706951874303899
102001,15,0.07603672689650787,-0.47611559624220057
102001,16,0.09539695145567628,-0.3637132770107652
102001,17,0.17426930605929525,-0.42251269292330323
102001,18,0.08274531716285294,-0.5111337734900531
102001,19,0.11652344474037912,-0.38510992685262263
102001,20,0.20783114160842953,-0.40359761716326686
102001,21,0.05474089060068188,-0.4277986092178044
102001,22,0.11701359165929759,-0.3625115773749315
102001,23,0.08737710158719403,-0.5270251499189758
102001,24,0.1382504991400335,-0.4386912246555717
102001,25,0.041506109960756765,-0.41373077591665386
102001,26,0.06441536270699078,-0.4201273894563482
102001,27,0.08475211782490555,-0.38165102269933354
102001,28,0.10314872489346794,-0.4178090999055102
102001,29,0.09886206845962375,-0.41526685951804815
102001,30,0.09074708889643346,-0.4267790944738511
102002,1,0.18288538492471762,-0.34507990331630917
102002,2,0.1951142993442201,-0.29061676358407873
102002,3,0.18508696562918492,-0.36615130606178153
102002,4,0.178537347890807,-0.3457849593527889
102002,5,0.19533854275718188,-0.27614135567280607
102002,6,0.1671894682495767,-0.29229320886088167
102002,7,0.18056940998401982,-0.2608565723398245
102002,8,0.1523580342636066,-0.3915324170229363
102002,9,0.06992877725469371,-0.359310706740125
102002,10,0.16568694448634158,-0.3716868901806247
102002,11,0.1621166251294568,-0.3841435461698036
102002,12,0.12129023485092638,-0.4208542644111944
102002,13,0.1174393455136904,-0.433447648757394
102002,14,0.2390851065120605,-0.33234764562790586
102002,15,0.2067441579176703,-0.3437081181451599
102002,16,0.13536063598198833,-0.32748077255138563
102002,17,0.21419429413739044,-0.3532688350203693
102002,18,0.13164964461583573,-0.3737642605972072
102002,19,0.18246192883493006,-0.4239104525482723
102002,20,0.10989930795894942,-0.31554796062193524
102002,21,0.19401759212451464,-0.3109495839202509
102002,22,0.23662793328475962,-0.3192273325155708
102002,23,0.20726228068523067,-0.30338638598349954
102002,24,0.14220562769847578,-0.34408821334297124
102002,25,0.21126481015318221,-0.5595647145460773
102002,26,0.14156981107412836,-0.3425149675347166
102002,27,0.2001560456386402,-0.3831158738273208
102002,28,0.19085700059279387,-0.3648777239946695
102002,29,0.08745964234283332,-0.34117926790311703
102002,30,0.08957358244059921,-0.37501398904749395
102003,1,0.1935722200138179,-0.38619826678846636
102003,2,0.09229295850719788,-0.35915570500311894
102003,3,0.10470166139551607,-0.49499136558760065
102003,4,0.12515344788307758,-0.4648296256128105
102003,5,0.13113367308833768,-0.33266279951697136
102003,6,0.17396309980638658,-0.3614156143986145
102003,7,0.13684373370672764,-0.36888310159858756
102003,8,0.1878219372896357,-0.3491794046835267
102003,9,0.10032556905380496,-0.4338144437933052
102003,10,0.15441254709485386,-0.41832669927469596
102003,11,0.11876453885822613,-0.40448652993699696
102003,12,0.11425101688643235,-0.3989927794346457
102003,13,0.07301279640105873,-0.3843732410828666
102003,14,0.09056765399000954,-0.44745275323345024
102003,15,0.20901196701605507,-0.5174170942774595
102003,16,0.1853423335530684,-0.33450608127561376
102003,17,0.08108936709615677,-0.5259057216036587
102003,18,0.10136586876254339,-0.4355840127896928
102003,19,0.14523587674576133,-0.39747438898240534
102003,20,0.1513354134104108,-0.3917389848633984
102003,21,0.12473609899177451,-0.3952444559322995
102003,22,0.06535170478446783,-0.3855034587777104
102003,23,0.2102849402116791,-0.30806531559285444
102003,24,0.14444703072677467,-0.4135515935624056
102003,25,0.11633114754632357,-0.5194224336399907
102003,26,0.11918251830057436,-0.4052080023240881
102003,27,0.09257243114801406,-0.5487511117412475
102003,28,0.07264052950102728,-0.39199949258264916
102003,29,0.1315495414825738,-0.39462396855667514
102003,30,0.1342320663065546,-0.4215847795116807
102004,1,0.15148022061459843,-0.33816881874628735
102004,2,0.12171643246172437,-0.35667307723102576
102004,3,0.10123547897949425,-0.449243424518669
102004,4,0.22779501573574867,-0.26970122129589985
102004,5,0.18153948601702075,-0.32348778958826263
102004,6,0.20774854341908644,-0.3440864289212799
102004,7,0.19298989328488614,-0.35470874595368734
102004,8,0.10241108406432975,-0.3965021610431294
102004,9,0.1817994844567714,-0.394611729363952
102004,10,0.008973258337436674,-0.42718001854202564
102004,11,0.07948775403473896,-0.3487698827608145
102004,12,0.13320174314337918,-0.345345214146317
102004,13,0.15888337208171066,-0.29218601902548735
102004,14,0.10938895426662021,-0.38914086372723655
102004,15,0.14823083538345583,-0.334411521871817
102004,16,0.10438448654310362,-0.3820780144455699
102004,17,0.08982937045555439,-0.3683136397509075
102004,18,0.15817562040165223,-0.30097305159425
102004,19,0.14818090436007103,-0.3326113333661678
102004,20,0.1468501726375857,-0.32871540231965773
102004,21,0.12236831738339427,-0.3678949140151892
102004,22,0.12303509511499144,-0.4191253339293165
102004,23,0.1587013198532381,-0.3441651174233435
102004,24,0.18245865953656448,-0.3192074836933118
102004,25,0.1458317166752623,-0.43155292381280186
102004,26,0.11820067982591742,-0.4716680489539318
102004,27,0.16330524485105968,-0.30482276649868156
102004,28,0.15585700964076588,-0.398455641938815
102004,29,0.04908195936120752,-0.41064715444114036
102004,30,0.15848381149737212,-0.3057889132611851
102005,1,0.10970463356651483,-0.3994651291387601
102005,2,0.10841770754592761,-0.4531417947128272
102005,3,0.09143972207812157,-0.45335585005415896
102005,4,0.19347392568399524,-0.32849338811496637
102005,5,0.1094090160241814,-0.32730484808075705
102005,6,0.11446717956780095,-0.38983557315577033
102005,7,0.09521936403043374,-0.4389222430790475
102005,8,0.12327452209627898,-0.3642707587574486
102005,9,0.17105559684438676,-0.3234617413157168
102005,10,0.08126002673862698,-0.40133001297109344
102005,11,0.05736141436138187,-0.38610820327128115
102005,12,0.12523754986665447,-0.5179429199114888
102005,13,0.04222575510610804,-0.38973283424233107
102005,14,0.2115397385835991,-0.2997764485302584
102005,15,0.13461952276551736,-0.3481526466587314
102005,16,0.1856445815480816,-0.3998308801006353
102005,17,0.16618493651060873,-0.4054577951624087
102005,18,0.14554765867980302,-0.3569719775808137
102005,19,0.03187654756077318,-0.47491553346564347
102005,20,0.20626436069736176,-0.260928710419374
102005,21,0.14946304524799614,-0.3656805482151077
102005,22,0.18902849122363086,-0.352162652933787
102005,23,0.17152873007602443,-0.33295924755391715
102005,24,0.12162859637897849,-0.33364521982177564
102005,25,0.06224810338801667,-0.40008074102582875
102005,26,0.1646731670380377,-0.31163436573596953
102005,27,0.1790671003208013,-0.3279624647235335
102005,28,0.15408216096270722,-0.4706753233328098
102005,29,0.07962130860648964,-0.4156906978081585
102005,30,0.18611787741822816,-0.2784061445249487
102006,1,0.10739579866987992,-0.44780153794889616
