seed,arm,cagr,mdd
102000,碎形k1,0.07698717470532834,-0.541527224765408
102001,碎形k1,-0.057860216875902704,-0.6092379500842391
102002,碎形k1,0.0009387005605572263,-0.44116340301336154
102003,碎形k1,0.04045599987155524,-0.6485578440039256
102004,碎形k1,0.0031531520785439415,-0.43153763623310143
102005,碎形k1,0.047970380767357046,-0.43182493959507035
102006,碎形k1,-0.014087777007518398,-0.5387037107096296
102007,碎形k1,0.035582972928892564,-0.5061983142634232
102008,碎形k1,0.051058293208758876,-0.49534669590192953
102009,碎形k1,0.008763357356205148,-0.5693839687815595
102010,碎形k1,-0.023354916809867676,-0.5587677191680062
102011,碎形k1,-0.025299708362129247,-0.5307388310650943
102012,碎形k1,0.016001148515911057,-0.5123500798741882
102013,碎形k1,0.07538611016582908,-0.5105865170724829
102014,碎形k1,-0.04291201720836524,-0.6475630870363094
102015,碎形k1,-0.02412288417300279,-0.5924698043246164
102016,碎形k1,-0.04198898748656954,-0.6493467011027906
102017,碎形k1,-0.023393948645356488,-0.6144045204688884
102018,碎形k1,0.005983505981860038,-0.5990164877044798
102019,碎形k1,0.017539421004851397,-0.5107666850280855
102020,碎形k1,-0.007511948929837198,-0.618089646693856
102021,碎形k1,-0.002956298517897582,-0.6536759574021291
102022,碎形k1,0.009046337866913445,-0.5169414996573334
102023,碎形k1,0.004394259796669964,-0.539142968739168
102024,碎形k1,-0.05566543227162779,-0.5286585356519268
102025,碎形k1,0.008882645016221602,-0.5080328431545817
102026,碎形k1,-0.019956966158879985,-0.5542946596099823
102027,碎形k1,-0.03960948319026736,-0.5325318591722455
102028,碎形k1,0.030008887814939156,-0.5770442052969789
102029,碎形k1,-0.013645584303972114,-0.5885693672664429
102030,碎形k1,-0.025279111163264423,-0.5806236928842887
102031,碎形k1,-0.01825060203522888,-0.6430641086850488
102032,碎形k1,0.0316225798448766,-0.461714298568347
102033,碎形k1,0.08735411002416948,-0.5208784224305583
102034,碎形k1,0.008289188918556567,-0.5469355069291896
102035,碎形k1,0.01988005870060161,-0.468045841072301
102036,碎形k1,0.004363443321262261,-0.5916199030576954
102037,碎形k1,-0.0013196800862967928,-0.548834276846888
102038,碎形k1,-0.039838679897570284,-0.5984848825614825
102039,碎形k1,0.04827811919095848,-0.3175186490022937
102040,碎形k1,-0.014531908650822212,-0.6021357325844199
102041,碎形k1,-0.051686174233611215,-0.6088344128266042
102042,碎形k1,-0.019765153699081717,-0.6667476486742799
102043,碎形k1,0.02427357796887808,-0.5779963646495787
102044,碎形k1,0.0019706511982453545,-0.5687614127749232
102045,碎形k1,0.03257977147507729,-0.5986852297346212
102046,碎形k1,-0.019646669673519468,-0.563192156589757
102047,碎形k1,0.0045786063644412955,-0.568629924992997
102048,碎形k1,-0.016936184024266887,-0.614998958866224
102049,碎形k1,-0.026020003588636098,-0.5986022780415754
102050,碎形k1,0.06791235824314623,-0.43971918691663214
102051,碎形k1,-0.04536614583900456,-0.49289890713219847
102052,碎形k1,-0.038384128246262694,-0.5767955951696822
102053,碎形k1,0.043277454917329594,-0.4326491512612823
102054,碎形k1,-0.05755022444664071,-0.6265072301675998
102055,碎形k1,-0.024160565703620684,-0.597469077355812
102056,碎形k1,0.020614431419527124,-0.44465232112562075
102057,碎形k1,0.021239837852443877,-0.5107530070817884
102058,碎形k1,-0.0436985684565484,-0.5701752129723097
