seed,cagr,mdd,cash_cagr,cash_mdd,n_stop,trades,avg_cash,seg_stop_w
102000,0.09938256113987665,-0.5895551845451811,0.10481588604998571,-0.2270659010840277,617,618,0.5113770190251519,2.123867600500756
102001,0.0554817939995873,-0.5913682155904284,0.11486978649231538,-0.2165627376230601,620,621,0.5235054027854835,2.0782999501419854
102002,0.12038864772457658,-0.34574183310241724,0.1262194305085691,-0.2077977957590985,615,617,0.49988200334962196,2.1428251815104638
102003,0.029136389436008825,-0.6283231555080332,0.1003831745332826,-0.20042056977940315,616,618,0.5192268907452822,1.935711351160222
102004,0.04936428667050574,-0.4712705694093542,0.12298529946177927,-0.2506440985624143,627,629,0.5152373938393315,2.1147722924235834
102005,0.09216642065497704,-0.44686794292447424,0.10538593113178463,-0.20982465263377093,622,623,0.5235772545030768,1.9766010145815007
102006,0.04717955125783102,-0.4132201297295489,0.10602507259575589,-0.21234554462700916,626,627,0.5092644262982068,2.1111592393914482
102007,0.11815738763439931,-0.4247633645255936,0.10073199867690952,-0.26035283690210087,602,604,0.5038824211209934,2.223692659162029
102008,0.06574389735296715,-0.5917380655168298,0.11638295029527446,-0.2245637895459931,633,634,0.505459901004393,2.13327576221635
102009,-0.006646107215406705,-0.6639023970611055,0.1069094552930161,-0.20281889636385964,640,643,0.5269198105418429,2.236902137623832
102010,0.012989079205407483,-0.47436718440745784,0.09588270365012064,-0.26591703792579435,624,626,0.5222803973454718,2.0999128420871025
102011,0.05802268645055664,-0.5605131861884434,0.12237995630136678,-0.20033126475045937,623,624,0.5112943090675874,2.1367557417143104
102012,0.040337332898159994,-0.5310680442417735,0.10911391888149935,-0.23841294902511223,617,619,0.512586211909307,2.249734413704409
102013,0.1945878359352513,-0.5464418449957892,0.12096283453032508,-0.2332580942137794,611,613,0.5014586001816983,2.042160916717755
102014,0.013318508993142464,-0.625454120580569,0.10332103467777043,-0.23207392461320364,632,633,0.5158806907782139,2.075463938589986
102015,-0.022752202835025104,-0.6528344110565204,0.10361987447617049,-0.2533728891178343,635,636,0.5281549972543644,2.157977454625864
102016,0.009720881808758186,-0.6671421598330113,0.11297683064597575,-0.20782797413391874,621,622,0.5295942192904499,2.0875895047900017
102017,0.026681626540944414,-0.40105065685868324,0.10629394621499522,-0.22882128344430064,609,611,0.49523721402996534,1.953337309998841
102018,0.03941911423510813,-0.5582497061832992,0.10885900269949489,-0.23138303968236484,630,633,0.5196240017698032,2.112138960436547
102019,0.0503310315161023,-0.5431861836072813,0.13360911813409815,-0.21701200486184957,629,631,0.5084288235202988,2.06942706878109
102020,0.06418019764858829,-0.6177533900492648,0.11703931787189181,-0.24467075591029008,616,617,0.5080463376855218,1.9431480975806896
102021,-0.02247070880106139,-0.6025368911321487,0.0977550489933674,-0.2573188290524989,629,630,0.5177788296658985,2.0972016812538774
102022,0.07169756799305715,-0.5658624556598157,0.10536574823241596,-0.23773367996045125,613,613,0.49943451063153066,2.017848757411763
102023,0.07988249107958434,-0.5415699965661186,0.1324344582994117,-0.21500298099521464,621,623,0.5093176522158552,2.1076831489415353
