date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2015-06-04,1307,214000,-12907,-4000,197093,-4000,0
2015-06-05,1307,365000,0,-12000,353000,-12000,0
2015-06-08,1307,-55000,0,18000,-37000,18000,0
2015-06-09,1307,-54000,0,-7000,-61000,-7000,0
2015-06-10,1307,117000,88000,-18000,187000,-18000,0
2015-06-11,1307,-105274,0,6000,-99274,6000,0
2015-06-12,1307,51000,0,0,51000,0,0
2015-06-15,1307,138000,15000,0,153000,0,0
2015-06-16,1307,-97074,0,2000,-95074,2000,0
2015-06-17,1307,-128000,0,-7000,-135000,-7000,0
2015-06-18,1307,-14000,0,0,-14000,0,0
2015-06-22,1307,20000,-2120,-1000,16880,-1000,0
2015-06-23,1307,-24000,52000,1000,29000,1000,0
2015-06-24,1307,104000,0,0,104000,0,0
2015-06-25,1307,5000,0,0,5000,0,0
2015-06-26,1307,-41000,0,0,-41000,0,0
2015-06-29,1307,-370000,0,-3000,-373000,-3000,0
2015-06-30,1307,-13070,0,0,-13070,0,0
2015-07-01,1307,15000,0,0,15000,0,0
2015-07-02,1307,-106000,0,16000,-90000,16000,0
2015-07-03,1307,55000,0,-2000,53000,-2000,0
2015-07-06,1307,-10000,0,-7000,-17000,-7000,0
2015-07-07,1307,167856,-40000,-6000,121856,-6000,0
2015-07-08,1307,132000,0,8000,140000,8000,0
2015-07-09,1307,36000,0,1000,37000,1000,0
2015-07-13,1307,42000,30000,-3000,69000,-3000,0
2015-07-14,1307,-10000,0,17000,7000,17000,0
2015-07-15,1307,41000,-47000,0,-6000,0,0
2015-07-16,1307,153000,0,-1000,152000,-1000,0
2015-07-17,1307,89000,-10000,3000,82000,-2000,5000
2015-07-20,1307,50000,0,5000,55000,5000,0
2015-07-21,1307,45000,0,-3000,42000,0,-3000
2015-07-22,1307,172000,0,84000,256000,18000,66000
2015-07-23,1307,191970,0,-34000,157970,-8000,-26000
2015-07-24,1307,37000,1000,-20000,18000,-5000,-15000
2015-07-27,1307,110000,0,-4000,106000,23000,-27000
2015-07-28,1307,135000,2000,14000,151000,14000,0
2015-07-29,1307,183000,33010,9000,225010,-2000,11000
2015-07-30,1307,36000,30000,4000,70000,-5000,9000
2015-07-31,1307,-15000,0,-10000,-25000,-10000,0
2015-08-03,1307,35000,0,-16000,19000,-7000,-9000
2015-08-04,1307,63000,0,14000,77000,14000,0
2015-08-05,1307,137000,0,5000,142000,5000,0
2015-08-06,1307,8000,-63000,5000,-50000,2000,3000
2015-08-07,1307,88000,89000,9000,186000,-1000,10000
2015-08-10,1307,83000,120000,-6000,197000,-2000,-4000
2015-08-11,1307,-100000,33000,-27000,-94000,-26000,-1000
2015-08-12,1307,60000,0,17000,77000,17000,0
2015-08-13,1307,57000,22000,2000,81000,2000,0
2015-08-14,1307,51000,63000,56000,170000,-2000,58000
2015-08-17,1307,-122000,0,-23000,-145000,0,-23000
2015-08-18,1307,-55000,80000,-5000,20000,-11000,6000
2015-08-19,1307,-116000,80000,5000,-31000,5000,0
2015-08-20,1307,80000,29000,22000,131000,-5000,27000
2015-08-21,1307,-73920,50000,-30000,-53920,-2000,-28000
2015-08-24,1307,-299000,0,-17000,-316000,2000,-19000
2015-08-25,1307,213582,-777,-14000,198805,-3000,-11000
2015-08-26,1307,57000,0,43000,100000,-2000,45000
2015-08-27,1307,-85000,0,-13000,-98000,-8000,-5000
2015-08-28,1307,-114020,50000,12000,-52020,-3000,15000
2015-08-31,1307,-75000,-2000,26000,-51000,-2000,28000
2015-09-01,1307,58580,-3000,-30000,25580,-6000,-24000
2015-09-02,1307,-85000,0,-18000,-103000,-2000,-16000
2015-09-03,1307,100567,0,-4000,96567,-1000,-3000
2015-09-04,1307,-27000,0,-8000,-35000,0,-8000
2015-09-07,1307,-3000,0,17000,14000,0,17000
2015-09-08,1307,-48410,0,2000,-46410,-1000,3000
2015-09-09,1307,-37000,10000,19000,-8000,5000,14000
2015-09-10,1307,-23600,10000,0,-13600,0,0
2015-09-11,1307,-19000,0,-12000,-31000,0,-12000
2015-09-14,1307,-41000,0,-27600,-68600,-3600,-24000
2015-09-15,1307,21880,0,3000,24880,-1000,4000
2015-09-16,1307,-11000,0,33000,22000,1000,32000
2015-09-17,1307,35000,0,25000,60000,3000,22000
2015-09-18,1307,51000,0,13000,64000,0,13000
2015-09-21,1307,-108000,37000,-26000,-97000,-3000,-23000
2015-09-22,1307,15903,-404,-1000,14499,-1000,0
2015-09-23,1307,-36000,0,3000,-33000,-1000,4000
2015-09-24,1307,-170000,83000,-5000,-92000,1000,-6000
2015-09-25,1307,-55000,141000,54000,140000,0,54000
2015-09-30,1307,-125597,0,233000,107403,60000,173000
2015-10-01,1307,-205000,70000,-165000,-300000,-53000,-112000
2015-10-02,1307,-56000,-72000,148000,20000,192000,-44000
2015-10-05,1307,116000,60000,152000,328000,177000,-25000
2015-10-06,1307,79940,78000,66000,223940,120000,-54000
2015-10-07,1307,71000,-30000,190000,231000,162000,28000
2015-10-08,1307,-152000,-30000,-44000,-226000,0,-44000
2015-10-12,1307,27719,-30000,-12000,-14281,-5000,-7000
2015-10-13,1307,-33000,-180000,-19000,-232000,-37000,18000
2015-10-14,1307,39000,-40000,-11000,-12000,0,-11000
2015-10-15,1307,43000,0,-125000,-82000,-129000,4000
2015-10-16,1307,299000,0,-165000,134000,-162000,-3000
2015-10-19,1307,-193000,0,-273000,-466000,-333000,60000
2015-10-20,1307,-107887,-10000,-45000,-162887,-25000,-20000
2015-10-21,1307,83000,0,-17000,66000,3000,-20000
2015-10-22,1307,2000,0,2000,4000,0,2000
