date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2016-06-04,00647L,0,0,-2000,-2000,0,-2000
2016-06-06,00647L,0,0,5000,5000,0,5000
2016-06-07,00647L,0,0,19000,19000,0,19000
2016-06-08,00647L,0,0,-12000,-12000,0,-12000
2016-06-13,00647L,-2000,0,257000,255000,0,257000
2016-06-14,00647L,0,0,40000,40000,0,40000
2016-06-15,00647L,-1000,0,-54000,-55000,0,-54000
2016-06-16,00647L,0,0,234000,234000,0,234000
2016-06-17,00647L,0,0,-17000,-17000,0,-17000
2016-06-20,00647L,-2000,0,-28000,-30000,0,-28000
2016-06-21,00647L,-52000,0,53000,1000,0,53000
2016-06-22,00647L,5000,0,23000,28000,0,23000
2016-06-23,00647L,0,0,51000,51000,0,51000
2016-06-24,00647L,446000,0,-774000,-328000,0,-774000
2016-06-27,00647L,-61000,0,-761000,-822000,0,-761000
2016-06-28,00647L,-1058000,0,-674000,-1732000,0,-674000
2016-06-29,00647L,63000,0,1559000,1622000,0,1559000
2016-06-30,00647L,0,0,761000,761000,0,761000
2016-07-01,00647L,-2000,0,289000,287000,0,289000
2016-07-04,00647L,0,0,49000,49000,0,49000
2016-07-05,00647L,0,0,110000,110000,0,110000
2016-07-06,00647L,0,0,-95000,-95000,0,-95000
2016-07-07,00647L,0,0,50000,50000,0,50000
2016-07-11,00647L,0,0,175000,175000,0,175000
2016-07-12,00647L,0,0,58000,58000,0,58000
2016-07-13,00647L,0,0,85000,85000,0,85000
2016-07-14,00647L,0,0,-19000,-19000,0,-19000
2016-07-15,00647L,-1000,0,-78000,-79000,0,-78000
2016-07-18,00647L,0,0,-5000,-5000,0,-5000
2016-07-19,00647L,0,0,45000,45000,0,45000
2016-07-20,00647L,0,0,10000,10000,0,10000
2016-07-21,00647L,3000,0,29000,32000,0,29000
2016-07-22,00647L,0,0,14000,14000,0,14000
2016-07-25,00647L,2000,0,24000,26000,0,24000
2016-07-26,00647L,0,0,16000,16000,0,16000
2016-07-27,00647L,0,0,13000,13000,0,13000
2016-07-28,00647L,0,0,18000,18000,0,18000
2016-07-29,00647L,0,0,21000,21000,0,21000
2016-08-01,00647L,0,0,55000,55000,0,55000
2016-08-02,00647L,0,0,-2000,-2000,0,-2000
2016-08-03,00647L,-28000,0,62000,34000,0,62000
2016-08-04,00647L,0,0,37000,37000,0,37000
2016-08-05,00647L,0,0,-9000,-9000,0,-9000
2016-08-08,00647L,25000,0,-21000,4000,0,-21000
2016-08-09,00647L,0,0,-20000,-20000,0,-20000
2016-08-10,00647L,-198000,0,204000,6000,0,204000
2016-08-11,00647L,0,0,-14000,-14000,0,-14000
2016-08-12,00647L,0,0,-10000,-10000,37000,-47000
2016-08-15,00647L,0,0,33000,33000,0,33000
2016-08-16,00647L,0,0,2000,2000,0,2000
2016-08-17,00647L,0,0,11000,11000,323000,-312000
2016-08-18,00647L,0,0,10000,10000,-78000,88000
2016-08-19,00647L,0,0,33000,33000,1000,32000
2016-08-22,00647L,0,0,18000,18000,394000,-376000
2016-08-23,00647L,0,0,17000,17000,155000,-138000
2016-08-24,00647L,0,0,14000,14000,318000,-304000
2016-08-25,00647L,0,0,-87000,-87000,-208000,121000
2016-08-26,00647L,0,0,-34000,-34000,95000,-129000
2016-08-29,00647L,0,0,2000,2000,-260000,262000
2016-08-30,00647L,0,0,-1000,-1000,299000,-300000
2016-08-31,00647L,0,0,0,0,-9000,9000
2016-09-01,00647L,0,0,3000,3000,-200000,203000
2016-09-02,00647L,0,0,-13000,-13000,-75000,62000
2016-09-05,00647L,0,0,19000,19000,55000,-36000
2016-09-06,00647L,0,0,4000,4000,0,4000
2016-09-07,00647L,0,0,-5000,-5000,0,-5000
2016-09-08,00647L,0,0,0,0,10000,-10000
2016-09-09,00647L,0,0,-6000,-6000,250000,-256000
2016-09-10,00647L,3000,0,-263000,-260000,-119000,-144000
2016-09-12,00647L,1000,0,-235000,-234000,-414000,179000
2016-09-13,00647L,61000,0,208000,269000,87000,121000
2016-09-14,00647L,0,0,-92000,-92000,0,-92000
2016-09-19,00647L,1000,0,-114000,-113000,-13000,-101000
2016-09-20,00647L,1000,0,4000,5000,0,4000
2016-09-21,00647L,2000,0,-61000,-59000,-8000,-53000
2016-09-22,00647L,-2000,0,79000,77000,161000,-82000
2016-09-23,00647L,-6000,0,167000,161000,83000,84000
2016-09-26,00647L,0,0,7000,7000,492000,-485000
2016-09-29,00647L,-6000,0,7000,1000,0,7000
2016-09-30,00647L,0,0,-31000,-31000,-2000,-29000
2016-10-03,00647L,0,0,21000,21000,0,21000
2016-10-04,00647L,0,0,-11000,-11000,-5000,-6000
2016-10-05,00647L,0,0,-38000,-38000,-153000,115000
2016-10-06,00647L,0,0,16000,16000,-81000,97000
2016-10-07,00647L,0,0,12000,12000,1000,11000
2016-10-11,00647L,0,0,54000,54000,18000,36000
2016-10-12,00647L,0,0,-45000,-45000,-1000,-44000
2016-10-13,00647L,0,0,-28000,-28000,-129000,101000
2016-10-14,00647L,0,0,23000,23000,14000,9000
2016-10-17,00647L,0,0,-2000,-2000,-78000,76000
2016-10-18,00647L,0,0,2000,2000,0,2000
2016-10-19,00647L,0,0,5000,5000,0,5000
2016-10-20,00647L,0,0,85000,85000,0,85000
2016-10-21,00647L,0,0,10000,10000,50000,-40000
2016-10-24,00647L,0,0,0,0,0,0
2016-10-25,00647L,0,0,32000,32000,-6000,38000
2016-10-26,00647L,0,0,1000,1000,0,1000
2016-10-27,00647L,0,0,-4000,-4000,0,-4000
2016-10-28,00647L,0,0,-14000,-14000,-64000,50000
2016-10-31,00647L,0,0,-4000,-4000,-82000,78000
2016-11-01,00647L,0,0,-4000,-4000,0,-4000
2016-11-02,00647L,0,0,-18000,-18000,73000,-91000
2016-11-03,00647L,0,0,-51000,-51000,0,-51000
2016-11-04,00647L,0,0,-54000,-54000,-15000,-39000
2016-11-07,00647L,20000,0,-344000,-324000,-110000,-234000
2016-11-08,00647L,-63000,0,-118000,-181000,-12000,-106000
2016-11-09,00647L,-5000,0,-667000,-672000,-73000,-594000
2016-11-10,00647L,20000,0,768000,788000,462000,306000
2016-11-11,00647L,0,0,227000,227000,160000,67000
2016-11-14,00647L,0,0,36000,36000,0,36000
2016-11-15,00647L,0,0,91000,91000,0,91000
2016-11-16,00647L,0,0,14000,14000,5000,9000
2016-11-17,00647L,0,0,53000,53000,11000,42000
2016-11-18,00647L,0,0,23000,23000,100000,-77000
2016-11-21,00647L,0,0,28000,28000,11000,17000
2016-11-22,00647L,0,0,-3000,-3000,-20000,17000
2016-11-23,00647L,0,0,-16000,-16000,-6000,-10000
2016-11-24,00647L,0,0,1000,1000,-18000,19000
2016-11-25,00647L,0,0,-93000,-93000,-359000,266000
2016-11-28,00647L,0,0,-26000,-26000,0,-26000
2016-11-29,00647L,0,0,1000,1000,0,1000
2016-11-30,00647L,0,0,-1000,-1000,0,-1000
2016-12-01,00647L,0,0,-44000,-44000,9000,-53000
2016-12-02,00647L,0,0,-1000,-1000,0,-1000
2016-12-05,00647L,0,0,-1000,-1000,-2000,1000
2016-12-06,00647L,0,0,6000,6000,5000,1000
2016-12-07,00647L,0,0,-2000,-2000,-2000,0
2016-12-08,00647L,0,0,-64000,-64000,-25000,-39000
2016-12-09,00647L,0,0,89000,89000,0,89000
2016-12-12,00647L,0,0,-61000,-61000,-21000,-40000
2016-12-13,00647L,0,0,14000,14000,13000,1000
2016-12-14,00647L,0,0,-17000,-17000,0,-17000
2016-12-15,00647L,0,0,-75000,-75000,0,-75000
2016-12-16,00647L,0,0,-4000,-4000,0,-4000
2016-12-19,00647L,0,0,16000,16000,20000,-4000
2016-12-20,00647L,0,0,18000,18000,17000,1000
2016-12-21,00647L,0,0,1000,1000,-8000,9000
2016-12-22,00647L,0,0,12000,12000,1000,11000
2016-12-23,00647L,0,0,21000,21000,14000,7000
2016-12-27,00647L,0,0,8000,8000,0,8000
2016-12-28,00647L,0,0,-8000,-8000,-2000,-6000
2016-12-29,00647L,0,0,-6000,-6000,-6000,0
2017-01-03,00647L,0,0,-3000,-3000,0,-3000
2017-01-04,00647L,0,0,1000,1000,0,1000
2017-01-05,00647L,0,0,54000,54000,0,54000
2017-01-06,00647L,0,0,1000,1000,0,1000
2017-01-09,00647L,0,0,21000,21000,0,21000
2017-01-10,00647L,0,0,-5000,-5000,0,-5000
2017-01-11,00647L,0,0,2000,2000,-1000,3000
2017-01-12,00647L,0,0,35000,35000,-40000,75000
2017-01-13,00647L,0,0,0,0,0,0
2017-01-16,00647L,0,0,2000,2000,0,2000
2017-01-17,00647L,0,0,10000,10000,0,10000
2017-01-18,00647L,0,0,18000,18000,0,18000
2017-01-19,00647L,0,0,13000,13000,0,13000
2017-01-23,00647L,-3000,0,-8000,-11000,0,-8000
2017-02-02,00647L,0,0,69000,69000,0,69000
2017-02-03,00647L,0,0,19000,19000,0,19000
2017-02-06,00647L,-1000,0,20000,19000,0,20000
2017-02-07,00647L,0,0,18000,18000,0,18000
2017-02-08,00647L,0,0,74000,74000,-45000,119000
2017-02-09,00647L,0,0,39000,39000,-225000,264000
2017-02-10,00647L,0,0,33000,33000,0,33000
2017-02-13,00647L,0,0,-27000,-27000,-5000,-22000
2017-02-14,00647L,-2000,0,8000,6000,-4000,12000
2017-02-15,00647L,0,0,-9000,-9000,0,-9000
2017-02-16,00647L,0,0,0,0,0,0
2017-02-17,00647L,0,0,2000,2000,0,2000
2017-02-18,00647L,0,0,-8000,-8000,0,-8000
2017-02-20,00647L,0,0,27000,27000,0,27000
2017-02-21,00647L,0,0,4000,4000,0,4000
2017-02-22,00647L,0,0,-25000,-25000,-1000,-24000
2017-02-23,00647L,0,0,15000,15000,0,15000
2017-02-24,00647L,0,0,1000,1000,0,1000
2017-03-01,00647L,0,0,-2000,-2000,0,-2000
2017-03-02,00647L,0,0,-52000,-52000,0,-52000
2017-03-03,00647L,0,0,-2000,-2000,0,-2000
2017-03-06,00647L,0,0,1000,1000,-2000,3000
2017-03-07,00647L,0,0,-12000,-12000,-11000,-1000
2017-03-08,00647L,0,0,1000,1000,0,1000
2017-03-09,00647L,0,0,3000,3000,-1000,4000
2017-03-10,00647L,0,0,74000,74000,0,74000
2017-03-13,00647L,0,0,-3000,-3000,-3000,0
2017-03-14,00647L,0,0,3000,3000,0,3000
2017-03-15,00647L,0,0,0,0,-1000,1000
2017-03-16,00647L,0,0,2000,2000,0,2000
2017-03-17,00647L,0,0,-6000,-6000,0,-6000
2017-03-20,00647L,0,0,-3000,-3000,0,-3000
2017-03-21,00647L,0,0,-1000,-1000,0,-1000
2017-03-22,00647L,0,0,158000,158000,0,158000
2017-03-23,00647L,0,0,-1000,-1000,0,-1000
2017-03-24,00647L,0,0,-10000,-10000,0,-10000
2017-03-27,00647L,0,0,-16000,-16000,0,-16000
2017-03-28,00647L,0,0,0,0,0,0
2017-03-29,00647L,0,0,-38000,-38000,0,-38000
2017-03-30,00647L,0,0,-320000,-320000,0,-320000
2017-03-31,00647L,0,0,-7000,-7000,0,-7000
2017-04-05,00647L,-92000,0,-117000,-209000,0,-117000
