date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2016-11-30,00664R,2000,0,42000,44000,0,42000
2016-12-01,00664R,0,0,-1799000,-1799000,370000,-2169000
2016-12-02,00664R,669000,0,1490000,2159000,-30000,1520000
2016-12-05,00664R,243000,0,1490000,1733000,619000,871000
2016-12-06,00664R,-300000,0,-4048000,-4348000,-771000,-3277000
2016-12-07,00664R,0,0,-1312000,-1312000,97000,-1409000
2016-12-08,00664R,5215000,0,-9276000,-4061000,-80000,-9196000
2016-12-09,00664R,-600000,0,-1231000,-1831000,-264000,-967000
2016-12-12,00664R,-85000,0,-857000,-942000,125000,-982000
2016-12-13,00664R,-460000,0,792000,332000,600000,192000
2016-12-14,00664R,-170000,0,-373000,-543000,315000,-688000
2016-12-15,00664R,-513000,0,-439000,-952000,-870000,431000
2016-12-16,00664R,-50000,0,226000,176000,-395000,621000
2016-12-19,00664R,12000,0,1710000,1722000,-25000,1735000
2016-12-20,00664R,877000,0,1860000,2737000,-130000,1990000
2016-12-21,00664R,175000,0,1172000,1347000,-10000,1182000
2016-12-22,00664R,181000,0,2080000,2261000,-755000,2835000
2016-12-23,00664R,1825000,0,964000,2789000,-160000,1124000
2016-12-26,00664R,1572000,0,218000,1790000,-165000,383000
2016-12-27,00664R,1692000,0,-191000,1501000,-160000,-31000
2016-12-28,00664R,-3126000,0,2562000,-564000,430000,2132000
2016-12-29,00664R,239000,0,731000,970000,-40000,771000
2016-12-30,00664R,1560000,0,-2680000,-1120000,45000,-2725000
2017-01-03,00664R,0,0,954000,954000,-285000,1239000
2017-01-04,00664R,0,0,153000,153000,10000,143000
2017-01-05,00664R,340000,0,-4216000,-3876000,-1095000,-3121000
2017-01-06,00664R,-2096000,0,-1015000,-3111000,55000,-1070000
2017-01-09,00664R,-319000,0,-529000,-848000,160000,-689000
2017-01-10,00664R,-908000,0,-354000,-1262000,-105000,-249000
2017-01-11,00664R,-839000,0,786000,-53000,225000,561000
2017-01-12,00664R,-2528000,0,-1646000,-4174000,40000,-1686000
2017-01-13,00664R,978000,0,-480000,498000,-10000,-470000
2017-01-16,00664R,717000,0,538000,1255000,-275000,813000
2017-01-17,00664R,0,0,-294000,-294000,157000,-451000
2017-01-18,00664R,1313000,0,-1370000,-57000,-137000,-1233000
2017-01-19,00664R,0,0,713000,713000,0,713000
2017-01-20,00664R,0,0,-256000,-256000,73000,-329000
2017-01-23,00664R,-654000,0,-1585000,-2239000,37000,-1622000
2017-01-24,00664R,-291000,0,-1740000,-2031000,-745000,-995000
2017-02-02,00664R,-174000,0,-906000,-1080000,33000,-939000
2017-02-03,00664R,-1738000,0,730000,-1008000,-183000,913000
2017-02-06,00664R,359000,0,-2779000,-2420000,112000,-2891000
2017-02-07,00664R,0,0,-1699000,-1699000,0,-1699000
2017-02-08,00664R,-94000,0,-298000,-392000,30000,-328000
2017-02-09,00664R,0,0,-2024000,-2024000,-385000,-1639000
2017-02-10,00664R,-133000,0,-1314000,-1447000,59000,-1373000
