stock_id,rows,first,last
00891,1283,2021-05-28,2026-09-03
00892,1274,2021-06-10,2026-09-03
00893,1260,2021-07-01,2026-09-03
00894,1229,2021-08-13,2026-09-03
00895,1230,2021-08-12,2026-09-03
00896,1205,2021-09-16,2026-09-03
00897,1195,2021-10-04,2026-09-03
00898,1161,2021-11-22,2026-09-03
00899,1118,2022-01-21,2026-09-03
00900,1139,2021-12-22,2026-09-03
00901,1144,2021-12-15,2026-09-03
00902,1116,2022-01-25,2026-09-03
00903,1117,2022-01-24,2026-09-03
00904,1095,2022-03-07,2026-09-03
00905,1064,2022-04-21,2026-09-03
00906,265,2022-05-17,2023-07-05
00907,1042,2022-05-24,2026-09-03
00908,1044,2022-05-20,2026-09-03
00909,1007,2022-07-13,2026-09-03
00910,1002,2022-07-20,2026-09-03
00911,1018,2022-06-27,2026-09-03
00912,1017,2022-06-29,2026-09-03
00913,989,2022-08-08,2026-09-03
00915,988,2022-08-09,2026-09-03
00916,955,2022-09-26,2026-09-03
00917,975,2022-08-26,2026-09-03
00918,913,2022-11-24,2026-09-03
00919,938,2022-10-20,2026-09-03
00920,938,2022-10-20,2026-09-03
00921,878,2023-01-13,2026-09-03
00922,837,2023-03-27,2026-09-03
00923,850,2023-03-08,2026-09-03
00924,818,2023-04-26,2026-09-03
00925,177,2023-04-18,2023-12-29
00926,792,2023-06-02,2026-09-03
00927,790,2023-06-06,2026-09-03
00929,787,2023-06-09,2026-09-03
00930,765,2023-07-13,2026-09-03
00932,730,2023-09-01,2026-09-03
00934,690,2023-11-01,2026-09-03
00935,690,2023-11-01,2026-09-03
00936,685,2023-11-08,2026-09-03
00938,454,2024-10-23,2026-09-03
00939,599,2024-03-20,2026-09-03
00940,591,2024-04-01,2026-09-03
00941,602,2024-03-15,2026-09-03
00943,559,2024-05-20,2026-09-03
00944,566,2024-05-09,2026-09-03
00945B,571,2024-05-02,2026-09-03
00946,566,2024-05-09,2026-09-03
00947,543,2024-06-12,2026-09-03
00949,530,2024-07-01,2026-09-03
00951,513,2024-07-26,2026-09-03
00952,484,2024-09-05,2026-09-03
00953B,495,2024-08-21,2026-09-03
00954,496,2024-08-20,2026-09-03
00956,496,2024-08-20,2026-09-03
00960,474,2024-09-20,2026-09-03
00961,460,2024-10-15,2026-09-03
00962,422,2024-12-06,2026-09-03
00963,439,2024-11-14,2026-09-03
00964,439,2024-11-14,2026-09-03
00965,431,2024-11-26,2026-09-03
00971,400,2025-01-09,2026-09-03
00972,400,2025-01-09,2026-09-03
009800,384,2025-02-11,2026-09-03
009801,384,2025-02-11,2026-09-03
009802,359,2025-03-19,2026-09-03
009803,363,2025-03-13,2026-09-03
009804,341,2025-04-16,2026-09-03
009805,323,2025-05-13,2026-09-03
009808,320,2025-05-16,2026-09-03
