date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2026-03-30,00983D,-9000,0,-147000,-156000,0,-147000
2026-03-31,00983D,495000,0,501765,996765,0,501765
2026-04-01,00983D,99000,0,-103873,-4873,0,-103873
2026-04-02,00983D,-7000,0,144782,137782,0,144782
2026-04-07,00983D,221000,0,-333158,-112158,0,-333158
2026-04-08,00983D,280000,0,235146,515146,0,235146
2026-04-09,00983D,0,0,312059,312059,0,312059
2026-04-10,00983D,0,0,-332157,-332157,0,-332157
2026-04-13,00983D,-280000,0,-288623,-568623,0,-288623
2026-04-14,00983D,-32000,0,-1010003,-1042003,0,-1010003
2026-04-15,00983D,0,0,-240122,-240122,0,-240122
2026-04-16,00983D,-102000,0,-750000,-852000,0,-750000
2026-04-17,00983D,-316000,0,-855000,-1171000,0,-855000
2026-04-20,00983D,-369000,0,-1247000,-1616000,0,-1247000
2026-04-21,00983D,16000,0,-33000,-17000,0,-33000
2026-04-22,00983D,10000,0,61000,71000,0,61000
2026-04-23,00983D,134000,0,188000,322000,0,188000
2026-04-24,00983D,12000,0,-87000,-75000,0,-87000
2026-04-27,00983D,-2000,0,-79000,-81000,0,-79000
2026-04-28,00983D,0,0,135000,135000,0,135000
2026-04-29,00983D,0,0,-963000,-963000,0,-963000
2026-04-30,00983D,-3000,0,-207000,-210000,0,-207000
2026-05-04,00983D,102000,0,-564999,-462999,0,-564999
2026-05-05,00983D,-268000,0,-412979,-680979,0,-412979
2026-05-06,00983D,-6000,0,-129001,-135001,0,-129001
2026-05-07,00983D,-79000,0,-338000,-417000,0,-338000
2026-05-08,00983D,-231000,0,16000,-215000,0,16000
2026-05-11,00983D,-231000,0,107830,-123170,0,107830
2026-05-12,00983D,-155000,0,-226000,-381000,0,-226000
2026-05-13,00983D,167000,0,96627,263627,0,96627
2026-05-14,00983D,-7000,0,239866,232866,0,239866
2026-05-15,00983D,-429000,0,-469000,-898000,0,-469000
2026-05-18,00983D,-26000,0,-948000,-974000,0,-948000
2026-05-19,00983D,-32000,0,-30000,-62000,0,-30000
2026-05-20,00983D,-21000,0,513000,492000,0,513000
2026-05-21,00983D,-9000,0,236000,227000,0,236000
2026-05-22,00983D,-9000,0,243000,234000,0,243000
2026-05-25,00983D,-54000,0,215000,161000,0,215000
2026-05-26,00983D,248000,0,73000,321000,0,73000
2026-05-27,00983D,20000,0,396000,416000,0,396000
