date,investor,buy,sell,net
2017-11-16,合計,34136431632,34091427660,45003972
2017-11-16,外資及陸資,25716150395,27570440369,-1854289974
2017-11-16,投信,1147711150,1112633914,35077236
2017-11-16,自營商(自行買賣),1081768930,803623429,278145501
2017-11-16,自營商(避險),6190801157,4604729948,1586071209
