版本,r,格,n,D,lo,hi,判過,判過_正
新預設_只排除過去20日,0,甲_box_H60,862,0.009280742459396751,-0.014725953499404938,0.03328743841819844,False,False
新預設_只排除過去20日,0,甲_box_H120,862,0.001160092807424594,-0.017993794771865412,0.0203139803867146,False,False
新預設_只排除過去20日,1,甲_box_H60,862,-0.0069605568445475635,-0.029446000102085756,0.01552488641299063,False,False
新預設_只排除過去20日,1,甲_box_H120,862,-0.016241299303944315,-0.03605003641396229,0.0035674378060736554,False,False
新預設_只排除過去20日,2,甲_box_H60,862,0.018561484918793503,-0.005052279885142449,0.04217524972272946,False,False
新預設_只排除過去20日,2,甲_box_H120,862,0.016241299303944315,-0.004383691909644136,0.03686629051753276,False,False
新預設_只排除過去20日,3,甲_box_H60,862,-0.004640371229698376,-0.029952676735121163,0.02067193427572441,False,False
新預設_只排除過去20日,3,甲_box_H120,862,-0.002320185614849188,-0.02572613675102838,0.021085765521330003,False,False
新預設_只排除過去20日,4,甲_box_H60,862,0.010440835266821345,-0.012043600419499416,0.032925270953142106,False,False
新預設_只排除過去20日,4,甲_box_H120,862,0.00580046403712297,-0.014377300575897433,0.025978228650143372,False,False
新預設_只排除過去20日,5,甲_box_H60,862,0.019721577726218097,-0.004136289254215598,0.04357944470665179,False,False
新預設_只排除過去20日,5,甲_box_H120,862,0.01740139211136891,-0.005142873099387022,0.039945657322124836,False,False
新預設_只排除過去20日,6,甲_box_H60,862,-0.0034802784222737818,-0.02697910836074852,0.020018551516200956,False,False
新預設_只排除過去20日,6,甲_box_H120,862,0.002320185614849188,-0.018758072728461733,0.023398443958160108,False,False
新預設_只排除過去20日,7,甲_box_H60,862,-0.004640371229698376,-0.030414989986432255,0.021134247527035504,False,False
新預設_只排除過去20日,7,甲_box_H120,862,0.002320185614849188,-0.021482216400133407,0.026122587629831783,False,False
新預設_只排除過去20日,8,甲_box_H60,862,0.002320185614849188,-0.020637876173133857,0.025278247402832233,False,False
新預設_只排除過去20日,8,甲_box_H120,862,0.0069605568445475635,-0.012339630027529629,0.026260743716624756,False,False
新預設_只排除過去20日,9,甲_box_H60,862,0.018561484918793503,-0.004665336752954618,0.04178830659054163,False,False
新預設_只排除過去20日,9,甲_box_H120,862,0.01740139211136891,-0.0032620054738688835,0.038064789696606705,False,False
新預設_只排除過去20日,10,甲_box_H60,862,0.001160092807424594,-0.025063142991908743,0.02738332860675793,False,False
新預設_只排除過去20日,10,甲_box_H120,862,-0.0034802784222737818,-0.02586577762118866,0.018905220776641096,False,False
新預設_只排除過去20日,11,甲_box_H60,862,-0.004640371229698376,-0.028041035049591427,0.018760292590194676,False,False
新預設_只排除過去20日,11,甲_box_H120,862,-0.0069605568445475635,-0.02674806237468962,0.012826948685594492,False,False
新預設_只排除過去20日,12,甲_box_H60,862,0.019721577726218097,-0.007415919962245103,0.046859075414681296,False,False
新預設_只排除過去20日,12,甲_box_H120,862,0.016241299303944315,-0.006295018355923835,0.03877761696381246,False,False
新預設_只排除過去20日,13,甲_box_H60,862,0.00580046403712297,-0.021173789922165422,0.032774717996411365,False,False
新預設_只排除過去20日,13,甲_box_H120,862,-0.013921113689095127,-0.03450113210686193,0.006658904728671679,False,False
新預設_只排除過去20日,14,甲_box_H60,862,-0.012761020881670533,-0.03769203301880606,0.012169991255464994,False,False
新預設_只排除過去20日,14,甲_box_H120,862,-0.02668213457076566,-0.0491132013081287,-0.004251067833402622,True,False
新預設_只排除過去20日,15,甲_box_H60,862,0.0,-0.024699593692288194,0.024699593692288194,False,False
新預設_只排除過去20日,15,甲_box_H120,862,-0.013921113689095127,-0.037018182966429475,0.00917595558823922,False,False
新預設_只排除過去20日,16,甲_box_H60,862,-0.009280742459396751,-0.0332977450536727,0.014736260134879199,False,False
新預設_只排除過去20日,16,甲_box_H120,862,-0.01740139211136891,-0.03790917882429717,0.0031063946015593494,False,False
新預設_只排除過去20日,17,甲_box_H60,862,-0.002320185614849188,-0.028054376650591312,0.023414005420892937,False,False
新預設_只排除過去20日,17,甲_box_H120,862,-0.00580046403712297,-0.027485141145989805,0.015884213071743866,False,False
新預設_只排除過去20日,18,甲_box_H60,862,0.019721577726218097,-0.0015321148433978492,0.040975270295834046,False,False
新預設_只排除過去20日,18,甲_box_H120,862,0.008120649651972157,-0.009506679977076209,0.025747979281020524,False,False
新預設_只排除過去20日,19,甲_box_H60,862,0.0,-0.02341001748994724,0.02341001748994724,False,False
新預設_只排除過去20日,19,甲_box_H120,862,0.004640371229698376,-0.016429208922172898,0.02570995138156965,False,False
新預設_只排除過去20日,20,甲_box_H60,862,0.004640371229698376,-0.020637834336649747,0.0299185767960465,False,False
新預設_只排除過去20日,20,甲_box_H120,862,-0.0034802784222737818,-0.02469814666533354,0.017737589820785975,False,False
新預設_只排除過去20日,21,甲_box_H60,862,-0.0034802784222737818,-0.024731252930976735,0.017770696086429172,False,False
新預設_只排除過去20日,21,甲_box_H120,862,-0.016241299303944315,-0.037020092822892085,0.004537494215003456,False,False
新預設_只排除過去20日,22,甲_box_H60,862,-0.02668213457076566,-0.05206402453355581,-0.0013002446079755092,True,False
新預設_只排除過去20日,22,甲_box_H120,862,-0.02668213457076566,-0.04720780024072399,-0.00615646890080733,True,False
新預設_只排除過去20日,23,甲_box_H60,862,0.010440835266821345,-0.014212468521257259,0.03509413905489995,False,False
新預設_只排除過去20日,23,甲_box_H120,862,0.0,-0.0220451334583202,0.0220451334583202,False,False
新預設_只排除過去20日,24,甲_box_H60,862,-0.004640371229698376,-0.02889602325225896,0.01961528079286221,False,False
新預設_只排除過去20日,24,甲_box_H120,862,-0.0069605568445475635,-0.027220021705270835,0.013298908016175708,False,False
新預設_只排除過去20日,25,甲_box_H60,862,0.029002320185614848,0.002621869959144759,0.05538277041208493,True,True
新預設_只排除過去20日,25,甲_box_H120,862,0.004640371229698376,-0.01669440536976787,0.025975147829164623,False,False
新預設_只排除過去20日,26,甲_box_H60,862,0.01160092807424594,-0.010987582409548953,0.03418943855804083,False,False
新預設_只排除過去20日,26,甲_box_H120,862,0.0069605568445475635,-0.015018773012183493,0.02893988670127862,False,False
新預設_只排除過去20日,27,甲_box_H60,862,0.013921113689095127,-0.009308649539744973,0.03715087691793523,False,False
新預設_只排除過去20日,27,甲_box_H120,862,0.0034802784222737818,-0.018200177862930947,0.02516073470747851,False,False
新預設_只排除過去20日,28,甲_box_H60,862,-0.019721577726218097,-0.044154401517264866,0.004711246064828676,False,False
新預設_只排除過去20日,28,甲_box_H120,862,-0.010440835266821345,-0.028988746909773985,0.008107076376131294,False,False
新預設_只排除過去20日,29,甲_box_H60,862,-0.0069605568445475635,-0.03411973733036605,0.020198623641270928,False,False
新預設_只排除過去20日,29,甲_box_H120,862,-0.008120649651972157,-0.030150594142515807,0.013909294838571493,False,False
新預設_只排除過去20日,-1,甲_box_可抽日不足檔數,0,,,,,
不排除（描述）,0,甲_box_H60,862,0.013921113689095127,-0.010882442173112936,0.03872466955130319,False,False
不排除（描述）,0,甲_box_H120,862,-0.01160092807424594,-0.03564169371722649,0.01243983756873461,False,False
不排除（描述）,1,甲_box_H60,862,-0.015081206496519721,-0.03664804645039269,0.00648563345735325,False,False
不排除（描述）,1,甲_box_H120,862,-0.015081206496519721,-0.034942293374490285,0.004779880381450843,False,False
