# commit=1f7962b81 run=2026-09-15 17:09 (Asia/Taipei) prereg=backtest/PREREGP3.md seeds=7000+r C1(shift)_seeds=9000+k C2(perm)_seeds=10000+k
N,d,rule,seed,A_cagr,A_mdd,A_ca,A_ma,A_cb,A_mb,A_slot,A_trades,B_cagr,B_mdd,B_ca,B_ma,B_cb,B_mb,B_slot,B_trades,avg_exposure,zero_exp_days,days,idle_day_share,longest_idle_run,avg_idle_frac,C1_mdd_p10,C1_mdd_p50,C1_mdd_p90,C1_cagr_p10,C1_cagr_p50,C1_cagr_p90,A_mdd_pct_in_C1,A_cagr_pct_in_C1,C2_mdd_p10,C2_mdd_p50,C2_mdd_p90,C2_cagr_p10,C2_cagr_p50,C2_cagr_p90,A_mdd_pct_in_C2,A_cagr_pct_in_C2
30,inf,null,7000,0.3253304824797607,-0.35107777667044215,0.33799843607206603,-0.2690288610254994,0.31410669108194944,-0.35107777667044215,0.8147926464300983,969,0.3440769187756665,-0.38486994114427936,0.3400273001698948,-0.3318433099845568,0.3440488399457564,-0.38486994114427936,0.8147926464300983,969,0.8127227879657115,5,2339,0.0025651988029072254,6,0.1872772120342885,-0.40320808084276444,-0.36272636106296485,-0.3038438676069552,0.29870517204404895,0.3258190124315423,0.36632254830799493,56.49999999999999,49.0,-0.3944571323926477,-0.3542443085043936,-0.31715301893440684,0.299164636045236,0.32997651665651506,0.36345644198911653,54.0,45.0
30,inf,null,7001,0.3433293265482211,-0.3472309628609281,0.34413188074610046,-0.26253302120136407,0.3397584591107843,-0.3472309628609281,0.8139518312669232,968,0.36312613032577845,-0.38176136074102046,0.3469013294590544,-0.32576721653348906,0.37123974970463713,-0.38176136074102046,0.813111016103748,967,0.8106098949491928,5,2339,0.0025651988029072254,6,0.18939010505080722,-0.3968198233832129,-0.3583914352636923,-0.2994232691865992,0.3052008177464958,0.33534467246721433,0.3746910999206982,54.50000000000001,63.5,-0.38879991376144735,-0.3487593812355443,-0.31280420257930397,0.306971868200175,0.3378831317738876,0.37426548344533467,51.5,60.0
30,inf,null,7002,0.3039103835345429,-0.32153753134942314,0.3061971499542473,-0.2737455771569201,0.2997743891299973,-0.32153753134942314,0.8156334615932734,970,0.32338932653724917,-0.3587879167316597,0.30805849263309604,-0.3375389081490521,0.3313458084463674,-0.3587879167316597,0.8156334615932734,970,0.8115520761084976,5,2339,0.0025651988029072254,6,0.18844792389150244,-0.3772215352641587,-0.3567474470663454,-0.3092901813655689,0.28556052272087395,0.3093252438646267,0.3492795505813536,82.0,37.0,-0.37413737608933423,-0.3413525722905597,-0.31263442557584586,0.28368361988178425,0.3138493796390325,0.34624270543160657,81.5,34.0
30,inf,null,7003,0.33380115812333355,-0.3481568731715332,0.3330722134915616,-0.26566876537587336,0.32944420895196713,-0.3481568731715332,0.8147926464300983,969,0.352527140294,-0.3851795507874487,0.3333547058311459,-0.33332010613072965,0.36081100320911297,-0.3851795507874487,0.8147926464300983,969,0.811861191183574,5,2339,0.0025651988029072254,6,0.18813880881642597,-0.3945001289006388,-0.35890532566232974,-0.3164001267364014,0.2967025233032044,0.3251544516554674,0.36615581417136367,66.0,64.0,-0.3887588124378768,-0.3513203823706971,-0.31700588336510555,0.2968871624053613,0.3275434290959879,0.3604569033489051,53.5,60.5
30,inf,null,7004,0.3294005976872323,-0.3455255327138948,0.3216203778857589,-0.27935733949224045,0.33157522790424543,-0.3455255327138948,0.8164742767564486,971,0.34815159078346114,-0.38263929483430303,0.323314160313273,-0.3417086617451854,0.36215595153502367,-0.38263929483430303,0.8164742767564486,971,0.8133286260457147,5,2339,0.0025651988029072254,6,0.18667137395428535,-0.39333619950190385,-0.3736137311731449,-0.3196695827706462,0.2929756192450687,0.32188024563005846,0.36252125548203074,74.5,64.0,-0.3888888302314232,-0.3541140502382828,-0.3272192868729864,0.2933844707189899,0.323307342790753,0.35739157342650335,64.0,57.99999999999999
30,inf,null,7005,0.3263271818716731,-0.34145550245740297,0.3288000946676064,-0.25401120105282043,0.3225895472294582,-0.34145550245740297,0.8139518312669232,968,0.3455932096002119,-0.3768708047932268,0.330831940846813,-0.3196399343273251,0.3536556248248086,-0.3768708047932268,0.8139518312669232,968,0.8116594260105594,5,2339,0.0025651988029072254,6,0.1883405739894406,-0.39143553019866073,-0.3550090556478782,-0.3119704636841055,0.2925995692524417,0.3180142301502856,0.3585224296665078,56.00000000000001,64.0,-0.387568159039522,-0.34674369055822496,-0.310634503467477,0.2910021524870102,0.32156231210517194,0.35492436970290897,55.50000000000001,58.5
30,inf,null,7006,0.3286992383948333,-0.32346031971648004,0.36421243993709407,-0.2637681850112496,0.3010987193132373,-0.32346031971648004,0.8139518312669232,968,0.34970354349327915,-0.3598409227548309,0.36681026853589205,-0.3255318242644647,0.33424165789343396,-0.3598409227548309,0.8139518312669232,968,0.810733579969744,5,2339,0.0025651988029072254,6,0.18926642003025596,-0.37998202339454096,-0.35576624925641487,-0.3076681842256667,0.2913820499476966,0.3173824717208683,0.35556458501221594,78.5,68.0,-0.375449338785984,-0.3404372338717193,-0.3099998455192132,0.29012874731967725,0.3207056645786347,0.3546106768889564,75.0,65.5
30,inf,null,7007,0.32007671924976777,-0.3452264718931731,0.32383043566384107,-0.2670606861816989,0.31568263126712837,-0.3452264718931731,0.8147926464300983,969,0.3386955961974665,-0.3797380707773994,0.3233520147154574,-0.33603705820557617,0.3474209275878928,-0.3797380707773994,0.8139518312669232,968,0.8116957087658833,5,2339,0.0025651988029072254,6,0.18830429123411674,-0.3930468882203782,-0.3641671286198304,-0.3174229133682414,0.28706545495066066,0.3133144317957606,0.3497994369425358,71.5,60.5,-0.3881788389112205,-0.3475379201146397,-0.3164635775354106,0.28464085114308535,0.31555228751323083,0.3478592900407414,53.5,56.99999999999999
30,inf,null,7008,0.31922549256637,-0.3373133130843694,0.3283056895648575,-0.26694829945970294,0.3088272648607968,-0.3373133130843694,0.8156334615932734,970,0.35099866572764804,-0.3638749369345454,0.3494116178722526,-0.32977208933196916,0.3470023325571432,-0.3638749369345454,0.8139518312669232,968,0.8130272371986365,5,2339,0.0025651988029072254,6,0.18697276280136355,-0.38814667128984287,-0.35321461260158804,-0.3111613638915703,0.28666232328884866,0.3144244870857633,0.35367167620966694,65.5,58.5,-0.3831080971834572,-0.34371208294851335,-0.3090139849409902,0.2864416915413138,0.31848221066414384,0.35135896180862164,59.0,52.5
30,inf,null,7009,0.3301541489341624,-0.32663737961366446,0.3315725656137398,-0.2748442357074812,0.3277134912783808,-0.32663737961366446,0.8147926464300983,969,0.34973155602105055,-0.377371290071024,0.35010904422568023,-0.33744844802945556,0.3450466376276795,-0.377371290071024,0.8156334615932734,970,0.8127618368504247,4,2339,0.0021376656690893546,5,0.1872381631495753,-0.3871033911071749,-0.35606123562644,-0.31664647782974253,0.30305924325396877,0.3311364166462051,0.37158288058905603,78.5,48.0,-0.37748669846716704,-0.3436588694599121,-0.31474588078658117,0.3018215953295942,0.33407335575700114,0.36968635778129416,75.5,44.0
