cell,N,rule,seed,A_mdd,C1_mdd_hw95,C1_cagr_hw95,C1_mdd_med,A_minus_C1,C2_mdd_hw95,C2_cagr_hw95,C2_mdd_med,A_minus_C2
主格,30,null,7048,-0.33056993159509085,0.047401056113609535,0.0631873814315923,-0.3502118358375167,0.019641904242425845,0.053725269181607,0.05446398546230383,-0.3442325596610414,0.013662628065950533
主格,40,null,7100,-0.27590886345815635,0.07395327362088572,0.07590109641128225,-0.3215908729402549,0.04568200948209855,0.07026836710421003,0.05299164764513303,-0.32547834092873074,0.049569477470574386
主格,40,relvol,7100,-0.26133736538287033,0.0668841767066751,0.07445734421098818,-0.3170780818134116,0.05574071643054129,0.06471393777376871,0.052409569396711514,-0.31657073850299683,0.055233373120126494
對照格（輸）,30,relvol,7100,-0.3436426970693942,0.05020138546827199,0.05273693434670215,-0.3565272503262966,0.012884553256902409,0.05554865128718539,0.05530928338827698,-0.3457346540188778,0.0020919569494836088
對照格（輸）,20,null,7026,-0.32623581707873356,0.0370320937674892,0.05050243539045532,-0.38193509590708147,0.05569927882834791,0.034590145910764786,0.04763044966521188,-0.3748356972373679,0.04859988015863437
