# commit=1f7962b81 run=2026-09-15 17:09 (Asia/Taipei) prereg=backtest/PREREGP3.md seeds=7000+r C1(shift)_seeds=9000+k C2(perm)_seeds=10000+k
N,d,rule,year,A_ret,B_ret,bench_ret
30,inf,null,2017,0.2820362159281147,0.3103044128802963,0.13579782114743866
30,inf,null,2018,0.026803085134862847,-0.018172674976153713,-0.049384995407252275
30,inf,null,2019,0.17505698097970823,0.2537190731762029,0.33521144242551415
30,inf,null,2020,0.8608304768667143,0.7948344439512463,0.31139036269665965
30,inf,null,2021,0.45497762503016936,0.43613821405836206,0.21923260762445573
30,inf,null,2022,-0.20503343357366277,-0.2275606329015183,-0.21374671455413874
30,inf,null,2023,0.5058819521763218,0.5933888775684124,0.2751520409246322
30,inf,null,2024,0.13752971071530795,0.2516388747078837,0.4864399273474338
30,inf,null,2025,0.37096284499764676,0.37817810953593134,0.36866130443015277
30,inf,null,2026,0.7701003634014223,0.8219855823771423,0.6750722295064753
40,inf,null,2017,0.26761594067565664,0.2992966723985002,0.13579782114743866
40,inf,null,2018,0.06892250416969525,0.008041867888298082,-0.049384995407252275
40,inf,null,2019,0.15219100417723652,0.26401563099660996,0.33521144242551415
40,inf,null,2020,0.9835235680519441,0.879453903353602,0.31139036269665965
40,inf,null,2021,0.47444158871132824,0.5409262745335814,0.21923260762445573
40,inf,null,2022,-0.18566846410709648,-0.23596918312363535,-0.21374671455413874
40,inf,null,2023,0.38232587884643676,0.5124771749278103,0.2751520409246322
40,inf,null,2024,0.08239967473525844,0.27790855549046234,0.4864399273474338
40,inf,null,2025,0.5220905984058726,0.5389191908745115,0.36866130443015277
40,inf,null,2026,0.7080954218397855,0.5583114180496265,0.6750722295064753
40,inf,relvol,2017,0.2748114815586429,0.3329266054164013,0.13579782114743866
40,inf,relvol,2018,0.08676257879275595,0.014342237120448909,-0.049384995407252275
40,inf,relvol,2019,0.13806006448997787,0.25537551969467653,0.33521144242551415
40,inf,relvol,2020,0.9401978663973047,0.8304314368046373,0.31139036269665965
40,inf,relvol,2021,0.6483639224421118,0.6476794019774039,0.21923260762445573
40,inf,relvol,2022,-0.18631949785227264,-0.22950900916391181,-0.21374671455413874
40,inf,relvol,2023,0.3823258788788666,0.5124771749295252,0.2751520409246322
40,inf,relvol,2024,0.10799613179531486,0.27074002946990117,0.4864399273474338
