# commit=1f7962b81 run=2026-09-15 17:09 (Asia/Taipei) prereg=backtest/PREREGP3.md seeds=7000+r C1(shift)_seeds=9000+k C2(perm)_seeds=10000+k
cell,N,d,rule,months,reps,med_seed,A_cagr_med,A_mdd_med,A_ca_med,A_ma_med,A_cb_med,A_mb_med,A_slot_med,B_cagr_med,B_mdd_med,B_ca_med,B_ma_med,B_cb_med,B_mb_med,B_slot_med,A_cagr_p10,A_cagr_p90,A_mdd_p10,A_mdd_p90,B_cagr_p10,B_cagr_p90,B_mdd_p10,B_mdd_p90,BminusA_cagr_med,BminusA_mdd_med,BminusA_cagr_p10,BminusA_cagr_p90,BminusA_mdd_p10,BminusA_mdd_p90,avg_exposure_med,zero_exp_days_med,idle_day_share_med,longest_idle_run_med,C1_mdd_p10_med,C1_mdd_p50_med,C1_mdd_p90_med,C1_cagr_p50_med,C2_mdd_p10_med,C2_mdd_p50_med,C2_mdd_p90_med,C2_cagr_p50_med,A_mdd_pct_in_C1_med,A_cagr_pct_in_C1_med,A_mdd_pct_in_C2_med,A_cagr_pct_in_C2_med,AminusC1_mdd_med,C1minusC2_mdd_med,AminusC1_cagr_med,C1minusC2_cagr_med,bench_cagr,bench_mdd,win_A,win_B,undistinguishable,judge
主格,30,inf,null,116,200,7048,0.31675587133279715,-0.3394896742169383,0.3272874448434555,-0.2667782612018734,0.3080207359561824,-0.3394896742169383,0.8147926464300983,0.33581155644474037,-0.37617225356185285,0.32968711788276683,-0.33055899716133397,0.3379282550291043,-0.37617225356185285,0.8147926464300983,0.30080383372560854,0.3337615571716221,-0.35111302305657494,-0.32758646182374057,0.3179850708018103,0.35360804966766884,-0.38700024169723896,-0.36535151707100283,0.019101110600246662,-0.0362702616240454,0.016150847275522205,0.02102172448039654,-0.04083171564755929,-0.034027103312718646,0.8120658364142899,5.0,0.0025651988029072254,6.0,-0.39029162455427363,-0.3568866336155533,-0.31145109872330573,0.3116020954294539,-0.38552871346640727,-0.3467915804347264,-0.3132433135810928,0.315399738396553,62.0,59.0,60.0,54.75000000000001,0.015976830045644846,-0.009170661086284948,0.006059164192296906,-0.003488563716069981,0.2413119741418337,-0.3395700527611012,True,False,False,H1 成立：乙不再贏（乙回落中位 ≤ 0050）
主格,40,inf,null,116,200,7100,0.32289651929346086,-0.2610274251110452,0.32137304456770954,-0.18576758016810108,0.3213056939616744,-0.2610274251110452,0.7158080376229158,0.3543996819775005,-0.3370871939116945,0.3236857857323775,-0.30645256938389304,0.37179602493184094,-0.3370871939116945,0.7151774262505344,0.3101342436521955,0.33716822050355943,-0.27095172733657935,-0.25149502775988436,0.3420285102627647,0.36595950104322045,-0.3400510895676151,-0.3322491353642598,0.030125052586936096,-0.07477826139242436,0.01986451268020455,0.040797063245138876,-0.08378826842974556,-0.0682376481647816,0.7173733403729025,0.0,0.00042753313381787086,1.0,-0.3847051057455208,-0.3232485702683865,-0.2798053752483835,0.2891583603254056,-0.3617201811166203,-0.31760644961212225,-0.2734604308854648,0.29302735601191016,95.5,85.5,97.0,85.5,0.0626256890362504,-0.005527275366060236,0.0335036013735327,-0.0034186209006390467,0.2413119741418337,-0.3395700527611012,True,False,False,H1 否證：乙仍贏（回落仍淺於 0050）
主格,40,inf,relvol,116,200,7100,0.3366216014876109,-0.26133736538287033,0.33142152072115727,-0.19325938093824582,0.33672798678687865,-0.26133736538287033,0.7170692603676785,0.36817908093964635,-0.33190076897589643,0.3367109007733926,-0.30649713878515217,0.3865887778295025,-0.33190076897589643,0.7164386489952972,0.3366216014876109,0.3366216014876109,-0.26133736538287033,-0.26133736538287033,0.36817908093964635,0.36817908093964635,-0.33190076897589643,-0.33190076897589643,0.031557479452035464,-0.0705634035930261,0.031557479452035464,0.031557479452035464,-0.0705634035930261,-0.0705634035930261,0.719015502586554,0.0,0.00042753313381787086,1.0,-0.3844329046568991,-0.3170780818134116,-0.2789211842189339,0.3036175929288797,-0.36269325431434996,-0.31657073850299683,-0.27018930876069747,0.3091262188403493,96.5,84.5,96.0,83.0,0.05574071643054129,-0.0005073433104147984,0.0330040085587312,-0.005508625911469611,0.2413119741418337,-0.3395700527611012,True,False,False,H1 否證：乙仍贏（回落仍淺於 0050）
對照格（輸）,30,inf,relvol,116,200,7100,0.3411577716170089,-0.3436426970693942,0.3440808714708852,-0.2744876020290582,0.33727412911155996,-0.3436426970693942,0.8164742767564486,0.3609796461827053,-0.3779506779274918,0.3454607551594251,-0.33814973383799785,0.36962998403430514,-0.3779506779274918,0.8164742767564486,0.3411577716170089,0.3411577716170089,-0.3436426970693942,-0.3436426970693942,0.3609796461827053,0.3609796461827053,-0.3779506779274918,-0.3779506779274918,0.019821874565696396,-0.03430798085809761,0.019821874565696396,0.019821874565696396,-0.03430798085809761,-0.03430798085809761,0.8132007565316922,5.0,0.0025651988029072254,6.0,-0.3943972488697662,-0.3565272503262966,-0.3110610188753231,0.3423023608941105,-0.3873620270833731,-0.3457346540188778,-0.3119533305788626,0.34614125839676124,56.49999999999999,48.0,53.5,44.5,0.012884553256902409,-0.0107925963074188,-0.001144589277101593,-0.003838897502650762,0.2413119741418337,-0.3395700527611012,False,False,False,對照格（P1 輸給 0050）：只報甲−丙1、丙1−丙2，不判定
對照格（輸）,20,inf,null,116,200,7026,0.3463531415119595,-0.32685173409769164,0.33844660752068567,-0.32287348527892556,0.34913973551954847,-0.3250496770018053,0.8828986746472852,0.3468004565030337,-0.3676663195405295,0.32383524233981387,-0.34372109324519556,0.36140400702830267,-0.3676663195405295,0.8828986746472852,0.31450427583275953,0.373648554377488,-0.34238119716548904,-0.31696834577704974,0.31730765390376564,0.37354982714773266,-0.38893452747016705,-0.3464716927810611,0.0026908774373483046,-0.04296345311264957,-0.0074051358437648976,0.005062580038297559,-0.052837511046313755,-0.02082629209825281,0.8719047289592972,13.0,0.005985463873450192,14.0,-0.39529853549717164,-0.37655029563962816,-0.336123404352606,0.3386986960912969,-0.398325826842855,-0.3685082953253743,-0.33769281034902626,0.3407345318419677,94.25,63.5,96.0,59.5,0.049774121327103016,-0.007049149959283019,0.007777367742154373,-0.0018220946061250354,0.2413119741418337,-0.3395700527611012,False,False,False,對照格（P1 輸給 0050）：只報甲−丙1、丙1−丙2，不判定
N≤8,2,inf,null,116,200,7103,0.18944348783914933,-0.8021525281166901,0.6394795458447589,-0.35388278039620136,-0.03825223556515772,-0.799011287925033,0.9585292860196665,0.18872076936751592,-0.8020411000966292,0.6038386357224907,-0.3525464014474833,-0.02385064521205177,-0.8018062905092945,0.9585292860196665,0.1053570111685535,0.3152789503623073,-0.8529094208147662,-0.7079836210315554,0.103632988202639,0.3165828874954121,-0.8517590104984359,-0.7054849292902756,-0.0011408783987472138,0.0012160132924231015,-0.0029003792064058232,0.002662109228249809,-0.004243998380815383,0.003304883553009707,0.9308842401581541,42.0,0.01838392475416845,35.0,-0.8715777021779882,-0.8425614101941881,-0.806826257156634,0.14652006072505708,-0.8749998807623449,-0.8427781051733485,-0.8045822141209551,0.14208747918109788,92.25,94.5,90.5,93.25,0.03960898966679144,-0.0010927142043847815,0.043510671529509215,0.0038380200518715046,0.2413119741418337,-0.3395700527611012,False,False,True,H2 成立：乙下仍沒贏
N≤8,2,inf,relvol,116,200,7100,0.3145617111254311,-0.8247429259395476,0.7106935920406345,-0.45106209747897813,0.09518716556525986,-0.8247429259395476,0.9585292860196665,0.3121295706298062,-0.8231518924235687,0.6698233638628592,-0.45221825725699977,0.11019950759097519,-0.8231518924235687,0.9585292860196665,0.3145617111254311,0.3145617111254311,-0.8247429259395476,-0.8247429259395476,0.3121295706298062,0.3121295706298062,-0.8231518924235687,-0.8231518924235687,-0.0024321404956249015,0.0015910335159788902,-0.0024321404956249015,-0.0024321404956249015,0.0015910335159788902,0.0015910335159788902,0.9330189274583862,42.0,0.01838392475416845,35.0,-0.870447699377631,-0.8437517865667563,-0.8106438004722114,0.2876773162904246,-0.8747863899436297,-0.8420245684496807,-0.8071721043366519,0.2832554070531008,80.5,80.0,73.5,83.0,0.019008860627208746,-0.0017272181170756573,0.026884394835006487,0.004421909237323773,0.2413119741418337,-0.3395700527611012,False,False,False,H2 成立：乙下仍沒贏
N≤8,3,inf,null,116,200,7005,0.22795025857838758,-0.6535671696379288,0.4851432629953216,-0.4919769241114132,0.0755576180180978,-0.649711384702991,0.9585292860196665,0.22816979280757166,-0.6744115944279758,0.4591632197761262,-0.49186291844735824,0.08527539193270584,-0.6689795946577782,0.9585292860196665,0.1452681103874459,0.3100057865939525,-0.7680610286796018,-0.5373151757769776,0.14438933691489064,0.30830841873333764,-0.7811953008044399,-0.5523177779854144,-0.0016816827600533157,-0.018338566778431264,-0.0035758099617699823,0.000623087654785892,-0.024563684701588772,-0.01244213763307547,0.9267594358058697,29.0,0.012825994014536126,30.0,-0.7476465810892532,-0.7100166051125604,-0.6550533631194032,0.20664825533526676,-0.7513225241921255,-0.7041921778388657,-0.6512715413203015,0.2040698747615377,89.25,80.5,87.25,81.75,0.05013288772044905,-0.004708214342046768,0.020633973895387347,0.003052739595185705,0.2413119741418337,-0.3395700527611012,False,False,False,H2 成立：乙下仍沒贏
N≤8,3,inf,relvol,116,200,7100,0.29063886904798686,-0.7353547260445153,0.5675732205058319,-0.49208233267614027,0.1274449498175112,-0.7353547260445153,0.9585292860196665,0.28621805971841097,-0.7530674955071305,0.5394309621225837,-0.4919837813379477,0.13506880069389893,-0.7530674955071305,0.9585292860196665,0.29063886904798686,0.29063886904798686,-0.7353547260445153,-0.7353547260445153,0.28621805971841097,0.28621805971841097,-0.7530674955071305,-0.7530674955071305,-0.004420809329575892,-0.01771276946261513,-0.004420809329575892,-0.004420809329575892,-0.01771276946261513,-0.01771276946261513,0.9319177371949309,29.0,0.012825994014536126,30.0,-0.7922640957627348,-0.7650448949245863,-0.7186292869920081,0.27827989595672753,-0.797066673551488,-0.7596231345140394,-0.7144834492460729,0.2766020547116468,82.5,73.5,77.5,72.0,0.029690168880070922,-0.005421760410546872,0.012358973091259329,0.0016778412450807467,0.2413119741418337,-0.3395700527611012,False,False,False,H2 成立：乙下仍沒贏
N≤8,5,inf,null,116,200,7193,0.21664151897619288,-0.5084223814964709,0.35205817778927595,-0.3787525481386832,0.12199071714983378,-0.5084223814964709,0.9484395040615647,0.21901262848446557,-0.5397657251467471,0.34803451380404204,-0.381343489886273,0.12707535840201123,-0.5397657251467471,0.9484395040615647,0.1659826795928489,0.26162889827701413,-0.5873624885827174,-0.4271791810640034,0.16941674140521665,0.2638596321244811,-0.6137322717779244,-0.46032042907876725,0.0022658878613692757,-0.02904167039219374,0.0010123368014380407,0.0038013887770982357,-0.03488522465430816,-0.022378423771107048,0.9255602160737009,15.0,0.006840530141085934,16.0,-0.5803559576478028,-0.536738453447348,-0.4847269360653008,0.2166302855247106,-0.585258999744698,-0.530797560847141,-0.4641463956463974,0.21481053966279756,75.0,51.5,64.75,53.0,0.025427488928260772,-0.007596060311493347,0.0007613915730210197,0.000877355914222222,0.2413119741418337,-0.3395700527611012,False,False,False,H2 成立：乙下仍沒贏
