sigset,mode,rate,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,slot,m,expo,maxw,maxw_worst,expo_m_min,expo_m_p25,expo_m_med,expo_m_p75,expo_m_max,idle50,idle75,n_months,ca,ma,cb,mb,win_all,win_a,win_b,win
B,var,0.25,0.2067640682689662,0.10394516809365861,0.31974245771061666,-0.5560310037016336,-0.6894034010063854,-0.44355727851050086,0.9694814431656537,126.0,0.8754106646691115,1.0,1.0,0.0057954933,0.95059514,0.99948466,1.0,1.0,8,18,114,0.2706469743729639,-0.4389185725650282,0.1708013171791254,-0.5293276971219543,False,False,False,False
B,var,0.35,0.19746631673070847,0.09741951432060364,0.3515767989880555,-0.5568958812981067,-0.6495590771153493,-0.44512092485429494,0.971246306111919,174.0,0.8750216472214392,1.0,1.0,0.0014654495,0.95059514,0.9997081,1.0,1.0,9,18,114,0.21696596984990635,-0.4895454028424383,0.1725938217505777,-0.5249549959641855,False,False,False,False
B,var,0.5,0.21346968379615539,0.1251457984753791,0.32942002629925315,-0.5281982472419608,-0.6054346616892493,-0.4340388224985715,0.9590561885033662,249.0,0.8748899165904986,1.0,1.0,0.0,0.9523811,0.9999763,1.0,1.0,9,18,114,0.20689260233908002,-0.4813191217603062,0.1768142535477506,-0.4892386950880293,False,False,False,False
B,var,0.75,0.2342660893012981,0.19145355868310185,0.27777131106277286,-0.4565818052877198,-0.530289089563171,-0.3951261282911809,1.024654488381218,395.0,0.8954873022481018,0.7109049347725082,0.7109049347725082,0.05999707,0.9329061,0.99827504,1.0,1.0,6,18,114,0.30461361075221216,-0.365387296524613,0.1876259293837641,-0.4565818052877198,False,False,False,False
B,fix,0.25,0.28903726049699807,0.18937147266660004,0.3898061042069527,-0.42403705852759005,-0.48512811858883165,-0.37063264773772986,0.8913857677902621,104.0,0.8735827065027801,0.4176650298991923,0.6915426064282236,0.0,0.8981092,0.9624777,0.98975444,1.0,11,18,114,0.27555619650237495,-0.3905618351768755,0.28708968968797954,-0.39614919815436955,False,False,False,False
B,fix,0.35,0.278221001319214,0.19863790862084754,0.3381563018753748,-0.4085483252908655,-0.4662648882456396,-0.3577231205092848,0.8871002592912706,138.0,0.8711511936381249,0.3578307115120245,0.5413379860772192,0.0,0.8722467,0.9690372,0.98746777,1.0,11,17,114,0.28874575531815405,-0.3844085918993977,0.2662506543490628,-0.38627812539507067,False,False,False,False
B,fix,0.5,0.2523986783385942,0.1921933669072777,0.31843766306144233,-0.40364941166797963,-0.4500840651236519,-0.36533112927848976,0.8828147507922789,206.0,0.8696678187475299,0.25029904140563464,0.4422791025965242,0.0,0.8430767,0.9692069,0.9865341,1.0,8,18,114,0.23724733559172495,-0.38083771018974705,0.26089515644562966,-0.3840155306024441,False,False,False,False
B,fix,0.75,0.2247050475519008,0.1753679206507248,0.28105879514563614,-0.3941475030010406,-0.43389973660854325,-0.3569287709568901,0.8802938634399309,291.0,0.8679037931989215,0.19265549452651706,0.36582158685216093,4.032464e-05,0.8617129,0.9569508,0.9877191,1.0,8,17,114,0.20606761557296382,-0.36788828741388624,0.23860711043344163,-0.3802482853229353,False,False,False,False
C,var,0.25,0.23503554632700008,0.13871418517945674,0.3344525369782538,-0.506756540092556,-0.6001928458038184,-0.4184831532084815,0.8344766608738071,230.0,0.9256698357821953,1.0,1.0,0.037835684,0.95136625,0.99999166,1.0,1.0,6,11,114,0.2903082122573476,-0.4058856940018408,0.17934624204387783,-0.4713548896677946,False,False,False,False
C,var,0.35,0.23623323703799226,0.17499700050598874,0.31873020942265834,-0.4718364051676336,-0.5463469993918966,-0.40750824610972897,0.83118390225745,319.0,0.9256698357821953,0.7042788686000812,0.8291018771585584,0.036176473,0.9529221,1.0,1.0,1.0,6,12,114,0.2933447964111022,-0.39129777891623996,0.19721536427647002,-0.450196581585665,False,False,False,False
