mode,rate,n_months,mdiff_pp,lo_pp,hi_pp,pos_months,detectable,ann_pp,ann_lo,ann_hi,dmdd_med,dmdd_lo,dmdd_hi
var,0.25,140,0.14376626682558585,-0.5115087688828145,0.7990413025339862,58,False,1.7251952019070302,-6.138105226593774,9.588495630407834,6.474017228408924,-15.943725701977273,23.785889157826094
var,0.35,140,0.17833448301231186,-0.45259957284655833,0.8092685388711822,58,False,2.140013796147742,-5.4311948741587,9.711222466454187,8.377099466044097,-11.645377066343846,29.158185752608425
var,0.5,140,0.18567229156117432,-0.4617000889071515,0.8330446720295,59,False,2.2280674987340916,-5.540401066885818,9.996536064354,7.290048264389148,-9.483297867537823,22.338389844152534
var,0.75,140,0.12238363783745225,-0.5387573661771496,0.7835246418520542,62,False,1.468603654049427,-6.465088394125796,9.40229570222465,1.6891427513457873,-9.541941303602021,14.588915698971485
fix,0.25,140,-0.19032607130464702,-0.8675727944377913,0.4869206518284974,47,False,-2.283912855655764,-10.410873533253497,5.843047821941969,-5.75320284158243,-22.80959879487726,7.770346060517073
fix,0.35,140,-0.08777531974342148,-0.6328501409511097,0.45729950146426673,55,False,-1.053303836921058,-7.594201691413316,5.487594017571201,-2.725597402714705,-19.048943996682517,9.42884717830459
fix,0.5,140,0.10612086457194084,-0.31628520862759973,0.5285269377714815,59,False,1.2734503748632902,-3.7954225035311966,6.342323253257778,0.6842818010965285,-10.171864557998466,8.916377831349262
fix,0.75,140,0.3197304314524574,-0.07402243007800227,0.713483292982917,60,False,3.8367651774294886,-0.8882691609360273,8.561799515795004,-0.2609277953841471,-8.56022350312447,8.513758291531541
