sigset,mode,rate,seed,cagr,mdd,slot,m,ca,ma,cb,mb,expo,maxw
B,var,0.25,101000,0.42902990781734696,-0.41655285439237283,0.9079270658218027,118,0.48937571341589714,-0.41655285439237283,0.3834701611357074,-0.40754495704881455,0.9256698357821953,1.0
B,var,0.25,101001,0.3264056426443205,-0.6044536922787628,0.9079270658218027,118,0.09814126458546824,-0.6044536922787628,0.51176385103692,-0.4599620808181769,0.9256698357821953,1.0
B,var,0.25,101002,0.14842374865368124,-0.7146175415874543,0.9079270658218027,118,0.44115114570267444,-0.3590919719377745,-0.021263195320487704,-0.7146175415874543,0.9256698357821953,1.0
B,var,0.25,101003,0.16219326855499427,-0.5481895186015583,0.9694814431656537,126,0.1837106204721568,-0.4690971217083105,0.13881841610062695,-0.5481895186015583,0.867218630976031,1.0
B,var,0.25,101004,0.17848136060400743,-0.542915284000011,0.9079270658218027,118,0.42233263170660007,-0.39274561937256997,0.03412113283704743,-0.542915284000011,0.9175583556800876,1.0
B,var,0.25,101005,0.29290073715239107,-0.49082074984014457,0.9694814431656537,126,0.43414741591547856,-0.49082074984014457,0.195028820358655,-0.41068723229090787,0.8660047512439814,1.0
B,var,0.25,101006,0.2895720282095975,-0.46162379639317097,0.9079270658218027,118,0.23379978396254164,-0.46162379639317097,0.3260656774146513,-0.4149623411959441,0.9256698357821953,1.0
B,var,0.25,101007,0.1783553860309013,-0.7226703808454394,0.9079270658218027,118,0.4143793103029212,-0.34372512520839804,0.04087107930476486,-0.7226703808454394,0.9256698357821953,1.0
B,var,0.25,101008,0.16187594667962446,-0.4799959288973339,0.9694814431656537,126,0.14095664765717197,-0.4799959288973339,0.1743655384120939,-0.39397159182912833,0.8755127161624514,1.0
B,var,0.25,101009,0.3737362837876177,-0.3998915161176152,0.9079270658218027,118,0.4191824349401245,-0.39477927241319066,0.3416390094816564,-0.3998915161176152,0.9256698357821953,1.0
B,var,0.25,101010,0.3650954445576786,-0.46103165373428306,0.9079270658218027,118,0.3118000885115282,-0.4475166351430786,0.404711729630707,-0.46103165373428306,0.9256698357821953,1.0
B,var,0.25,101011,0.17657246284731798,-0.6912992305603686,0.9694814431656537,126,0.5048666734996574,-0.3718176683428669,-0.007127429974347788,-0.6912992305603686,0.8734881037711852,1.0
B,var,0.25,101012,0.34865869045122144,-0.5557965294066933,0.9694814431656537,126,0.5162302731250927,-0.34954528391879075,0.2398723342546507,-0.5557965294066933,0.8768567964442064,1.0
B,var,0.25,101013,0.18195830468044671,-0.5967369242197468,0.9694814431656537,126,0.23526636989211136,-0.3925979997766555,0.1451758191017507,-0.5967369242197468,0.8743899103537541,1.0
B,var,0.25,101014,0.3809405975030935,-0.7060577169265699,0.9079270658218027,118,0.5209148147740488,-0.3976386332691828,0.2861937069164815,-0.7060577169265699,0.9256698357821953,1.0
B,var,0.25,101015,0.1810295796935375,-0.5840742638689245,0.9694814431656537,126,0.3600689944291453,-0.38686927132977245,0.06738527767475944,-0.5840742638689245,0.8733996124323593,1.0
B,var,0.25,101016,0.20136382385973106,-0.612862719278893,0.9079270658218027,118,0.04924653053387518,-0.612862719278893,0.3200348337021557,-0.47699740662819634,0.9256698357821953,1.0
B,var,0.25,101017,0.22358406574073708,-0.7121231758698897,1.0464244148454676,136,0.6658326136682682,-0.407636150203211,-0.01677187062324237,-0.7121231758698897,0.9252988790191935,1.0
B,var,0.25,101018,0.18154706311293478,-0.5095911581652308,0.9694814431656537,126,0.29219509694604295,-0.40015473118078104,0.10846694860301254,-0.5095911581652308,0.8738722640905217,1.0
B,var,0.25,101019,0.13601584738300643,-0.6627083203322756,0.9694814431656537,126,0.3801122463914368,-0.4402407818868416,-0.00804232809009775,-0.6627083203322756,0.8677107252822771,1.0
B,var,0.25,101020,0.2576153711293674,-0.5276971970383592,0.9694814431656537,126,0.2533003234532136,-0.5276971970383592,0.2539947185207949,-0.4996379090906397,0.8747503360191151,1.0
B,var,0.25,101021,0.19898985740741715,-0.6432090311486947,0.9694814431656537,126,0.3110084305960621,-0.36391610644090755,0.12375701447956877,-0.6432090311486947,0.8667858158635732,1.0
B,var,0.25,101022,0.23897879231122054,-0.6181613200680983,0.9079270658218027,118,0.3751171017086179,-0.3450755193650359,0.14851856062598445,-0.6181613200680983,0.9256698357821953,1.0
