型,sid,S,R_程式,R_手算,EW_程式,EW_手算,X_程式,X_手算,結局,相符
box,3202,2019-12-10,0.0081967213114753,0.008196721311475308,0.0021797252092113,0.00217939070496902,0.0001669961022639,0.00016733060650628772,成形,True
box,6690,2024-12-30,0.0072992700729928,0.007299270072992581,0.0052962456948574,0.005296381079772113,-0.0038469756218646,-0.003847111006779532,破壞,True
box,2375,2018-02-23,0.0093023255813953,0.009302325581395321,0.0198504520988211,0.019850567797238754,-0.0163981265174258,-0.016398242215843434,成形,True
box,9924,2019-08-07,0.0853080568720376,0.08530805687203791,0.0409487709541171,0.040948770882933326,0.0385092859179205,0.03850928598910459,都沒發生,True
cup,6226,2017-09-28,0.056701030927835,0.05670103092783507,0.0209052433260422,0.020905083382953514,0.0299457876017928,0.029945947544881557,成形,True
cup,1256,2019-11-11,-0.0023255813953488,-0.0023255813953487747,0.0144660649822152,0.014465512814760767,-0.0226416463775641,-0.02264109421010954,成形,True
cup,1591,2022-12-01,-0.1475826972010178,-0.1475826972010178,-0.0247444430856146,-0.024744443061488108,-0.1286882541154031,-0.1286882541395297,都沒發生,True
w,2363,2025-10-02,-0.043010752688172,-0.043010752688172005,-0.013392508298595,-0.01339268121301312,-0.0354682443895769,-0.03546807147515889,都沒發生,True
w,6124,2019-04-02,0.1240740740740742,0.12407407407407423,0.0095721766729272,0.009572176677813172,0.1086518974011469,0.10865189739626106,都沒發生,True
w,4755,2026-06-15,-0.0018957765771293,-0.00189577657712936,-0.0075471137458036,-0.007547109461869569,-0.0001986628313256,-0.0001986671152597909,破壞,True
hs,6209,2023-09-27,-0.0538599640933572,-0.05385996409335725,-0.0071656923055707,-0.007165692334781462,-0.0525442717877864,-0.05254427175857579,都沒發生,True
hs,6514,2019-06-21,0.1086412849291873,0.10864129572650638,0.0352449798464441,0.03524498002351361,0.0675463050827432,0.06754631570299277,都沒發生,True
hs,1213,2020-07-08,0.5570247933884298,0.5570247933884298,-0.0102157500517143,-0.01021575001279732,0.5613905434401442,0.5613905434012271,成形,True
flag,6215,2020-04-24,0.1832061068702291,0.1832061068702291,0.0848801759791016,0.08488017596683074,0.0924759308911275,0.09247593090339835,成形,True
flag,6156,2024-08-28,-0.0064620355411953,-0.006462035541195399,0.0064739373084994,0.006473885035134988,-0.0187859728496948,-0.018785920576330387,成形,True
flag,6182,2018-12-11,-0.1863580998781973,-0.1863580998781973,-0.0003911364139968,-0.00039130928188446976,-0.1918169634642004,-0.19181679059631282,破壞,True
trend,4551,2023-08-04,-0.029090909090909,-0.029090909090909056,-0.0085786757470166,-0.008578653973331565,-0.0263622333438924,-0.02636225511757749,破壞,True
trend,2748,2025-12-26,-0.0393974507531864,-0.03939745075318646,0.0542139224768938,0.054213851050090356,-0.0994613732300802,-0.09946130180327681,破壞,True
trend,1325,2019-03-25,0.0123456790123457,0.012345679012345512,0.0228469999292363,0.02284699993137851,-0.0163513209168905,-0.016351320919032998,破壞,True
trend,4303,2021-03-30,0.0190476190476192,0.01904761904761898,0.0847363867024773,0.0847359804994823,-0.0715387676548581,-0.07153836145186332,都沒發生,True
