型,sid,T,目標_程式,目標_手算,對照,對照目標_程式,對照目標_手算,達成60_程式,達成60_手算,對照60_程式,對照60_手算,達成120_程式,達成120_手算,對照120_程式,對照120_手算,相符
box,6499,2023-12-06,52.267053018,52.267053018,3713,28.086952954998,28.086952954998,0,0,0,0,0,0,0,0,True
box,8938,2021-08-06,71.253032171,71.25303226261187,6733,25.77927251077376,25.77927285779764,0,0,0,0,0,0,1,1,True
box,3284,2025-09-16,28.987819971,28.987820082243875,3040,75.6695549382638,75.66955522865385,0,0,0,0,0,0,0,0,True
box,8349,2021-04-16,42.718305932,42.71830570997837,2301,45.97477376727272,45.97477353840695,1,1,1,1,1,1,1,1,True
cup,8088,2019-12-17,23.114380282,23.114379959435027,6165,21.426212094551847,21.42621206414273,1,1,1,1,1,1,1,1,True
cup,2440,2024-06-20,21.95,21.95,2374,52.43621031291666,52.43621068501902,0,0,0,0,0,0,0,0,True
cup,2323,2024-07-03,14.911981487000002,14.911981424015567,6855,138.5565097611852,138.55651056451094,0,0,0,0,0,0,1,1,True
cup,4142,2019-08-28,30.984558483,30.984558486975864,1536,124.95332526313504,124.95332601784219,0,0,0,0,0,0,0,0,True
w,5340,2023-08-17,68.330048413,68.33004866564468,5474,119.59194544829852,119.59194577096899,1,1,1,1,1,1,1,1,True
w,6108,2021-08-26,20.785019898,20.785019870008146,3605,49.97575897927929,49.97575955597147,1,1,0,0,1,1,0,0,True
w,3205,2022-11-01,42.50000000000001,42.50000000000001,6550,97.85566191036204,97.85566191036204,1,1,1,1,1,1,1,1,True
w,2421,2020-07-29,48.3536798,48.353680847583234,1533,32.5681175223942,32.5681175707267,1,1,1,1,1,1,1,1,True
hs,2360,2024-05-17,273.68236848000004,273.68236472225095,9927,96.79945638585824,96.79945646717842,1,1,0,0,1,1,0,0,True
hs,1783,2022-05-31,33.09801071,33.0980110834974,6541,172.05427550158447,172.05427427472608,1,1,1,1,1,1,1,1,True
hs,6922,2024-08-29,180.94794,180.94794048536517,5455,90.835734870317,90.83573487031698,0,0,0,0,1,1,0,0,True
hs,3543,2024-09-12,23.776648533,23.77664866132131,1589,48.31034491269214,48.310345346915355,0,0,0,0,0,0,0,0,True
flag,1618,2020-04-30,8.2464000268,8.246399942358977,3308,9.61645411784909,9.6164541661993,0,0,1,1,1,1,1,1,True
flag,5864,2026-02-24,28.7419827075,28.7419827075,6469,105.035881458719,105.035881458719,1,1,0,0,1,1,0,0,True
flag,6451,2018-12-24,83.60958455999997,83.60958468802701,8183,17.839953199841165,17.83995315334995,1,1,0,0,1,1,0,0,True
flag,4152,2021-02-22,106.1,106.1,1593,114.2049417568645,114.20493995430535,0,0,0,0,0,0,0,0,True
