arm,類,名,n,cagr_med,mdd_med,ratio,label,vs_v1_both_pos,vs_v1_both_neg,vs_v1,d_cagr_med,d_mdd_med,cagr_p10,cagr_p90,mdd_p10,mdd_p90,n_stop,n_stop_p10,n_stop_p90,stop_frac_pos,stop_frac_pos_p10,stop_frac_pos_p90,held_mean,held_mean_p10,held_mean_p90,turnover_yr,turnover_yr_p10,turnover_yr_p90,cost_total,cost_total_p10,cost_total_p90,cost_drag_yr,cost_drag_yr_p10,cost_drag_yr_p90,dist0_med,dist0_med_p10,dist0_med_p90,dist0_p10,dist0_p10_p10,dist0_p10_p90,dist0_p90,dist0_p90_p10,dist0_p90_p90,trig_bar_med,trig_bar_med_p10,trig_bar_med_p90,trig_bar_p10,trig_bar_p10_p10,trig_bar_p10_p90,trig_bar_p90,trig_bar_p90_p10,trig_bar_p90_p90,stop_ret_mean,stop_ret_mean_p10,stop_ret_mean_p90,stop_ret_med,stop_ret_med_p10,stop_ret_med_p90,stop_ret_p10,stop_ret_p10_p10,stop_ret_p10_p90,stop_ret_p90,stop_ret_p90_p10,stop_ret_p90_p90,stop_h120_mean,stop_h120_mean_p10,stop_h120_mean_p90,stop_h120_med,stop_h120_med_p10,stop_h120_med_p90,stop_h120_better_frac,stop_h120_better_frac_p10,stop_h120_better_frac_p90,rep_ret_mean,rep_ret_mean_p10,rep_ret_mean_p90,rep_ret_med,rep_ret_med_p10,rep_ret_med_p90,cont_ret_mean,cont_ret_mean_p10,cont_ret_mean_p90,cont_ret_med,cont_ret_med_p10,cont_ret_med_p90,rep_better_frac,rep_better_frac_p10,rep_better_frac_p90,rep_pairs,rep_pairs_p10,rep_pairs_p90,rebuy20_n,rebuy20_n_p10,rebuy20_n_p90,rebuy20_ret_mean,rebuy20_ret_mean_p10,rebuy20_ret_mean_p90,rebuy20_ret_med,rebuy20_ret_med_p10,rebuy20_ret_med_p90,cash_mean,cash_mean_p10,cash_mean_p90,cash_med,cash_med_p10,cash_med_p90,nx_n,nx_n_p10,nx_n_p90,nx_pending_end,nx_pending_end_p10,nx_pending_end_p90,nxw_med,nxw_med_p10,nxw_med_p90,nxw_p90,nxw_p90_p10,nxw_p90_p90,nxw_sameday_frac,nxw_sameday_frac_p10,nxw_sameday_frac_p90,nxsz_med,nxsz_med_p10,nxsz_med_p90,normal_n,normal_n_p10,normal_n_p90,trades,trades_p10,trades_p90,expo,expo_p10,expo_p90,sl_block_days,sl_block_days_p10,sl_block_days_p90,ddlog_單日暴跌型,ddlog_單日暴跌型_p10,ddlog_單日暴跌型_p90,ddlog_延續下跌型,ddlog_延續下跌型_p10,ddlog_延續下跌型_p90,ddlog_混合型,ddlog_混合型_p10,ddlog_混合型_p90,dd_單日暴跌型,dd_單日暴跌型_p10,dd_單日暴跌型_p90,dd_延續下跌型,dd_延續下跌型_p10,dd_延續下跌型_p90,dd_混合型,dd_混合型_p10,dd_混合型_p90,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
base,base,營飆 v1 原樣,200,0.394406557221616,-0.3894268315113051,1.0127873205114948,合格（描述）,0,0,分不出（描述）,0.0,0.0,0.3620790537280488,0.4247953947014781,-0.44103476018866106,-0.36195043806648153,0.0,0.0,0.0,0.0,0.0,0.0,8.386078685689581,8.386078685689581,8.38651102464332,1.431899420992742,1.4009243892275978,1.4632434512293269,0.4351761225468695,0.37561506895757796,0.5101918740233092,0.008376611612807536,0.00819540767698145,0.008559974189691568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.17896983671071015,0.17758685857869927,0.18081531294875478,0.03265734294285771,0.02766165181670142,0.035925397132704685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,163.0,163.0,163.0,163.0,163.0,163.0,0.8210301632892899,0.8191846870512454,0.8224131414213007,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,0.24455289203698638,-0.009888027774799413,0.1363792434585206,0.49826119560451176,1.2269226546507113,-0.027935358862122173,0.8292544445758621,0.07779684392037378,0.490059869615046,0.7015307185734795
R0_20,判定,R0-20（第 20 天還在買進價以下）,200,0.3535641306177272,-0.3507127619738966,1.0081302106823327,合格,34,36,分不出,-0.04430852765948612,0.04287342484902901,0.30411288526556085,0.4096875808425789,-0.4027937184808954,-0.3100276499677027,123.0,115.0,131.0,0.4749034749034749,0.45450923578413616,0.4926627405014437,8.035451794206658,7.975572849113705,8.100389105058365,2.1145648695559762,1.9566497732098949,2.24848835827852,0.5231745526412748,0.42086263186314266,0.6798379194875185,0.01207798974598431,0.011351220336949831,0.0128611101394242,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.08938608643353037,-0.09391505832549836,-0.08579664878111017,-0.08230108526326252,-0.08595760726458174,-0.077338851981536,-0.17411723618147174,-0.19219451300767065,-0.16879026892953072,-0.007598594906832834,-0.008649377914337583,-0.007431989510734842,0.037579312841366126,0.01527290688976264,0.07182811887646476,-0.030583617599394403,-0.050739731066260396,-0.010592774639476409,0.5645161290322581,0.5364982578397213,0.5917,0.12198808919325282,0.09643649205461155,0.15082224460017307,-0.03372510244541993,-0.03995352435875853,-0.025362373197943433,0.13984399310900839,0.11602088595553145,0.1746780611133942,0.02919859197646435,0.015100646587611122,0.03903245332900429,0.47286169381499066,0.4387727448703059,0.5039498111516548,123.0,114.9,130.0,2.0,2.0,4.0,-0.16908839863736613,-0.16908839863736613,-0.09926382926115662,-0.16908839863736613,-0.16908839863736613,-0.1675977500981891,0.22761550115497403,0.21959390283793417,0.23452028977450123,0.10173266388746707,0.08817139733435951,0.11374066444253983,123.0,114.9,130.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,16.400000000000006,18.0,0.3845925925925926,0.3559384164222874,0.41138266436838217,0.84819680380815,0.8242457006406768,0.8625519993365809,136.0,134.9,138.0,259.0,251.9,265.0,0.7723844988450259,0.7654797102254988,0.7804060971620658,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0,1.0,0.9000000000000021,2.0,0.0,0.0,0.0,4.0,2.0,5.0,0.26897063970112356,0.05221188262163279,0.17649316820020156,0.48940890216006894,0.5957498365772942,-0.03705248548437062,0.6499293282002164,0.19991947327861415,0.6868042705036277,0.4520350525875182
R0_40,判定,R0-40（第 40 天還在買進價以下）,200,0.31675456583254524,-0.47144466137966035,0.6718806930713312,另列,0,189,分不出,-0.0789370591547851,-0.07620792176294594,0.28488533417661244,0.34703774579800245,-0.4966441257014506,-0.43828720255866094,94.0,88.0,99.0,0.4246575342465753,0.4055299539170507,0.4419642857142857,8.130134025075659,8.079507133592736,8.187246000864677,1.891735925955437,1.839637647132225,1.9490572895685216,0.4249099537837528,0.3625260264152246,0.4980507070909588,0.010542156227179345,0.010212809047843262,0.010821965001932886,,,,,,,,,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,-0.12824285926968454,-0.1332047111286389,-0.12245387597266,-0.11085297918100145,-0.11819203295865922,-0.10260519972503729,-0.2762407972235304,-0.28429818783932875,-0.2544829510432488,-0.017261343946304436,-0.023009267165102876,-0.012779531140195144,-0.03223165460741132,-0.0480234829837021,-0.0180346558327614,-0.0909090938571579,-0.12326496495341924,-0.07532899891909717,0.5491935483870968,0.519114921223355,0.5796554252199414,0.14499316923802177,0.1191409385511693,0.17453670034904917,-0.033742363403015396,-0.04160252894892269,-0.031373116884016394,0.10773153475656513,0.09108538944015085,0.1273140831464533,0.021546988526097488,0.009773628831118023,0.034403334032760455,0.48632668144863267,0.45642512077294684,0.5217391304347826,93.0,88.0,98.0,1.0,1.0,1.0,-0.1093466382792877,-0.1093466382792877,-0.1093466382792877,-0.1093466382792877,-0.1093466382792877,-0.1093466382792877,0.2308951141440585,0.2225544833013001,0.23991094258301998,0.09618325586163909,0.08238607115376324,0.10888267344810505,93.0,88.0,98.0,0.0,0.0,1.0,1.0,1.0,2.0,46.0,38.73000000000003,51.11000000000001,0.34408602150537637,0.3139306885544916,0.3738636363636364,0.7798540947340548,0.7602591151897357,0.8030451677392954,127.0,125.0,129.1,220.5,217.0,224.0,0.7691048858559415,0.7600890574169802,0.7774455166987,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,0.4229651415817802,-0.06405322435763777,0.21173029329442994,0.39655916343997666,0.9275977819999317,-0.0541519400319358,0.5439906214851484,0.045162408594535686,0.457351110837504,0.3608683209164718
R0_60,判定,R0-60（第 60 天還在買進價以下）,200,0.30354201447527096,-0.40864478266107007,0.7428016393568608,合格,0,121,分不出,-0.09052234589931529,-0.006487122024596809,0.2761662658096861,0.3307884176361662,-0.44121688860953945,-0.3643673635426333,107.0,103.0,111.0,0.5095238095238095,0.4925882889040784,0.5235849056603774,8.072632944228275,8.044530912235192,8.122351923908344,1.7009824348361906,1.659862894854037,1.7376593863520942,0.3372365576148215,0.2892437443137891,0.3832055762598511,0.009728868385703542,0.00944598932855803,0.009970501349047329,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,-0.13346505017221794,-0.13801867857717903,-0.12820497696215186,-0.10607618628148946,-0.10919087828902449,-0.09584666126511932,-0.29325284676258717,-0.3053644449914078,-0.27386724862791506,-0.012834221848591731,-0.0172457343674952,-0.01250002172741238,-0.06246836196693285,-0.09549531413332195,-0.037190261973295086,-0.09608776384151241,-0.11416108820249227,-0.08555831653960788,0.5708020050125313,0.5404687873714422,0.5947505197505197,0.11743113727175966,0.10141840751359958,0.13683701327436548,-0.03669724770642202,-0.047290041682377215,-0.03543023482576779,0.07449453922397198,0.0410014554299605,0.10134259224341927,0.014014890689161175,0.005651964764770145,0.017456325412853024,0.4368932038834951,0.4117647058823529,0.47115384615384615,105.0,101.0,108.0,0.0,0.0,0.0,,,,,,,0.26466637955439964,0.25621512687228887,0.2731248675486353,0.13618658401269712,0.12735397227973602,0.14766391988535787,105.0,101.0,108.0,2.0,2.0,3.0,3.0,3.0,4.0,66.7,64.0,84.3,0.2801869158878505,0.2620905543961528,0.2980769230769231,0.7213106029897456,0.6954637551342067,0.7472991871336324,106.0,104.0,108.0,210.0,208.0,212.0,0.7353336204456005,0.7268751324513647,0.7437848731277111,0.0,0.0,0.0,1.0,0.0,1.0999999999999943,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.12284923990809138,-0.1895481664413084,0.22056825941618186,0.5517043516194433,0.9713207423507502,-0.07029085631934501,0.7245392429881613,0.16300280306916548,0.27886261979550175,0.48782885081091776
R10_20,判定,R10-20（第 20 天漲不到 10%）,200,0.24324059218452043,-0.41852625009145916,0.5811835987142165,另列,0,146,分不出,-0.14825240447484644,-0.02603407497582849,0.21914771296371013,0.27664229558721143,-0.4342802588708216,-0.39777006663262887,288.0,280.9,298.0,0.7480619637431977,0.7387862796833773,0.7582697201017812,7.492001729355815,7.420881971465629,7.546952010376135,3.005984369082344,2.889790430490797,3.1250893094124,0.45419707062549014,0.40168945535305567,0.5155763824172884,0.01734929541766285,0.016710511767833357,0.01812167588650059,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.052547925751268515,-0.05527650498373562,-0.04964524193032548,-0.0490271072143898,-0.053263688754495164,-0.04561143815575222,-0.17167105350718367,-0.17452887157916763,-0.16825969122029985,0.05755208189199923,0.05450109219401353,0.06032595710550619,0.04921509391409298,0.03503739117257508,0.06842678633624111,-0.0360009018143842,-0.04495051742568679,-0.023784852676730535,0.5018050541516246,0.4861013986013986,0.5186567941227512,0.06999249192190131,0.05765814101191197,0.08128235198040512,-0.017642883114365016,-0.023460364121762445,-0.009895348297385365,0.10548321348062795,0.09008133938340177,0.12793051010335157,0.002100887878290658,-0.006269003604994106,0.008732787097471717,0.49093238714764437,0.47327594498413,0.5106458966565349,287.0,278.9,295.1,6.0,5.0,7.0,-0.1508675518430435,-0.16144922176947557,-0.12169228035592282,-0.16908839863736613,-0.17057904717654315,-0.1675977500981891,0.30614387328102954,0.29658519361689345,0.3151985978444732,0.155096865133715,0.1454006947906842,0.168243562790582,287.0,278.9,295.1,2.0,1.0,3.0,1.0,1.0,1.0,19.400000000000034,18.0,20.0,0.35221292165806223,0.339041095890411,0.36754604280736686,0.8084033575932159,0.7894132279678957,0.8272948674172713,99.0,97.0,101.0,386.0,379.0,393.0,0.6938561267189705,0.6848014021555269,0.7034148063831066,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,5.0,1.5,1.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0,0.17997437950441597,-0.1548753030924423,0.12981320792545747,0.38529016155624396,0.759201954133525,-0.13009587101342523,0.6180820634107963,-0.01149052577882903,0.6454142138950264,0.2582047753005452
R10_40,判定,R10-40（第 40 天漲不到 10%）,200,0.28561745865747856,-0.44790575524756054,0.6376731160768762,另列,0,164,分不出,-0.10838145858944137,-0.05294450881155785,0.24689059482749293,0.3220352534194005,-0.4937269529384726,-0.39143478806218557,183.0,177.9,190.0,0.6678832116788321,0.6543980975289744,0.6810035842293907,7.8519239083441414,7.808906182447038,7.899265023778643,2.293549723826075,2.2086902683771084,2.3679889326247903,0.48688557048160874,0.4089681656630725,0.576385958857768,0.012885530998627912,0.012377476047484072,0.013371905997605934,,,,,,,,,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,-0.06793027088034337,-0.07260726687306872,-0.06298426884224824,-0.044029873739137027,-0.0477662596513696,-0.03706684810568339,-0.23177757371003707,-0.23695988679098517,-0.22321995291750066,0.06739899557894577,0.06295363952855845,0.07003329833327555,0.040209447835988926,0.0256618283626783,0.05742595779385512,-0.03773392375898932,-0.046049417953102155,-0.0322580190771119,0.5112997957099081,0.49414168118728596,0.5334031413612565,0.1225952085345429,0.1079202016249615,0.13904239265250365,0.0,-0.0105564242341325,0.01251147162527777,0.11810455433600908,0.10283593540915108,0.13484657990584528,0.005057097982954284,-0.003042433224586398,0.023386532069153088,0.5054945054945055,0.4802745750624034,0.5344827586206896,181.0,175.0,188.0,2.0,1.0,2.0,0.22544315512582735,0.22544315512582735,0.42502428614909027,0.22544315512582735,0.22544315512582735,0.42502428614909027,0.27280130562272864,0.26410263220327307,0.2822160633270015,0.12459934236266963,0.10976141376552111,0.13813576019213725,181.0,175.0,188.0,2.0,1.0,3.0,2.0,1.5,2.0,49.80000000000001,48.39000000000001,52.0,0.3240990852722696,0.3027912087912088,0.34472446534741324,0.7926658176869446,0.7754043226285724,0.8152214546056415,93.0,91.0,96.0,275.0,271.0,279.0,0.7271986943772714,0.7177839366729984,0.735897367796727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,0.48227830526273663,-0.043981011316514496,0.2625092210478558,0.3317958406128656,0.8052609162684768,-0.0639885036239009,0.5580046780502709,0.035157022792184134,0.26794378268759067,0.3259739204433356
R10_60,判定,R10-60（第 60 天漲不到 10%）,200,0.2519255126211182,-0.43417122977727246,0.5802446024586996,另列,0,173,分不出,-0.1443818334710698,-0.04324994216334521,0.22210054688471853,0.2757366442575617,-0.4598986835097686,-0.41589408259066496,148.0,144.0,153.0,0.6519823788546255,0.6370068829891838,0.6652173913043479,7.9286640726329445,7.898789450929529,7.976653696498055,1.7984792423304745,1.7582328610251956,1.8346849151546638,0.2913153832204457,0.2475404242114225,0.3297222676257632,0.010339374692770954,0.010073117754420218,0.010557614208998282,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,-0.09741336924109821,-0.10193969861094243,-0.09191907287910914,-0.08376744539385617,-0.08518518368295547,-0.0782520397167556,-0.26394397377419215,-0.27555561137253576,-0.25030536610465265,0.04400841027209268,0.028740786286990276,0.049965654904451824,-0.017746147249957774,-0.027718746403261305,-0.0048640869937430515,-0.0706380475396517,-0.07180118493295828,-0.06366047773202255,0.5767850484712901,0.5577455143131077,0.6004026845637583,0.10536637245524724,0.09258470483728971,0.12075932279859358,-0.0248718782140554,-0.03342614339023453,-0.019868328664995438,0.07667042550600683,0.06581117891968799,0.08851490671358317,0.016807338177977416,0.013538369568051767,0.02440423205307951,0.4225352112676056,0.40255695245297285,0.45003311258278145,143.0,139.0,147.0,0.0,0.0,1.0,-0.214814865207284,-0.214814865207284,-0.214814865207284,-0.214814865207284,-0.214814865207284,-0.214814865207284,0.30784959875439555,0.2991486318831871,0.3182704661639733,0.18794885994157665,0.17599822502414592,0.20234095877555933,143.0,139.0,147.0,5.0,4.0,6.0,3.0,3.0,3.0,75.99999999999999,65.60000000000014,80.90000000000008,0.2857142857142857,0.2701935978531723,0.30774499473129613,0.7164075063427195,0.6933173246555794,0.7373053476986662,85.0,82.0,87.0,228.0,226.0,230.0,0.6921504012456045,0.6817295338360267,0.7008513681168128,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.10553930776327025,-0.11127534984421611,0.17376688226485126,0.292944744614537,1.080160826663403,-0.093573390696501,0.599227508445199,0.08751770328645647,0.28666578143781496,0.33169775254853384
NH_20,判定,NH-20（第 20 天沒創新高）,200,0.3510644310883413,-0.39903531394050895,0.8797828633800578,合格,14,96,分不出,-0.04350828373605542,-0.0012731742537689106,0.31291233106241845,0.3888859640171443,-0.4355642987811889,-0.355620287258149,19.0,16.0,22.0,0.10674157303370786,0.09142857142857143,0.12154696132596685,8.328577604842197,8.285776048421964,8.364591439688716,1.5658283067952576,1.5141311693992932,1.6401238222295422,0.3808944100058148,0.31707004032037345,0.4556959625424563,0.009159554206758447,0.008857667340985866,0.009547117591417967,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-0.12347795061062344,-0.1358423772764357,-0.11093261230302809,-0.12294629638793486,-0.14456036957445573,-0.11845732868793302,-0.1943874056046932,-0.21656389420778663,-0.1808035635041153,-0.049346832047663707,-0.06340944999887115,-0.030657717822359112,0.13206758348905434,0.08178375647868143,0.18298075400761918,0.008146627995184508,-0.02996674911994479,0.06727599867210132,0.6842105263157895,0.6086956521739131,0.7777777777777778,0.1734293624476108,0.09817891651714433,0.2528906870556786,-0.0014523752801234857,-0.03632627260507538,0.05865658403114915,0.27658500353340193,0.22208612243973938,0.341682784255201,0.11066906580831803,0.042483547796046794,0.20510796075578597,0.4444444444444444,0.3526470588235294,0.5294117647058824,19.0,16.0,22.0,0.0,0.0,0.0,,,,,,,0.1876556321051074,0.1837397937207842,0.1919594864905654,0.040971165690759,0.03524359443814668,0.04790953165555193,19.0,16.0,22.0,0.0,0.0,0.0,1.0,1.0,2.0,16.0,7.6000000000000085,16.3,0.3157894736842105,0.2631578947368421,0.38174603174603167,0.8404441892795791,0.8200496854804812,0.8512351473024397,159.0,158.0,159.0,177.5,175.0,180.0,0.8123443678948925,0.8080405135094345,0.8162602062792158,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.22931271944071352,-0.03144239314598357,0.07810541785193148,0.4382799927465377,0.9401737562855956,-0.09227938648330047,0.8298696374414198,0.25880637464117007,0.3942610975226909,0.5775607610092632
NH_40,判定,NH-40（第 40 天沒創新高）,200,0.30566559698663653,-0.43081422905737154,0.7095067348528339,合格,1,154,分不出,-0.08833890968982061,-0.036849517432854834,0.27204074444497256,0.34522873126024706,-0.4788781326068841,-0.3970599320767322,135.0,127.0,143.0,0.5506072874493927,0.5269709543568465,0.5697211155378487,8.008214440121055,7.963251188932123,8.047643752702118,2.110897546760345,2.018464911203813,2.1909550320430644,0.4297041886274829,0.3665802920947502,0.49671456749704335,0.01174835182624057,0.011164628225224365,0.01230226428326286,,,,,,,,,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,-0.0638230549747329,-0.0734811553596331,-0.05422147859622555,-0.059903818201913206,-0.06345173153712869,-0.05272027455200501,-0.23671152692596442,-0.24019340435715716,-0.23034071305869736,0.1105794539570295,0.09163822606515135,0.13212173377861244,0.0696713027152745,0.04292421620327248,0.10136584950847446,-0.05530097405271939,-0.07034534352168435,-0.03487649268716664,0.5196850393700787,0.48949561077220655,0.550770284149264,0.16858998225818034,0.14139500424805954,0.1971397044618662,0.0028248751664722294,-0.013510014107418132,0.02030460513055754,0.1411039271977579,0.11242819546920607,0.1727239863819509,0.02073182320065242,0.0,0.0340136183012707,0.5147058823529411,0.48484848484848486,0.5483333333333333,134.0,126.0,141.0,1.0,0.0,2.0,0.02586202410256444,0.02586202410256444,2.469528806410691,0.02586202410256444,0.02586202410256444,2.469528806410691,0.23991912814600796,0.23207553558383542,0.24844812979128264,0.10491429609459306,0.09152124746670327,0.12057617592632823,134.0,126.0,141.0,1.0,1.0,2.0,1.0,1.0,1.0,50.5,45.20000000000002,52.0,0.3369189189189189,0.3211406471293169,0.35418307086614176,0.819947001897873,0.7919137991278737,0.8442511043179002,112.0,109.0,115.0,246.0,240.0,251.0,0.760080871853992,0.7515518702087174,0.7679244644161646,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0,0.26188647250392394,-0.022967811431342522,0.23686254699265996,0.4222376602437765,0.7482343984625498,-0.10274524061192386,0.5564822921933051,0.12706286146024137,0.4110152049020229,0.4556772851382559
NH_60,判定,NH-60（第 60 天沒創新高）,200,0.2393671156915218,-0.38641610618974964,0.6194542925547223,不合格,0,92,分不出,-0.15468345830342822,0.0027766181086849306,0.20649429247040507,0.2722176012234825,-0.4539736151834357,-0.3443107728685061,164.0,160.0,169.0,0.6949152542372882,0.6808510638297872,0.7100840336134454,7.980760916558582,7.930393428447903,8.008214440121055,1.9399685084607232,1.8860145826719468,2.0017733037071275,0.25026630214809154,0.20944798909644832,0.31481624181787077,0.011203630768050822,0.01089031178326539,0.011588444449895768,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,-0.037024950010831774,-0.044498631548428855,-0.027241963034211905,-0.0660336970342148,-0.07243790449939413,-0.06250006950989184,-0.25755061534349166,-0.2763399435405128,-0.24340693910029915,0.20643121064946204,0.1986371912550051,0.2159122797659494,0.03879735057550407,0.020488590922499314,0.05889063093993488,-0.060702875399361034,-0.06661284029802783,-0.05493094968880959,0.5416666666666666,0.5209580838323353,0.5602409638554217,0.15009201187327148,0.13287081125847916,0.17170488863106897,-0.0038587100543138186,-0.005570183034170617,0.001969422196507087,0.06346799660800959,0.05182099405007237,0.07436124440896343,0.013135310093227937,0.00981648624328546,0.0151684243289133,0.5212121212121212,0.49382716049382713,0.5385114885114884,161.0,156.9,165.0,1.0,0.0,2.0,0.1166669293668936,-0.214814865207284,0.1166669293668936,0.1166669293668936,-0.214814865207284,0.1166669293668936,0.2827604433013912,0.26733790291864407,0.29803250400154,0.14617069709607994,0.12450306952217867,0.167131014168371,161.0,156.9,165.0,3.0,2.0,4.099999999999994,2.0,2.0,3.0,80.0,67.20000000000027,90.90000000000006,0.29012345679012347,0.268130081300813,0.3090909090909091,0.8085208576571252,0.7722376496952236,0.8466028982607989,75.5,73.0,78.0,236.0,235.0,238.1,0.7172395566986087,0.70196749599846,0.732662097081356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0,-0.10612541306517875,0.01793263387195765,0.19514870360058523,0.45555470924307284,0.44219601196196356,-0.07090258099342417,0.5917150583614326,0.04088071637155677,0.49451378551020375,0.4484838733765636
