sid,market,rule,g,H,T,T_date,s,s_date,j_end,end_date,遞延天數,遞延原因,終點,line,line_prev,cT,cTm1,near_tie,P_s,P_end,R,EW,X,r0050,換0050減續抱,pre60,pre20,dist,ma20_slope,label,門檻B後120日內,month,blk60,year,連鎖
6612,tpex,close,甲,60,1219,2019-12-26,1220,2019-12-27,1279.0,2020-04-01,0,,ok,57.543694084,57.543694084,57.184942874,58.045945778000004,False,57.400193599999994,40.323636004,-0.2974999999999999,-0.20783709955690152,-0.08966290044309835,-0.19849243025287822,0.09900756974712166,0.17205882352941182,-0.15302869287991483,-0.006234413965087282,-0.026475993567654177,盤整,False,2019-12,11,2019,False
2740,tpex,close,丙,60,2266,2024-04-22,2267,2024-04-23,2326.0,2024-07-17,0,,ok,69.20909097830001,69.26969703896665,64.90909097400001,70.90909098,False,64.90909097400001,52.000000052000004,-0.19887955182072836,0.17769230083251306,-0.37657185265324145,0.2808084988239108,0.47968805064463915,-0.053050397877984046,-0.008333333333333193,-0.06213056613687118,0.006955443839955944,盤整,False,2024-04,29,2024,True
4722,twse,close,丙,20,2336,2024-08-02,2337,2024-08-05,2356.0,2024-08-30,0,,ok,44.539331261133334,44.44465287726666,44.40971899,46.801011551,False,43.726492543999996,43.287275543,-0.010044642857142794,0.05770937554831318,-0.06775401840545597,0.08678382088208815,0.09682846373923094,0.14667821764850641,-0.14150943396226412,-0.0029100632511390723,-0.01862803075103503,偏跌,False,2024-08,30,2024,False
1538,twse,close,丙,60,1888,2022-09-23,1889,2022-09-26,1948.0,2022-12-19,0,,ok,16.544072018366666,16.5784834379,16.165546403500002,17.479436967500003,False,17.549823962,18.7933275315,0.07085561497326198,0.016588110211172204,0.054267504762089774,0.03837139055992612,-0.032484224413335865,-0.11325611325611307,-0.23529411764705876,-0.022879833601210042,-0.03205614567526538,盤整,False,2022-09,22,2022,False
2329,twse,close,乙,20,2582,2025-08-07,2583,2025-08-08,2602.0,2025-09-04,0,,ok,37.9558135303,37.919025135175,37.573214221,38.0146749625,False,38.1127773495,42.772640732,0.12226512226512232,0.03968256137494037,0.08258256089018196,-0.006182373929590858,-0.12844749619471318,0.0676268541196079,0.01997336884154466,-0.010080124063065354,0.00833984884023975,盤整,True,2025-08,34,2025,False
6415,twse,close,甲,60,1949,2022-12-20,1950,2022-12-21,2009.0,2023-03-29,0,,ok,444.95444249999997,444.95444249999997,440.582619375,458.069911875,False,450.78353999999996,460.6562543,0.021901230688236906,0.12777080171157829,-0.10586957102334138,0.11152449803550281,0.0896232673472659,0.05957943925233655,-0.0591286307053942,-0.009825327510917026,0.0007632034191515924,盤整,False,2022-12,23,2022,False
6548,tpex,close,丙,60,1767,2022-03-31,1768,2022-04-01,1827.0,2022-06-29,0,,ok,33.3314413684,33.3536527044,33.317004,33.81675906,False,33.283686996,26.369396455999997,-0.20773811930243657,-0.06546924549128909,-0.1422688738111475,-0.13173246705710095,0.07600565224533562,-0.03846153846153855,-0.014778325123152913,-0.000433145636890786,-0.0014757518701339345,盤整,True,2022-03,20,2022,True
4726,tpex,close,乙,20,1881,2022-09-14,1882,2022-09-15,1901.0,2022-10-13,0,,ok,45.220000000000006,45.00000000000001,44.85,45.45,False,44.9,35.3,-0.21380846325167047,-0.12952578708689758,-0.08428267616477289,-0.1291783039647576,0.08463015928691286,0.23553719008264484,0.10877626699629173,-0.008182220256523709,0.032361166600079816,盤整,False,2022-09,22,2022,False
4706,tpex,close,乙,60,2626,2025-10-13,2627,2025-10-14,2686.0,2026-01-08,0,,ok,27.33115041675,27.385644281999998,26.8010737275,27.3955522575,False,27.048773115000003,28.93128846,0.06959706959706957,0.022238732116177648,0.047358337480891924,0.13196222716248984,0.06236515756542027,-0.011058836244176473,-0.03907637655417395,-0.01939459851368497,-0.00835804799137252,盤整,False,2025-10,35,2025,True
8028,twse,close,丙,20,2094,2023-08-04,2095,2023-08-07,2114.0,2023-09-01,0,,ok,55.75419158663333,55.705130592683325,54.359392813,55.758004977999995,False,54.452633624,52.867539837,-0.02910958904109584,-0.008578675747016628,-0.02053091329407921,-0.015134361535448549,0.013975227505647291,0.05725211827522947,-0.036363636363636376,-0.02501693117487025,-0.0019437920142546528,盤整,True,2023-08,26,2023,False
6863,twse,close,甲,60,2338,2024-08-06,2339,2024-08-07,2398.0,2024-11-05,0,,ok,189.84731236,189.84731236,183.81267118,193.81284241,False,184.28886981,251.90907527000002,0.36692506459948326,0.11016981861147157,0.2567552459880117,0.138698638504563,-0.22822642609492028,0.2497064766778041,-0.2269602229245994,-0.03178681386100812,-0.03128092361511858,盤整,False,2024-08,30,2024,False
8905,tpex,close,甲,60,2265,2024-04-19,2266,2024-04-22,2325.0,2024-07-16,0,,ok,27.3710273325,27.3710273325,27.2820158615,27.59355601,False,27.2820158615,28.53616084,0.045969659458699796,0.16552436982339527,-0.11955471036469548,0.3141061103979128,0.268136450939213,0.021666666666666723,-0.019199999999999995,-0.003252032520325132,0.0002393680682997168,盤整,False,2024-04,29,2024,False
6594,tpex,close,丙,20,1236,2020-01-30,1237,2020-01-31,1256.0,2020-02-27,0,,ok,16.473633074333332,16.486728172166668,15.635546813,16.5391085635,False,15.792687987000003,15.6748321065,-0.007462686567164312,-0.008148321519888879,0.0006856349527245668,-0.02348787920573635,-0.01602519263857204,-0.04784688995215303,-0.07009345794392519,-0.05087440381558028,-0.009330534173081606,盤整,False,2020-01,11,2020,False
