g,H,T_date,s_date,R,遞延天數
甲,120,2023-10-31,2023-11-01,0.30976451131815375,0
甲,120,2023-12-07,2023-12-08,0.3522012365059599,0
甲,120,2024-01-16,2024-01-17,0.47364570985846566,0
甲,120,2024-07-26,2024-07-29,0.10583484327296344,0
甲,120,2024-09-04,2024-09-05,0.0674890739722267,0
甲,120,2025-11-14,2025-11-17,0.5129931420288782,0
乙,20,2017-04-11,2017-04-12,0.031799729364005325,0
乙,20,2017-06-14,2017-06-15,0.06184895833333326,0
乙,20,2017-08-10,2017-08-11,0.017316017316017396,0
乙,20,2017-09-13,2017-09-14,0.021263669501822458,0
乙,20,2017-11-09,2017-11-10,-0.0403321470937128,0
乙,20,2018-02-05,2018-02-06,0.04267161410018572,0
乙,20,2018-03-23,2018-03-26,-0.02810018326206476,0
乙,20,2018-05-30,2018-05-31,-0.009282178217821735,0
乙,20,2018-08-13,2018-08-14,0.018957345971563955,0
乙,20,2018-09-12,2018-09-13,-0.06701631701631705,0
乙,20,2018-11-09,2018-11-12,-0.029581993569131826,0
乙,20,2018-12-14,2018-12-17,-0.004644990046449804,0
乙,20,2019-03-08,2019-03-11,0.07317073170731714,0
乙,20,2019-05-06,2019-05-07,-0.04960677555958881,0
乙,20,2019-08-01,2019-08-02,0.009870450339296788,0
乙,20,2019-11-29,2019-12-02,0.06579662860250135,0
乙,20,2020-01-06,2020-01-07,-0.00818583119748273,0
乙,20,2020-02-17,2020-02-18,-0.18107221006564556,0
乙,20,2020-05-22,2020-05-25,0.06855081178592881,0
乙,20,2020-08-20,2020-08-21,0.03181595692608896,0
乙,20,2020-09-22,2020-09-23,0.02512077294685988,0
乙,20,2020-10-28,2020-10-29,0.09567307692307692,0
乙,20,2021-01-29,2021-02-01,0.028861154446178094,0
乙,20,2021-05-03,2021-05-04,-0.00831826401446667,0
乙,20,2021-06-21,2021-06-22,0.019911504424778848,0
乙,20,2021-08-10,2021-08-11,0.03312704768838737,0
乙,20,2021-09-22,2021-09-23,-0.01376811594202898,0
乙,20,2021-11-26,2021-11-29,0.03960755813953498,0
乙,20,2022-01-21,2022-01-24,-0.01724137931034475,0
乙,20,2022-04-07,2022-04-08,-0.05555555555555547,0
乙,20,2022-06-13,2022-06-14,-0.08442088091353994,0
乙,20,2022-08-23,2022-08-24,-0.056397306397306446,0
乙,20,2022-12-08,2022-12-09,-0.019298245614035148,0
乙,20,2023-02-21,2023-02-22,0.03702127659574472,0
乙,20,2023-04-13,2023-04-14,-0.023333333333333317,0
乙,20,2023-07-06,2023-07-07,0.01221780664214811,0
乙,20,2023-08-25,2023-08-28,-0.017621145374449254,0
乙,20,2023-10-23,2023-10-24,0.05775444264943452,0
乙,20,2023-12-07,2023-12-08,0.0076248570339307875,0
乙,20,2024-04-16,2024-04-17,0.06861173453029834,0
乙,20,2024-05-31,2024-06-03,0.10643344203972704,0
乙,20,2024-07-18,2024-07-19,-0.027019867549668897,0
乙,20,2024-09-04,2024-09-05,0.08851605438241239,0
乙,20,2024-10-29,2024-10-30,-0.030318735423684795,0
乙,20,2024-12-20,2024-12-23,0.03256689525950063,0
乙,20,2025-02-03,2025-02-04,-0.03537309579137626,0
乙,20,2025-11-07,2025-11-10,-0.0007961783439490722,0
乙,20,2025-12-17,2025-12-18,0.16504854368932032,0
乙,20,2026-03-09,2026-03-10,0.04347826086956519,0
乙,20,2026-05-19,2026-05-20,0.1387096774193548,0
乙,20,2026-06-26,2026-06-29,-0.012410806992584567,0
乙,60,2017-04-11,2017-04-12,0.08795669824086594,0
乙,60,2017-06-14,2017-06-15,0.08476980259584321,0
