編號,層,族,格,N,rule,t1_年化,t1_回落,t1_比值,t1_年化波動,t1_年化÷波動,t1_標籤,t1_深淺註,t1_條件一,t1_條件二,t1_年化差pp,t1_回落差pp（負＝比0050深）,t1_trades中位,t1_first,原_年化（含日內前視）,原_回落（含日內前視）,原_比值（含日內前視）,原_年化波動（含日內前視）,原_年化÷波動（含日內前視）,原_標籤（含日內前視）,原_深淺註（含日內前視）,原_trades中位,差_年化pp,差_回落pp,標籤變動,訊號_窗內AND,訊號_原判開,訊號_t1判開,訊號_原開t1關,訊號_原關t1開,種子數,錨_年化,錨_回落,錨_比值,錨_年化波動,錨_年化÷波動,錨_逐位元
1,主,PREREG10,AND｜regime=True｜N10｜H120,10,H120,0.394406557221616,-0.3894268315113051,1.0127873205114948,0.28416015707833947,1.3879727590130904,合格,回落比 0050 深 4.99 點、報酬多 15.42 點,True,True,15.420445835790986,-4.985677875020389,163.0,526～526,0.405277675071815,-0.3908384709555651,1.0369441730773006,0.28643436119547494,1.4149059260220402,合格,回落比 0050 深 5.13 點、報酬多 16.51 點,163.0,-1.0871117850199008,0.14116394442600377,無,2309,2031,2036,4,9,200,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
4,主,PREREG10,AND｜regime=True｜N10｜LD,10,LD,0.2188399105176808,-0.3173356911544044,0.6896164428324609,0.24477042025295334,0.894061914391146,不合格,,False,False,-2.1362188346025324,2.2234361606696784,244.0,526～526,0.23252129594286408,-0.3173951289783119,0.7325925154911644,0.24623927513337063,0.9442900439701324,不合格,,244.0,-1.3681385425183268,0.00594378239074933,無,2309,2031,2036,4,9,200,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
7,主,PREREG10,AND｜regime=True｜N10｜H60,10,H60,0.18000992522296644,-0.4050710117553651,0.44439103268065994,0.2745113102573704,0.655746843560641,不合格,,False,False,-6.01921736407397,-6.550095899426389,306.0,526～526,0.18554633798515452,-0.40876054752307234,0.4539242818552136,0.27511457847003806,0.67443295450576,不合格,,304.0,-0.5536412762188081,0.36895357677072527,無,2309,2031,2036,4,9,200,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
16,次,PREREG10,AND｜regime=True｜N20｜H60,20,H60,0.288580339924435,-0.3916330642325778,0.7368640860033635,0.24818089076497454,1.1627822715719012,合格,回落比 0050 深 5.21 點、報酬多 4.84 點,True,True,4.837824106072885,-5.206301147147663,572.0,526～526,0.29230811580576244,-0.37459106112120255,0.7803392716602582,0.24852181580833482,1.176186947029216,合格,回落比 0050 深 3.50 點、報酬多 5.21 點,570.0,-0.3727775881327444,-1.704200311137527,無,2309,2031,2036,4,9,200,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
17,次,PREREG10,AND｜regime=True｜N20｜H120,20,H120,0.31835948731524977,-0.40998284433833443,0.7765190463738688,0.25579861265248516,1.2445708130081088,合格,回落比 0050 深 7.04 點、報酬多 7.82 點,True,True,7.815738845154363,-7.041279157723324,313.0,526～526,0.31786842237686386,-0.41156909780273687,0.7723330640562734,0.2570017282961472,1.2368337928474122,合格,回落比 0050 深 7.20 點、報酬多 7.77 點,313.0,0.049106493838591,0.15862534644024429,無,2309,2031,2036,4,9,200,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
