stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
orig_entry,1,win,0,1000,526,2859,163,6120458878235cb0,0.38579606048263293,-0.4055631375378619,0.2813800336765854,523,2836
orig_entry,1,win,1,1001,526,2859,163,0585736c424e03ae,0.3597350970304287,-0.38206336736002194,0.2805596132372664,523,2836
orig_entry,1,win,2,1002,526,2859,163,99810b3c4151c6d2,0.4612691260409454,-0.4064680054146819,0.29039916496949025,523,2836
orig_entry,1,win,3,1003,526,2859,163,83f59f43b9d1be6c,0.398550457761335,-0.4457558834837175,0.2899757904272651,523,2836
orig_entry,1,win,4,1004,526,2859,163,a34b74334e3041c7,0.38733834167569436,-0.41069753361428696,0.2861419260428778,523,2836
orig_entry,1,win,5,1005,526,2859,163,5eff91e2946c0b98,0.3868186578980264,-0.3772896807240475,0.2824275665891251,523,2836
orig_entry,1,win,6,1006,526,2859,163,647b727eda6acdd8,0.4516880429528687,-0.3759275163057536,0.29399817263664363,523,2836
orig_entry,1,win,7,1007,526,2859,163,b2d93526bed8c3a2,0.3958068106163559,-0.4418143661252928,0.2867316525048805,523,2836
orig_entry,1,win,8,1008,526,2859,163,817aa4b91acf666e,0.4024848458213346,-0.4070897514271672,0.28749137123006663,523,2836
orig_entry,1,win,9,1009,526,2859,163,d4d1269c56cea899,0.42056028190918204,-0.3808867471224551,0.2854798700593866,523,2836
orig_entry,1,win,10,1010,526,2859,163,b643c6138969c08f,0.4172202597698673,-0.3811917329772744,0.2889904767489675,523,2836
orig_entry,1,win,11,1011,526,2859,163,74ec858a7c18d4aa,0.3887237201447,-0.36648225728102907,0.2855739098576746,523,2836
orig_entry,1,win,12,1012,526,2859,163,77ae7c0e94509eff,0.44027637596296554,-0.3716241828734487,0.2872100017321309,523,2836
orig_entry,1,win,13,1013,526,2859,163,2a60bbd1d51ebf3e,0.40711714460595894,-0.38426392662825415,0.28595721213246794,523,2836
orig_entry,1,win,14,1014,526,2859,163,3083f5cc71f942c2,0.4077383329462072,-0.3665960686001029,0.2898195612059245,523,2836
orig_entry,1,win,15,1015,526,2859,163,6668449fd317fb90,0.3927370785310804,-0.43003174291084856,0.2870868268350003,523,2836
orig_entry,1,win,16,1016,526,2859,163,bfb25ed48866e300,0.4162808556191038,-0.37580823266772223,0.28953890485570766,523,2836
orig_entry,1,win,17,1017,526,2859,163,bc4d8d1c77e59205,0.40637956863744784,-0.4121585822731802,0.28910903770173585,523,2836
orig_entry,1,win,18,1018,526,2859,163,ff789dcbbda3a322,0.41519286271286715,-0.4032098934321422,0.2826020265931931,523,2836
orig_entry,1,win,19,1019,526,2859,163,b3f5308c67e9e1cd,0.4111706242464659,-0.4169523791482192,0.2877275636695111,523,2836
orig_entry,1,win,20,1020,526,2859,163,17cf92c9737a52fd,0.42623429596821305,-0.42150187348121776,0.28996759076003864,523,2836
orig_entry,1,win,21,1021,526,2859,163,1e4df1af0ea69156,0.39474540000785274,-0.3925964321541274,0.28985572908786816,523,2836
orig_entry,1,win,22,1022,526,2859,163,3db9e46622b8ed02,0.4041401710179584,-0.43297292327181025,0.2861440246210653,523,2836
orig_entry,1,win,23,1023,526,2859,163,c17f3a3b6f042b88,0.37621187404901035,-0.43318684521823114,0.283152321971476,523,2836
orig_entry,1,win,24,1024,526,2859,163,170c9c6b10cb176a,0.45144593352017015,-0.3612069657591807,0.2931092585149856,523,2836
orig_entry,1,win,25,1025,526,2859,163,a641704eb40e866a,0.42163940325635685,-0.3732840193531702,0.2908934070538112,523,2836
orig_entry,1,win,26,1026,526,2859,163,57e2a2e272ecdf32,0.41716405099539977,-0.38339115521215805,0.2902108525671629,523,2836
orig_entry,1,win,27,1027,526,2859,163,85b304b55cb47f52,0.36884492239820954,-0.4155914412140868,0.28011608158244167,523,2836
orig_entry,1,win,28,1028,526,2859,163,a78bc52b9fa1b92d,0.38800899933266275,-0.3972901402270864,0.28264969472592405,523,2836
orig_entry,1,win,29,1029,526,2859,163,fc7e7b6a2397925d,0.3944955347131027,-0.3997622294643196,0.2909440382118004,523,2836
orig_entry,1,win,30,1030,526,2859,163,363d55447885e8ba,0.39970872970098625,-0.41045166616743467,0.2883708930374796,523,2836
orig_entry,1,win,31,1031,526,2859,163,104cb09afde2de25,0.4276018845529683,-0.3970581522528913,0.28965448125329046,523,2836
orig_entry,1,win,32,1032,526,2859,163,f2fa7e5da0455049,0.37861778263271084,-0.3826947988012619,0.2852946960600182,523,2836
orig_entry,1,win,33,1033,526,2859,163,6cca80647609c5a0,0.4215599460264172,-0.42577004442063615,0.29206595577610295,523,2836
orig_entry,1,win,34,1034,526,2859,163,28db727af98557ae,0.39702816977922883,-0.3588803502593409,0.28561852045725816,523,2836
