# commit=c46b7cc20 run=2026-09-15 09:22 (Asia/Taipei) prereg=backtest/PREREGM1.md
variant,signal,label,window,state,H,n_seg,n_days,mean,p05,p10,p50,p90,p95,win_rate,rest_n_seg,rest_mean,rest_win_rate,diff,ci_lo,ci_hi,judge,same_dir_as_judged
主,a,a 收盤 vs 240MA,全期,上,20,19,5616,0.006981819049921121,-0.08772828511251063,-0.05937509398987606,0.009527670455696802,0.06932650251583672,0.09127083391732432,0.5789473684210527,20,0.004585756921165227,0.7,0.002396062128755894,-0.011165974540408767,0.015958098797920553,非判定格（方向＋）,不同向
主,a,a 收盤 vs 240MA,全期,下,20,20,3270,0.004585756921165227,-0.12481863622671062,-0.09396582463806515,0.0006814069242496723,0.1073122267180531,0.14989429380818942,0.7,19,0.006981819049921121,0.5789473684210527,-0.002396062128755894,-0.015958098797920553,0.011165974540408767,非判定格（方向−）,不同向
主,a,a 收盤 vs 240MA,全期,上,60,19,5616,0.012003197600920279,-0.15836966122819482,-0.12303612563083266,0.02117099156752733,0.12491109011252854,0.15986973418732375,0.631578947368421,20,0.03139699527590026,0.85,-0.01939379767497998,-0.06735422293940696,0.028566627589446995,非判定格（方向−）,同向
主,a,a 收盤 vs 240MA,全期,下,60,20,3270,0.03139699527590026,-0.2070347250078863,-0.1404964953353864,0.014585583049822493,0.22330726394801728,0.3417266580318013,0.85,19,0.012003197600920279,0.631578947368421,0.01939379767497998,-0.028566627589446995,0.06735422293940696,非判定格（方向＋）,同向
主,a,a 收盤 vs 240MA,全期,上,120,19,5616,0.022052770685120716,-0.21470076102782037,-0.165570666552798,0.034193047359117656,0.20162901434942704,0.24629534951364201,0.6842105263157895,20,0.06694499784127739,0.95,-0.04489222715615667,-0.12733407779334346,0.037549623481030116,非判定格（方向−）,同向
主,a,a 收盤 vs 240MA,全期,下,120,20,3270,0.06694499784127739,-0.2529757839504493,-0.18980866974048088,0.04953194493299862,0.34765968195752806,0.43889727706561593,0.95,19,0.022052770685120716,0.6842105263157895,0.04489222715615667,-0.037549623481030116,0.12733407779334346,非判定格（方向＋）,同向
主,a,a 收盤 vs 240MA,1990s,上,20,6,1369,0.010651691689022738,-0.10248679722244942,-0.07706684842076979,0.007294912904887152,0.09894229218536675,0.13374616929607952,0.5,6,0.007861124251461524,0.6666666666666666,0.0027905674375612137,-0.025505698163108066,0.031086833038230493,窗口長度不可比（240 交易日在 1990 年代 ≈ 10.1 個月）,不同向
主,a,a 收盤 vs 240MA,1990s,下,20,6,1216,0.007861124251461524,-0.10825876851769292,-0.08809507259341687,-0.006036210168619716,0.12012687945614253,0.16952475228342184,0.6666666666666666,6,0.010651691689022738,0.5,-0.0027905674375612137,-0.031086833038230493,0.025505698163108066,窗口長度不可比（240 交易日在 1990 年代 ≈ 10.1 個月）,不同向
主,a,a 收盤 vs 240MA,1990s,上,60,6,1369,0.012618467019895668,-0.17535564448027177,-0.14268679005508603,0.006937098678570841,0.1744603259129728,0.20304329521714526,0.5,6,0.04714467002595685,0.8333333333333334,-0.03452620300606118,-0.15643792026781517,0.0873855142556928,窗口長度不可比（240 交易日在 1990 年代 ≈ 10.1 個月）,同向
主,a,a 收盤 vs 240MA,1990s,下,60,6,1216,0.04714467002595685,-0.15614332134381387,-0.12567056749719258,0.0031423549152571617,0.27570392867449545,0.3993469039933412,0.8333333333333334,6,0.012618467019895668,0.5,0.03452620300606118,-0.0873855142556928,0.15643792026781517,窗口長度不可比（240 交易日在 1990 年代 ≈ 10.1 個月）,同向
主,a,a 收盤 vs 240MA,1990s,上,120,6,1369,0.031602761197253845,-0.2316744840545531,-0.19650572367892416,0.04076876624197712,0.2518621733647206,0.2891254877280234,0.6666666666666666,6,0.07406146870438488,1.0,-0.04245870750713103,-0.22250190102019723,0.1375844860059352,窗口長度不可比（240 交易日在 1990 年代 ≈ 10.1 個月）,同向
主,a,a 收盤 vs 240MA,1990s,下,120,6,1216,0.07406146870438488,-0.2007337895558991,-0.17749108715227385,0.03970651540872261,0.34949700857336763,0.42742394755047525,1.0,6,0.031602761197253845,0.6666666666666666,0.04245870750713103,-0.1375844860059352,0.22250190102019723,窗口長度不可比（240 交易日在 1990 年代 ≈ 10.1 個月）,同向
主,a,a 收盤 vs 240MA,2000s,上,20,7,1439,0.005781555384103793,-0.09772792709045922,-0.06904062360976386,0.01032080356840881,0.07764893984767962,0.09447498522728506,0.42857142857142855,6,-0.0030728606094782944,0.6666666666666666,0.008854415993582087,-0.016961816221049003,0.03467064820821318,非判定格（方向＋）,不同向
主,a,a 收盤 vs 240MA,2000s,下,20,6,1065,-0.0030728606094782944,-0.15878843363423434,-0.13057020086558838,-0.00641342300436154,0.12967949551967872,0.16958127043613724,0.6666666666666666,7,0.005781555384103793,0.42857142857142855,-0.008854415993582087,-0.03467064820821318,0.016961816221049003,非判定格（方向−）,不同向
主,a,a 收盤 vs 240MA,2000s,上,60,7,1439,0.002168573070533283,-0.1838720499150953,-0.1520379046092782,0.01965654064692246,0.12490326238190388,0.1550829142472596,0.5714285714285714,6,0.012774118075016718,0.8333333333333334,-0.010605545004483435,-0.09146955842033912,0.07025846841137225,非判定格（方向−）,同向
主,a,a 收盤 vs 240MA,2000s,下,60,6,1065,0.012774118075016718,-0.28837279549796724,-0.24576730604920974,0.007661052970394211,0.2583936105264578,0.41663874091653313,0.8333333333333334,7,0.002168573070533283,0.5714285714285714,0.010605545004483435,-0.07025846841137225,0.09146955842033912,非判定格（方向＋）,同向
主,a,a 收盤 vs 240MA,2000s,上,120,7,1439,-0.011321967214490778,-0.35232679532019007,-0.24319983575494808,0.010258792322866306,0.18425700560167715,0.20607204176012411,0.5714285714285714,6,0.053120260261789794,0.8333333333333334,-0.06444222747628058,-0.23777816803784213,0.108893713085281,非判定格（方向−）,同向
主,a,a 收盤 vs 240MA,2000s,下,120,6,1065,0.053120260261789794,-0.3773134194290991,-0.3131819476053915,0.0314785401357931,0.4362820391098591,0.5475734039717024,0.8333333333333334,7,-0.011321967214490778,0.5714285714285714,0.06444222747628058,-0.108893713085281,0.23777816803784213,非判定格（方向＋）,同向
主,a,a 收盤 vs 240MA,2010s,上,20,6,1802,0.0032125639019765797,-0.057854711960349754,-0.04132846689284401,0.009115476653863142,0.040807812301379844,0.05068204293054123,0.6666666666666666,5,0.005758332600656247,0.8,-0.002545768698679667,-0.025367462231567623,0.02027592483420829,非判定格（方向−）,同向
主,a,a 收盤 vs 240MA,2010s,下,20,5,663,0.005758332600656247,-0.07306809286865389,-0.05855278099506571,0.007629868080540225,0.06472755808591953,0.08005580179786374,0.8,6,0.0032125639019765797,0.6666666666666666,0.002545768698679667,-0.02027592483420829,0.025367462231567623,非判定格（方向＋）,同向
