# commit=10151c045 run=2026-09-15 13:23 (Asia/Taipei) prereg=backtest/PREREGM1.md | ⚠ CI 未修正跨段重疊（未來 H 日窗口跨段），實際覆蓋率低於 95%（隨機漫步假陽性 13%）——測得出的格要先過段標籤打亂安慰劑
variant,signal,label,window,state,H,n_seg,n_days,mean,p05,p10,p50,p90,p95,win_rate,rest_n_seg,rest_mean,rest_win_rate,diff,ci_lo,ci_hi,judge
剔除 1990-92,a,a 收盤 vs 240MA,剔除 1990-92,上,20,18,5486,0.00729762297558716,-0.08422165494997222,-0.057020112457557726,0.00974141064266476,0.06821239496769382,0.08994296665365503,0.6111111111111112,19,0.005720584460945959,0.6842105263157895,0.0015770385146412005,-0.020534119172506877,0.023688196201789278,非判定格（方向＋）
剔除 1990-92,a,a 收盤 vs 240MA,剔除 1990-92,下,20,19,2788,0.005720584460945959,-0.12483903206461194,-0.09545371588866332,0.003439099010654645,0.1073930806647379,0.14504317356730273,0.6842105263157895,18,0.00729762297558716,0.6111111111111112,-0.0015770385146412005,-0.023688196201789278,0.020534119172506877,非判定格（方向−）
剔除 1990-92,a,a 收盤 vs 240MA,剔除 1990-92,上,60,18,5486,0.013999031587894971,-0.1540524001706061,-0.11780688013629659,0.022089233785127838,0.12446551326850075,0.1580274677558577,0.6666666666666666,19,0.03223081117262536,0.8421052631578947,-0.018231779584730386,-0.07311708379905454,0.036653524629593766,非判定格（方向−）
剔除 1990-92,a,a 收盤 vs 240MA,剔除 1990-92,下,60,19,2788,0.03223081117262536,-0.2207892786778239,-0.13945399520151816,0.020412224442702076,0.21706806207054472,0.33906819375397085,0.8421052631578947,18,0.013999031587894971,0.6666666666666666,0.018231779584730386,-0.036653524629593766,0.07311708379905454,非判定格（方向＋）
剔除 1990-92,a,a 收盤 vs 240MA,剔除 1990-92,上,120,18,5486,0.02631300860334505,-0.20349712776869164,-0.1582674580198027,0.037123688368106755,0.2035968326501565,0.24720969324217423,0.7222222222222222,19,0.0684630345886683,0.9473684210526315,-0.04215002598532325,-0.12367245149603302,0.03937239952538653,非判定格（方向−）
剔除 1990-92,a,a 收盤 vs 240MA,剔除 1990-92,下,120,19,2788,0.0684630345886683,-0.27431753517737506,-0.18211254488851808,0.05259410131410258,0.3456119289074171,0.43372955713018996,0.9473684210526315,18,0.02631300860334505,0.7222222222222222,0.04215002598532325,-0.03937239952538653,0.12367245149603302,非判定格（方向＋）
剔除 1990-92,b,b 近 60 日報酬正負,剔除 1990-92,正,20,35,5083,0.01102718209278252,-0.07590765685757946,-0.05248208562305914,0.011550272557633745,0.07596267373368581,0.09820679589812938,0.6285714285714286,36,-7.308233817002982e-05,0.6944444444444444,0.01110026443095255,-0.004847008812880398,0.0270475376747855,非判定格（方向＋）
剔除 1990-92,b,b 近 60 日報酬正負,剔除 1990-92,負,20,36,3187,-7.308233817002982e-05,-0.12454851944777076,-0.09609913795113476,0.0015246643683239913,0.08802684196699735,0.12402973242175956,0.6944444444444444,35,0.01102718209278252,0.6285714285714286,-0.01110026443095255,-0.0270475376747855,0.004847008812880398,非判定格（方向−）
剔除 1990-92,b,b 近 60 日報酬正負,剔除 1990-92,正,60,35,5083,0.019041597997038428,-0.1513725127487249,-0.11118759075156201,0.021664614463043685,0.13563634959019144,0.17126238588121098,0.5428571428571428,36,0.021742805688558128,0.7777777777777778,-0.0027012076915196997,-0.04132744578099693,0.03592503039795753,非判定格（方向−）
剔除 1990-92,b,b 近 60 日報酬正負,剔除 1990-92,負,60,36,3187,0.021742805688558128,-0.21329751894511464,-0.14151630995162914,0.021894042046574747,0.1870082195840694,0.2750199168521385,0.7777777777777778,35,0.019041597997038428,0.5428571428571428,0.0027012076915196997,-0.03592503039795753,0.04132744578099693,非判定格（方向＋）
剔除 1990-92,b,b 近 60 日報酬正負,剔除 1990-92,正,120,35,5083,0.033768214623569284,-0.19519605241586854,-0.13853716831046978,0.0390582213452797,0.20959904356058834,0.2609464880833095,0.6285714285714286,36,0.05104234032139307,0.75,-0.017274125697823786,-0.08014352023143274,0.04559526883578517,非判定格（方向−）
剔除 1990-92,b,b 近 60 日報酬正負,剔除 1990-92,負,120,36,3187,0.05104234032139307,-0.28086300132418135,-0.1887037839899733,0.047412183409628605,0.31710474343824896,0.4111199836223016,0.75,35,0.033768214623569284,0.6285714285714286,0.017274125697823786,-0.04559526883578517,0.08014352023143274,非判定格（方向＋）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,不同向,20,23,1181,0.009365327405871664,-0.07826863752418756,-0.06071389140231298,0.008737307627812108,0.07405523869472086,0.10378953180128492,0.6956521739130435,50,0.006333469259108143,0.62,0.0030318581467635207,-0.01759539308024171,0.02365910937376875,非判定格（方向＋）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,同向多,20,28,4705,0.007058580833871084,-0.08709171224418974,-0.05739349041576287,0.009411636450849858,0.06969363297389225,0.09135124652811433,0.5714285714285714,45,0.0063808143171266585,0.6888888888888889,0.0006777665167444257,-0.014990686199416254,0.016346219232905104,非判定格（方向＋）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,同向空,20,22,2388,0.004904805122064742,-0.12723730521708299,-0.09822003946922729,0.005290800798121609,0.10610555092961733,0.13850126855207057,0.6818181818181818,51,0.007521419383231037,0.6274509803921569,-0.002616614261166295,-0.024446930984582976,0.019213702462250383,非判定格（方向−）
剔除 1990-92,ab,a∧b 三態,剔除 1990-92,不同向,60,23,1181,0.025695439168255788,-0.1471145100514173,-0.11569939328103507,0.025108466621593717,0.16551301875239988,0.23622846227012695,0.6521739130434783,50,0.01921780278905417,0.66,0.00647763637920162,-0.04103918427819456,0.05399445703659779,非判定格（方向＋）
