# commit=c46b7cc20 run=2026-09-15 09:22 (Asia/Taipei) prereg=backtest/PREREGM1.md
signal,label,raw_switches,n,n_by_state,seg_len_median,seg_len_min,seg_len_max,last_state,last_len,first_date,judge
a,a 收盤 vs 240MA,261,39,"{'上': 19, '下': 20}",215,27,636,上,296,1990-11-07,可跑
b,b 近 60 日報酬正負,433,76,"{'正': 38, '負': 38}",88,10,559,正,300,1990-03-23,可跑
ab,a∧b 三態,665,77,"{'不同向': 25, '同向多': 29, '同向空': 23}",79,4,559,同向多,296,1990-11-07,可跑
c,c 20 日波動 500 日分位三態,725,102,"{'中': 42, '低': 31, '高': 29}",66,8,358,高,198,1991-10-30,可跑
d,d 月線方向（日展開）,219,176,"{'多': 88, '空': 88}",41,20,236,空,31,1990-03-01,可跑
