# commit=6d3ea9905 run=2026-09-15 18:18 (Asia/Taipei) prereg=backtest/PREREGM1.md | ⚠ CI 未修正跨段重疊（未來 H 日窗口跨段），實際覆蓋率低於 95%（隨機漫步假陽性 13%）——測得出的格要先過段標籤打亂安慰劑
signal,state,n_days,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,q3_share
a,上,5912,7.002706359945873,6.410690121786197,9.878213802435724,9.015561569688767,9.658322056833558,9.455345060893098,10.013531799729364,8.863328822733424,7.831529093369419,6.935047361299053,6.850473612990528,8.085250338294992,26.708389715832205
a,下,3270,8.807339449541285,6.483180428134556,7.3088685015290515,6.666666666666667,7.033639143730887,6.636085626911314,6.850152905198777,9.051987767584098,8.654434250764526,10.458715596330276,11.834862385321102,10.21406727828746,24.5565749235474
b,正,5638,9.382759843916283,8.708761972330613,12.167435260730755,9.648811635331677,8.513657325292657,8.087974459028025,7.680028378857751,7.892869811990068,6.332032635686414,5.870876197233062,6.722241929762326,8.99255054984037,21.904930826534233
b,負,3723,4.64679022293849,2.686005909213,3.8678485092667207,6.2046736502820306,9.29358044587698,9.213000268600592,10.95890410958904,10.77088369594413,11.012624227773301,11.925866236905721,11.227504700510341,8.19231802309965,32.74241203330647
ab,不同向,1308,9.327217125382264,7.64525993883792,11.926605504587156,8.486238532110093,5.198776758409786,5.351681957186544,7.033639143730887,5.5045871559633035,7.186544342507645,8.944954128440367,11.773700305810397,11.62079510703364,19.724770642201836
ab,同向多,5092,7.757266300078555,7.030636292223096,10.290652003142183,9.308719560094266,9.937156323644933,9.721131186174391,9.524744697564808,8.87666928515318,7.246661429693638,6.24509033778476,6.029065200314218,8.032207384131972,25.64807541241163
ab,同向空,2782,6.649892163910856,4.780733285406183,5.14018691588785,5.966930265995686,8.159597411933861,7.584471603163193,8.590941768511861,10.639827462257369,10.172537742631201,11.39468008626887,11.897915168943205,9.022286125089863,29.403306973400433
c,中,2430,6.954732510288066,9.176954732510287,11.522633744855968,7.242798353909465,7.1193415637860085,9.794238683127572,10.864197530864198,9.917695473251028,6.872427983539095,8.106995884773664,4.8559670781893,7.572016460905349,27.65432098765432
c,低,3162,8.12776723592663,5.34471853257432,6.35673624288425,8.380771663504111,9.835547122074637,8.159392789373813,7.811511701454775,8.064516129032258,8.950031625553446,7.7798861480075905,11.416824794433902,9.772296015180265,24.82605945604048
c,高,3310,7.5830815709969785,5.468277945619335,9.607250755287009,8.670694864048338,8.761329305135952,7.734138972809667,8.459214501510575,8.972809667673715,8.24773413897281,8.670694864048338,8.851963746223564,8.972809667673715,25.679758308157098
d,多,5296,10.441842900302115,7.382930513595166,10.36631419939577,8.666918429003022,7.515105740181268,7.175226586102719,8.175981873111784,7.666163141993958,6.9864048338368585,7.628398791540786,9.025679758308156,8.969033232628398,22.8285498489426
d,空,4084,3.6483839373163565,4.897159647404505,7.345739471106757,7.737512242899118,10.479921645445641,10.259549461312439,9.990205680705191,10.773751224289912,9.720861900097944,9.084231145935357,7.810969637610186,8.251714005876591,30.48481880509305
