cagr,mdd,tr,expo,seed,arm,pass
0.46786766847842065,-0.3988976584068714,36.46799483101569,0.870752530157195,102000,-1,False
0.28068478618388437,-0.4038637927025124,9.335763218737435,0.8689961369950999,102001,-1,False
0.33510199283095754,-0.42592705541681924,14.309422674516611,0.8693432130575686,102002,-1,False
0.3005114471860637,-0.39449085564519515,10.948984738204144,0.8688852418252718,102003,-1,False
0.19108481590765325,-0.373353555961036,4.211478747276611,0.8678694334336993,102004,-1,False
0.1937755406713646,-0.3460103585880408,4.323691231447232,0.8708110921930525,102005,-1,False
0.25285279008764094,-0.3826536507037884,7.399556164562801,0.868874254226167,102006,-1,False
0.32645089675339145,-0.35555327006567106,13.398089648721225,0.8688300253406993,102007,-1,False
0.2835217501874041,-0.3905710702405918,9.55394938927912,0.8637908884891685,102008,-1,False
0.3044120446776639,-0.38255917527512273,11.29164281062464,0.8700947799284998,102009,-1,False
0.2546446066840429,-0.43393697984009544,7.513655253209617,0.8698367909148962,102010,-1,False
0.29339561640886913,-0.3936152848909809,10.345809330267052,0.8713597629273085,102011,-1,False
0.3102451210681658,-0.40629494054880405,11.820468069621583,0.8688171509223588,102012,-1,False
0.24433155561959907,-0.4276804125542683,6.875432655897886,0.8738458016776628,102013,-1,False
0.3514746107805431,-0.38511990696756954,16.17644472051718,0.8698233750142023,102014,-1,False
0.299498157348594,-0.4293337984354801,10.861379035810558,0.868079053250713,102015,-1,False
0.30934857535740945,-0.4046963873508155,11.737887199007053,0.868503164139625,102016,-1,False
0.3518454526488153,-0.4065315543192406,16.220992564348844,0.8740619005044599,102017,-1,False
0.24113507680296475,-0.3958695555571566,6.686496198974937,0.8723260187681621,102018,-1,False
0.2619964641877346,-0.41078436073338076,7.996453101000904,0.8698346402137455,102019,-1,False
0.15291980033944141,-0.47378146169303087,2.832074397071838,0.8713785255860705,102020,-1,False
0.17107899251686676,-0.43686689216904706,3.441295055866809,0.8681071763145146,102021,-1,False
0.2682230965772834,-0.4271142134161208,8.424346705293956,0.8698188727279496,102022,-1,False
0.19258781556769655,-0.35975163718686953,4.273895429736888,0.8703423490879781,102023,-1,False
0.21002003772246858,-0.3940475504516213,5.048244972334568,0.869355533844152,102024,-1,False
0.15634121699494408,-0.45206302554320443,2.940790938646934,0.8784570476579517,102025,-1,False
0.27282890906681434,-0.42507479682303023,8.752469838256372,0.86922809279468,102026,-1,False
0.25660542506534934,-0.3919396683337275,7.640102230023118,0.8720594530735745,102027,-1,False
0.28281604302325425,-0.43351659268064996,9.499293333510431,0.868824564119918,102028,-1,False
0.15952127916144154,-0.4181312606929536,3.044302373570127,0.8674288208435005,102029,-1,False
0.3472452770267538,-0.37465043795107045,15.675629351808027,0.8682349763240707,102030,-1,False
0.1510875134533174,-0.44954076622414724,2.7749624952613954,0.8704644377658596,102031,-1,False
0.2528471551579947,-0.3658840220563835,7.399199511386081,0.8689758939479933,102032,-1,False
0.34136446791374286,-0.4627698282942883,15.000954567652506,0.8701706284512206,102033,-1,False
0.3294305514257685,-0.39900811610758696,13.706344485346369,0.8714305224928498,102034,-1,False
0.2544845528164159,-0.36756502736781316,7.503407297322736,0.8640940783384836,102035,-1,False
0.2998154102344288,-0.3697424438674695,10.888745718783637,0.8730042947991892,102036,-1,False
0.28324635387696095,-0.35799468151108654,9.532590129422427,0.8661138160637762,102037,-1,False
0.17339243939889992,-0.4669026615284487,3.524819966424281,0.8707918188518166,102038,-1,False
0.22927824914350126,-0.3876727618679636,6.020548536121526,0.8681522830130105,102039,-1,False
0.29755001265973835,-0.44341698035112975,10.694560614732858,0.8726727716235153,102040,-1,False
0.36818189155851666,-0.40267084569419004,18.288966957961957,0.8650806535562201,102041,-1,False
0.24249066515639384,-0.390601463680294,6.766121204599557,0.866769217309801,102042,-1,False
0.18571854911691865,-0.4497187522839488,3.9939803434593326,0.8757729969327275,102043,-1,False
0.20666454008296697,-0.397244521330864,4.891740867573567,0.8669820405243767,102044,-1,False
0.23378357416093176,-0.3953570855514316,6.267256514942051,0.8671331427740863,102045,-1,False
0.31249102058271183,-0.3880376446881261,12.029443377321256,0.8717171361762227,102046,-1,False
0.39592727325208954,-0.4551759397976905,22.314334126017023,0.8692320511105547,102047,-1,False
0.10514608064095055,-0.4705558477902477,1.5699063508124684,0.8695286426619698,102048,-1,False
0.2401101731148363,-0.4087331902663002,6.626780452779001,0.8677369154240974,102049,-1,False
0.3250787980421401,-0.4254918025961312,13.2580943824574,0.8686993564665999,102050,-1,False
0.2524522887414491,-0.4038719890943356,7.374240812825297,0.8688031377106133,102051,-1,False
0.25229900702368546,-0.41026938425532006,7.36457006960266,0.8729098536898042,102052,-1,False
0.2171473031733595,-0.37407081909895246,5.3930620612389175,0.8720682450572647,102053,-1,False
0.3756019398586712,-0.3624657921648936,19.299479142396727,0.8713485723915806,102054,-1,False
0.1495105282144793,-0.3585060022661707,2.726418928295648,0.8674208623059926,102055,-1,False
0.4673710847057695,-0.4101471380516222,36.348498211004646,0.8772061067581343,102056,-1,False
0.26159498620636423,-0.42110937846778423,7.969469405211509,0.8728127365636958,102057,-1,False
0.3816218818411672,-0.40641111594274787,20.15381386468751,0.8709944405731335,102058,-1,False
0.32241831310546254,-0.40809141131908616,12.99010796057993,0.8767471180047731,102059,-1,False
0.26072182706629166,-0.3472364277965503,7.91103326626115,0.8690722622694855,102060,-1,False
0.2905590507303495,-0.38758940379794443,10.113059163830115,0.8681733888937352,102061,-1,False
0.18745971154197738,-0.4026588866698038,4.0636441211880605,0.8724978921029923,102062,-1,False
0.2737869911047004,-0.3921047184383621,8.821994178061518,0.8661534564426094,102063,-1,False
0.297895717219109,-0.32427744904671535,10.724009092065483,0.8685989932391178,102064,-1,True
0.31421788755197233,-0.3921123307565592,12.192189519630043,0.8679287305989838,102065,-1,False
0.2512229179753436,-0.42413692025092864,7.296958836835078,0.8654013938922819,102066,-1,False
0.2326583903412709,-0.39455778996055757,6.204927030802716,0.8618758900442182,102067,-1,False
0.21826239133668213,-0.4256196360249653,5.448571177264147,0.8658575398318846,102068,-1,False
0.19272164937840208,-0.43592437420778146,4.279485563987882,0.8719187816330692,102069,-1,False
0.34020853636000115,-0.45252040315749203,14.87124806490914,0.8748974503102487,102070,-1,False
0.3074145838318181,-0.49131405110312826,11.561364562072498,0.8657640424334468,102071,-1,False
0.28201094504412705,-0.35741078130485165,9.437248745181824,0.8706016443561566,102072,-1,False
0.2812143437677763,-0.38286125152051326,9.37618179892425,0.8713454774107537,102073,-1,False
0.18209459281229035,-0.4207025502668485,3.851727119256174,0.8627300219408889,102074,-1,False
0.3984896882673905,-0.37589024760354917,22.72151377179767,0.8676245264691377,102075,-1,False
0.3004039062899859,-0.3662297036376116,10.939659746237025,0.8706815524856524,102076,-1,False
0.2376063494581795,-0.40483616758831725,6.482636526109394,0.8643407009745434,102077,-1,False
0.16000969506387186,-0.49304559284882715,3.060413889963306,0.8738021624346827,102078,-1,False
