stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2855,統一證,2024Q2,twse,7598477,4799449,2799028,542125,3341153,265669,3075484,,,3075484,494090,,3569574,3069644,,5840,3558833,,10741,2.11
6005,群益證,2024Q2,twse,8364536,6568787,1795749,1444961,3240710,369787,2870923,,,2870923,-106752,,2764171,2605748,,265175,2473392,,290779,1.20
6024,群益期,2024Q2,twse,1213795,1216622,-2827,754600,751773,141838,609935,,,609935,58857,,668792,609331,,604,668103,,689,2.90
