stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險其他營業成本,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2026Q1,twse,7844963,10882474,18727437,532769,-19920,8886602,9327986,1664716,7663270,,7663270,-569207,7094063,7663213,,57,7093978,,85,0.55
2881,富邦金,2026Q1,twse,55117949,11075297,66193246,3423002,6922527,17222856,38624861,5062760,33562101,,33562101,89166636,122728737,33551455,,10646,122526534,,202203,2.40
2882,國泰金,2026Q1,twse,76415488,-3877435,72538053,2144227,13366691,18635397,38391738,6735806,31655932,,31655932,104526822,136182754,31593811,,62121,136051274,,131480,2.15
2883,凱基金,2026Q1,twse,21099662,2465851,23565513,-31306,124833,10372371,13099615,1407592,11692023,,11692023,27592302,39284325,11689699,,2324,39279408,,4917,0.69
2884,玉山金,2026Q1,twse,11865143,13304278,25169421,1006751,,11455963,12706707,2639201,10067506,,10067506,1340426,11407932,10056957,,10549,11397335,,10597,0.62
2885,元大金,2026Q1,twse,11256497,28728437,39984934,691371,-2007589,22577299,18723853,3129395,15594458,,15594458,3679286,19273744,14409154,,1185304,18889159,,384585,1.08
2886,兆豐金,2026Q1,twse,10111366,10657076,20768442,413832,9550,9125466,11219594,1822242,9397352,,9397352,502924,9900276,9397352,,,9900276,,,0.63
2887,台新新光金,2026Q1,twse,42542838,5324618,47867456,1597271,2771663,17909768,25588754,4532177,21056577,,21056577,36934756,57991333,21040510,,16067,57976164,,15169,0.82
2889,國票金,2026Q1,twse,510235,2160382,2670617,60641,,1291010,1318966,191865,1127101,,1127101,-462708,664393,897373,,229728,407919,,256474,0.25
2890,永豐金,2026Q1,twse,11931484,14267833,26199317,1456225,,11570601,13172491,2157069,11015422,1155,11016577,-997568,10019009,10973530,,43047,9931307,,87702,0.76
2891,中信金,2026Q1,twse,41556941,18302543,59859484,3310133,2429818,25820174,28299359,4691107,23608252,,23608252,35260425,58868677,23103564,,504688,59722104,,-853427,1.18
2892,第一金,2026Q1,twse,9664412,9632261,19296673,898516,186968,8175431,10035758,1792064,8243694,,8243694,524194,8767888,8243694,,,8767888,,,0.57
5880,合庫金,2026Q1,twse,9166334,6966750,16133084,1165653,-46612,7769661,7244382,1432147,5812235,,5812235,-1842234,3970001,5589587,,222648,3846885,,123116,0.36
