stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2025Q3,twse,19797974,14681082,1664416,15877820,16936820,2786369,14150451,,,14150451,2540629,,16691080,14150451,,,16691080,,,1.20
2812,台中銀,2025Q3,twse,9787290,5414272,269103,6894643,8037816,1351444,6686372,,,6686372,1138570,,7824942,6686372,,,7824942,,,1.13
2820,華票,2025Q3,twse,630809,1623644,14947,457816,1781690,369928,1411762,,,1411762,1565282,,2977044,,,,,,,1.05
2834,臺企銀,2025Q3,twse,15097241,11929968,2125946,12969513,11931750,2145850,9785900,,,9785900,3871569,,13657469,9785900,,,13657469,,,1.01
2836,高雄銀,2025Q3,twse,2623738,1113949,258168,2328155,1151364,212164,939200,,,939200,984446,,1923646,,,,,,,0.49
2838,聯邦銀,2025Q3,twse,6974941,8299197,617107,9335027,5322004,860029,4461975,,,4461975,2558456,,7020431,4477852,,-15877,7036289,,-15858,0.91
2845,遠東銀,2025Q3,twse,4959768,4650331,334107,5861760,3414232,352896,3061336,,,3061336,749208,,3810544,3061336,,,3810544,,,0.70
2849,安泰銀,2025Q3,twse,2153486,2065419,276507,2657189,1285209,140699,1144510,0,,1144510,870817,,2015327,,,,,,,0.58
2897,王道銀行,2025Q3,twse,1689579,5973373,455748,3808887,3398317,769318,2628999,,,2628999,1855844,,4484843,1593250,,1035749,2367143,,2117700,0.53
5876,上海商銀,2025Q3,twse,26624897,13709277,9309241,15022757,16002176,1631558,14370618,,,14370618,-8725979,,5644639,12413688,,1956930,7848056,,-2203417,2.56
