stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2021Q2,twse,9816679,4068681,939367,8067272,4878721,711271,4167450,,,4167450,595110,,4762560,4167450,,,4762560,,,0.40
2812,台中銀,2021Q2,twse,4563017,2026800,672978,3281869,2634970,358652,2276318,,,2276318,311165,,2587483,2276318,,,2587483,,,0.55
2820,華票,2021Q2,twse,633097,862960,-6901,259903,1243055,253957,989098,,,989098,-106653,,882445,,,,,,,0.74
2834,臺企銀,2021Q2,twse,8714424,2803859,2316224,6328871,2873188,374379,2498809,,,2498809,18517,,2517326,2498809,0,0,2517326,0,0,0.33
2836,高雄銀,2021Q2,twse,1372709,704280,298567,1264574,513848,54226,459622,,,459622,-8453,,451169,,,,,,,0.41
2838,聯邦銀,2021Q2,twse,4264919,3864157,391277,5146164,2591635,328892,2262743,,,2262743,1510177,,3772920,2262647,,96,3772822,,98,0.73
2845,遠東銀,2021Q2,twse,3227881,2358723,589455,3355097,1642052,193003,1449049,,,1449049,-286712,,1162337,1449049,,,1162337,,,0.42
2849,安泰銀,2021Q2,twse,1786819,1153311,85963,1452799,1401368,173113,1228255,0,,1228255,-181354,,1046901,,,,,,,0.63
2897,王道銀行,2021Q2,twse,2279638,2402700,155746,2271709,2254883,555893,1698990,-3001,,1695989,-194837,,1501152,972838,,723151,866025,,635127,0.31
5876,上海商銀,2021Q2,twse,13366507,6008352,685030,7521606,11168223,1656006,9512217,,,9512217,-808554,,8703663,7304152,,2208065,6871506,,1832157,1.63
