stock_id,name,period,market,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
5864,致和證,2017Q2,tpex,212181,116137,96044,4415,100459,193,100652,,,100652,7510,,108162,,,,,,,0.47
6015,宏遠證,2017Q2,tpex,373876,410970,-37094,54873,17779,18552,36331,,,36331,1067,,37398,36331,,,37398,,,0.10
6016,康和證,2017Q2,tpex,1184717,1127442,57275,27955,85230,-7525,77705,,,77705,10030,,87735,76529,,1176,86559,,1176,0.13
6020,大展證,2017Q2,tpex,142976,55368,87608,15542,103150,-8025,95125,,,95125,,,95125,95117,,8,95117,,8,0.38
6021,美好證,2017Q2,tpex,279156,225799,53357,45002,98359,-9585,88774,,,88774,43552,,132326,88774,,0,132326,,0,0.29
6023,元大期貨,2017Q2,tpex,1306930,1151975,154955,257588,412543,-67770,344773,,,344773,2811,,347584,344773,,,347584,,,1.48
6026,福邦證,2017Q2,tpex,464011,184619,279392,4135,283527,-15215,268312,0,,268312,-662,,267650,240110,,28202,239448,,28202,0.99
