stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2021Q1,twse,4806993,2087960,575554,3940985,2378414,432509,1945905,,,1945905,417173,,2363078,1945905,,,2363078,,,0.19
2812,台中銀,2021Q1,twse,2247016,1041507,319727,1646104,1322692,192448,1130244,,,1130244,290829,,1421073,1130244,,,1421073,,,0.27
2820,華票,2021Q1,twse,319400,472258,-5654,129203,668109,137129,530980,,,530980,-301765,0,229215,,,,,,,0.40
2834,臺企銀,2021Q1,twse,4321420,1241992,1099802,3165320,1298290,196637,1101653,0,,1101653,376394,,1478047,1101653,0,0,1478047,0,0,0.15
2836,高雄銀,2021Q1,twse,664582,456220,245814,623166,251822,23420,228402,,,228402,-240598,,-12196,,,,,,,0.20
2838,聯邦銀,2021Q1,twse,2107017,1782749,269563,2540576,1079627,122557,957070,,,957070,-309939,,647131,957029,,41,647090,,41,0.31
2845,遠東銀,2021Q1,twse,1594070,1237178,134241,1775438,921569,122488,799081,,,799081,-95681,,703400,799081,,,703400,,,0.23
2849,安泰銀,2021Q1,twse,863835,514008,22204,709051,646588,83991,562597,0,,562597,-140733,,421864,,,,,,,0.29
2897,王道銀行,2021Q1,twse,1133892,1171237,26561,1126767,1151801,309748,842053,-593,,841460,-137710,,703750,453803,,387657,533609,,170141,0.17
5876,上海商銀,2021Q1,twse,6621647,3520907,331671,3758789,6052094,1146649,4905445,,,4905445,1724527,,6629972,3721865,,1183580,4505099,,2124873,0.83
