stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2025Q2,twse,12965050,9569125,1145687,10407226,10981262,1851952,9129310,,,9129310,-2889905,,6239405,9129310,,,6239405,,,0.78
2812,台中銀,2025Q2,twse,6385133,3258367,211682,4348532,5083286,863325,4219961,,,4219961,394187,,4614148,4219961,,,4614148,,,0.76
2820,華票,2025Q2,twse,387141,1039456,-63362,284596,1205363,237932,967431,,,967431,772663,,1740094,,,,,,,0.72
2834,臺企銀,2025Q2,twse,9812507,7963543,1543170,8302278,7930602,1507384,6423218,,,6423218,39495,,6462713,6423218,0,0,6462713,0,0,0.66
2836,高雄銀,2025Q2,twse,1720719,711484,194261,1491804,746138,150153,595985,,,595985,618487,,1214472,,,,,,,0.31
2838,聯邦銀,2025Q2,twse,4545516,5119717,224029,6203862,3237342,596966,2640376,,,2640376,1632223,,4272599,2656034,,-15658,4288240,,-15641,0.49
2845,遠東銀,2025Q2,twse,3233376,2964796,253297,3838568,2106307,215160,1891147,,,1891147,92964,,1984111,1891147,,,1984111,,,0.44
2849,安泰銀,2025Q2,twse,1398355,1354362,196274,1733213,823230,132005,691225,0,,691225,592319,,1283544,,,,,,,0.35
2897,王道銀行,2025Q2,twse,1074019,3877308,230014,2466137,2255176,523821,1731355,,,1731355,561371,,2292726,1022819,,708536,1083640,,1209086,0.32
5876,上海商銀,2025Q2,twse,18486118,9397688,7350038,10427105,10106663,1049253,9057410,,,9057410,-15747131,,-6689721,7804075,,1253335,-1866385,,-4823336,1.61
