stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2021Q1,twse,6622038,5790834,12412872,517288,410797,6789140,4695647,659615,4036032,,4036032,-31605,4004427,4036005,,27,4004383,,44,0.31
2881,富邦金,2021Q1,twse,34126430,113197887,147324317,774627,72595734,15134029,58819927,7483529,51336398,,51336398,996032,52332430,50552452,,783946,53836880,,-1504450,4.94
2882,國泰金,2021Q1,twse,48052130,141555723,189607853,1321767,103848073,20574483,63863530,6296930,57566600,,57566600,-96639472,-39072872,57366026,,200574,-39295714,,222842,4.36
2883,凱基金,2021Q1,twse,16813022,36394670,53207692,-56715,27532500,9235367,16496540,1680827,14815713,,14815713,-31793895,-16978182,9839868,,4975845,-6494470,,-10483712,0.66
2884,玉山金,2021Q1,twse,6082416,7615163,13697579,-357889,,7817030,6238438,1031677,5206761,,5206761,210963,5417724,5204582,,2179,5415541,,2183,0.41
2885,元大金,2021Q1,twse,7192264,27398463,34590727,73462,7024799,13556317,13936149,3180706,10755443,,10755443,-2307909,8447534,9407300,,1348143,7615405,,832129,0.78
2886,兆豐金,2021Q1,twse,7831500,6758071,14589571,42954,-17463,7248865,7315215,1093607,6221608,,6221608,-2486713,3734895,6221608,,0,3734895,,0,0.46
2887,台新新光金,2021Q1,twse,5558866,6426101,11984967,279405,,6493813,5211749,737853,4473896,,4473896,-1055368,3418528,4476740,,-2844,3421372,,-2844,0.37
2889,國票金,2021Q1,twse,662723,2218461,2881184,-19995,,1019592,1881587,365820,1515767,,1515767,-1318743,197024,1363572,,152195,85174,,111850,0.47
2890,永豐金,2021Q1,twse,5228767,6520449,11749216,376742,,6138739,5233735,822732,4411003,,4411003,-1496348,2914655,4411003,,0,2914655,,0,0.39
2891,中信金,2021Q1,twse,26833566,20786369,47619935,931296,5718627,18415620,22554392,2844970,19709422,,19709422,-16466840,3242582,19708717,,705,3245937,,-3355,1.01
2892,第一金,2021Q1,twse,8091557,7857032,15948589,872690,3064370,6007723,6003806,974387,5029419,,5029419,-1443249,3586170,5029419,,,3586170,,,0.39
5880,合庫金,2021Q1,twse,8838778,4170437,13009215,1157543,83032,6166373,5602267,824735,4777532,,4777532,-1338342,3439190,4530686,,246846,3307402,,131788,0.34
