stock_id,name,period,market,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1409,新纖,2022Q2,twse,24651299,21751605,2899694,712713,2186981,0,2186981,-1100074,1086907,1694806,,492175,593151,,493756,1.05
1718,中纖,2022Q2,twse,16377134,14004707,2372427,693958,1678469,,1678469,-1125516,552953,-370200,,2048669,-586747,,1139700,-0.28
2207,和泰車,2022Q2,twse,118532560,111299929,7232631,1838941,5393690,,5393690,-1223052,4170638,3479770,,1913920,2100225,,2070413,6.37
2905,三商,2022Q2,twse,116481834,120991187,-4509353,1516892,-6026245,,-6026245,-12099085,-18125330,-2367298,,-3658947,-7577388,,-10547942,-2.73
