stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2018Q3,twse,17392663,7293665,1558366,11673502,11454460,1486334,9968126,,,9968126,829029,10797155,,,,,,,1.02
2812,台中銀,2018Q3,twse,6255711,2398152,308538,4889903,3455422,466374,2989048,0,,2989048,181124,3170172,2989048,0,0,3170172,0,0,0.89
2820,華票,2018Q3,twse,750143,763131,-131512,369397,1275389,226626,1048763,0,0,1048763,-143014,905749,,,,,,,0.78
2834,臺企銀,2018Q3,twse,12914572,4557338,674006,9616262,7181642,1167764,6013878,0,,6013878,962117,6975995,6013878,0,0,6975995,0,0,0.94
2836,高雄銀,2018Q3,twse,1964877,701144,631517,1712429,322075,-44305,366380,,,366380,-101561,264819,,,,,,,0.35
2838,聯邦銀,2018Q3,twse,5075476,4702228,349623,6640215,2787866,385565,2402301,,,2402301,485048,2887349,2401362,,939,2886688,,661,0.86
2845,遠東銀,2018Q3,twse,4222451,4217349,442867,4924175,3072758,346005,2726753,,,2726753,-244911,2481842,2726753,,,2481842,,,0.83
2849,安泰銀,2018Q3,twse,2870735,1873368,685424,2138523,1920156,473282,1446874,0,,1446874,-33084,1413790,,,,,,,0.83
2897,王道銀行,2018Q3,twse,3165569,2659029,261447,3427137,2136014,637943,1498071,2958,,1501029,-81213,1419816,727614,,773415,741526,,678290,0.30
5876,上海商銀,2018Q3,twse,20134454,7383910,517510,9914726,17086128,3469687,13616441,,,13616441,4574776,18191217,10218026,,3398415,12088660,,6102557,2.51
