stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2018Q2,twse,13535119,9471715,23006834,1596259,426421,12723834,8260320,827851,7432469,,7432469,-523265,6909204,7432421,,48,6909127,,77,0.64
2881,富邦金,2018Q2,twse,62585711,145296375,207882086,775052,141700140,27691107,37715787,6508090,31207697,,31207697,-38160512,-6952815,31223598,,-15901,-6926323,,-26492,2.91
2882,國泰金,2018Q2,twse,85100091,170192609,255292700,1443618,178134614,38162181,37552287,1537888,36014399,,36014399,-89019042,-53004643,35983223,,31176,-53111128,,106485,2.71
2883,凱基金,2018Q2,twse,26880399,92758883,119639282,174536,97233107,12851085,9380554,173024,9207530,,9207530,-23997934,-14790404,6050400,,3157130,-2813787,,-11976617,0.42
2884,玉山金,2018Q2,twse,10154634,14795919,24950553,1419799,,12520665,11010089,1757726,9252363,,9252363,126335,9378698,9248706,,3657,9375008,,3690,0.85
2885,元大金,2018Q2,twse,12819258,37187861,50007119,724181,13545542,20691455,15045941,2811462,12234479,0,12234479,-2576249,9658230,11174329,,1060150,8901174,,757056,0.95
2886,兆豐金,2018Q2,twse,19020862,12101625,31122487,556191,19707,13659018,16887571,1371876,15515695,,15515695,146015,15661710,15515371,0,324,15661386,0,324,1.14
2887,台新新光金,2018Q2,twse,9677867,10840091,20517958,1242789,,10854357,8420812,594961,7825851,,7825851,81774,7907625,7825934,,-83,7907708,,-83,0.68
2889,國票金,2018Q2,twse,911600,2179747,3091347,11339,,1512129,1567879,218510,1349369,,1349369,-540199,809170,1236889,,112480,722119,,87051,0.44
2890,永豐金,2018Q2,twse,7779423,8419128,16198551,745904,,9699048,5753599,994109,4759490,,4759490,-37183,4722307,4759468,,22,4722285,,22,0.42
2891,中信金,2018Q2,twse,49189904,95950094,145139998,2148522,85360448,31434265,26196763,4292728,21904035,,21904035,-16432184,5471851,21902491,,1544,5473568,,-1717,1.12
2892,第一金,2018Q2,twse,15009842,16469398,31479240,2644026,6821355,11129158,10884701,1304912,9579789,,9579789,607151,10186940,9579789,,0,10186940,0,,0.78
5880,合庫金,2018Q2,twse,17652246,5209517,22861763,1617113,-488438,12185415,9547673,1453729,8093944,,8093944,-997441,7096503,7866570,,227374,7235739,,-139236,0.63
