stock_id,name,period,market,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1409,新纖,2018Q2,twse,20522444,18821113,1701331,400055,1301276,,1301276,395380,1696656,1108551,,192725,1501976,,194680,0.69
1718,中纖,2018Q2,twse,20731569,17887371,2844198,372923,2471275,,2471275,200909,2672184,988360,,1482915,1096035,,1576149,0.87
2207,和泰車,2018Q2,twse,95436947,87273364,8163583,2084928,6078655,,6078655,64835,6143490,5266962,,811693,5330792,,812698,9.64
2905,三商,2018Q2,twse,115380880,112843901,2536979,-42438,2579417,,2579417,-5354557,-2775140,1181797,,1397620,-1321774,,-1453366,1.64
